period,entity,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
2016Q1,BLICNY,1098699557.0,143518832.0,0.0,0.0,0.0,1242218389.0,29604455.0,22676259.0
2016Q2,BLICNY,1133236512.0,146673558.0,6095358.0,0.0,0.0,1286005428.0,56470167.0,45421828.0
2016Q3,BLICNY,1143329221.0,142766699.0,6094514.0,0.0,0.0,1292190434.0,84896050.0,66863767.0
2016Q4,BLICNY,1856695151.0,407911069.0,6093642.0,9198553.0,0.0,2279898415.0,118527864.0,88517083.0
2017Q1,BLICNY,1831309760.0,409212217.0,6092788.0,0.0,0.0,2246614765.0,26643739.0,21134035.0
2017Q2,BLICNY,1882295771.0,407911069.0,6091919.0,0.0,0.0,2296298759.0,103456094.0,42747333.0
2017Q3,BLICNY,1838118972.0,407911069.0,6091035.0,0.0,0.0,2252121076.0,189200806.0,63490746.0
2017Q4,BLICNY,1951138383.0,396668615.0,6090122.0,44680748.0,0.0,2398577868.0,300208620.0,84837293.0
2018Q1,BLICNY,1916450758.0,407649950.0,6089227.0,50962886.0,0.0,2381152821.0,127008002.0,22560849.0
2018Q2,BLICNY,1866224893.0,406195673.0,6088318.0,66905798.0,0.0,2345414682.0,243039265.0,43440442.0
2018Q3,BLICNY,1898389987.0,404613203.0,6087391.0,63813469.0,0.0,2372904050.0,379931525.0,63155812.0
2018Q4,BLICNY,1863283896.0,401791922.0,6086435.0,74928816.0,0.0,2346091069.0,543163075.0,83723254.0
2019Q1,BLICNY,1923312014.0,401791922.0,6085498.0,74928816.0,0.0,2406118250.0,151227277.0,19059063.0
2019Q2,BLICNY,1891878077.0,401791922.0,6084545.0,74928816.0,0.0,2374683360.0,344469007.0,39183852.0
2019Q3,BLICNY,1914706619.0,401791922.0,6083576.0,74928816.0,0.0,2397510933.0,542072241.0,58064642.0
2019Q4,BLICNY,1883041998.0,375916746.0,7591307.0,8589179.0,0.0,2275139230.0,737300884.0,76671919.0
2020Q1,BLICNY,1756401715.0,375916746.0,7589732.0,15002290.0,0.0,2154910483.0,199993254.0,18108882.0
2020Q2,BLICNY,1714004890.0,375916746.0,7588145.0,7804114.0,0.0,2105313895.0,385199015.0,35990314.0
2020Q3,BLICNY,1638667828.0,375916746.0,11059782.0,499811.0,0.0,2026144167.0,570826775.0,53579663.0
2020Q4,BLICNY,1677684602.0,331658419.0,11055603.0,20612431.0,0.0,2041011055.0,814560614.0,71207726.0
2021Q1,BLICNY,1788849417.0,331658419.0,16044177.0,20612431.0,0.0,2157164444.0,276015098.0,17676232.0
2021Q2,BLICNY,1799962393.0,331658419.0,33525281.0,20612431.0,0.0,2185758524.0,592770786.0,34604759.0
2021Q3,BLICNY,1818279749.0,331658419.0,34831192.0,24499069.0,0.0,2209268429.0,0.0,0.0
2021Q4,BLICNY,1863020444.0,272003848.0,34825076.0,0.0,0.0,2169849368.0,0.0,0.0
2022Q1,BLICNY,1659457662,267642825,0.0,0.0,0.0,1927100487.0,0.0,0.0
2022Q2,BLICNY,1656064107.0,272003848.0,29268999.0,5999167.0,0.0,1963336121.0,0.0,0.0
2022Q3,BLICNY,1725010342.0,272003848.0,29263611.0,5998329.0,0.0,2032276130.0,0.0,0.0
2022Q4,BLICNY,1724781304.0,242475310.0,36049664.0,4196203.0,0.0,2007502481.0,1051352397.0,62943742.0
2023Q1,BLICNY,1818801123.0,242475310.0,36044216.0,3997605.0,0.0,2101318254.0,215361792.0,15302009.0
2023Q2,BLICNY,1799298456.0,242475310.0,36038697.0,14979275.0,0.0,2092791738.0,452261059.0,30811145.0
2023Q3,BLICNY,1776027960.0,242475310.0,36073999.0,4196203.0,0.0,2058773472.0,694852804.0,47275320.0
2023Q4,BLICNY,1799333679.0,228229011.0,36174700.0,3986003.0,0.0,2067723393.0,924086911.0,62729302.0
2024Q1,BLICNY,1896206225.0,228229011.0,36052553.0,249635.0,0.0,2160737424.0,249218542.0,15479919.0
2024Q2,BLICNY,1746613564.0,228229011.0,35641194.0,3986003.0,0.0,2014469772.0,512784878.0,31294228.0
2024Q3,BLICNY,1739773149.0,228229011.0,34468853.0,4986503.0,0.0,2007457516.0,749338868.0,47877766.0
2024Q4,BLICNY,1692183482.0,185830546.0,35367449.0,6484694.0,0.0,1919866171.0,1018321830.0,62638006.0
2025Q1,BLICNY,1659645108.0,185830546.0,29335951.0,5106210.0,0.0,1879917815.0,296009678.0,18422568.0
2025Q2,BLICNY,1486000671.0,185830546.0,26537133.0,41996490.0,0.0,1740364840.0,635024328.0,34220004.0
2025Q3,BLICNY,1548184007.0,185830546.0,26287113.0,153994349.0,0.0,1914296015.0,954787761.0,49071977.0
2025Q4,BLICNY,1528842314.0,161071010.0,26298006.0,114309012.0,0.0,1830520342.0,1287403336.0,63278710.0
