period,entity,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
2016Q1,BLIC,48975467713.0,7121918616.0,3015393844.0,0.0,37069238.0,59149849411.0,1390386948.0,729087058.0
2016Q2,BLIC,54186391027.0,7861574309.0,2803021022.0,0.0,28834343.0,64879820701.0,2422649741.0,1401017573.0
2016Q3,BLIC,53577341985.0,7988158290.0,2556651699.0,0.0,37223097.0,64159375071.0,3381856002.0,2045503115.0
2016Q4,BLIC,44424443737.0,8461658030.0,2407729812.0,1411018437.0,0.0,56704850016.0,4407675239.0,2703532564.0
2017Q1,BLIC,43237133416.0,8786148511.0,2155330571.0,0.0,0.0,54178612498.0,940032506.0,624612224.0
2017Q2,BLIC,44642369870.0,8981752632.0,2241849868.0,0.0,63337.0,55866035707.0,1876057025.0,1251226554.0
2017Q3,BLIC,43841583303.0,9012972922.0,2376795994.0,0.0,145341.0,55231497560.0,2819684137.0,1843564915.0
2017Q4,BLIC,44900814757.0,9117320124.0,2404215807.0,710113764.0,838267.0,57133302719.0,3850763013.0,2433834274.0
2018Q1,BLIC,44228070464.0,9405831168.0,2436504409.0,817868094.0,302241.0,56888576376.0,946222494.0,579988985.0
2018Q2,BLIC,44198124551.0,10154080331.0,2453645916.0,880255297.0,342147.0,57686448242.0,1978753941.0,1149831869.0
2018Q3,BLIC,44060857712.0,10605315474.0,2511757049.0,637866527.0,911852.0,57816708614.0,3100129749.0,1701259125.0
2018Q4,BLIC,43954805624.0,10919919854.0,2584886025.0,2416799505.0,1055191.0,59877466199.0,4317232591.0,2259149611.0
2019Q1,BLIC,43473448164.0,11283139191.0,2537178378.0,842251047.0,591834.0,58136608614.0,1280023121.0,545122652.0
2019Q2,BLIC,42981916305.0,11669254498.0,2547944999.0,933693563.0,537874.0,58133347239.0,2689100952.0,1075957194.0
2019Q3,BLIC,43957762618.0,11643925884.0,2581549823.0,1459661827.0,1050988.0,59643951140.0,4046092430.0,1611660143.0
2019Q4,BLIC,44751193236.0,11573486762.0,2560529486.0,509587049.0,2080477.0,59396877010.0,5490217321.0,2140132252.0
2020Q1,BLIC,44962129926.0,11573486762.0,2664845420.0,4160346436.0,1760069.0,63362568613.0,1582797654.0,524332995.0
2020Q2,BLIC,45475507001.0,11573486762.0,2502399192.0,2598916345.0,1755583.0,62152064883.0,3146400554.0,1039214408.0
2020Q3,BLIC,46382767829.0,11573486762.0,2750807617.0,2109378472.0,2041558.0,62818482238.0,5142853529.0,1543086705.0
2020Q4,BLIC,47738505136.0,10814105267.0,3052769038.0,1170474558.0,1612758.0,62777466757.0,7604175366.0,2053527931.0
2021Q1,BLIC,47322770772.0,10814105267.0,3459268357.0,1010516437.0,1456083.0,62608116916.0,1719107089.0,507502837.0
2021Q2,BLIC,48967514112.0,10929653042.0,3773779934.0,824753565.0,1770313.0,64497470966.0,3589062496.0,1014614983.0
2021Q3,BLIC,51253742164.0,11405380413.0,4171593611.0,764211618.0,1144533.0,67596072339.0,0.0,0.0
2021Q4,BLIC,51323655290.0,12313135377.0,4459630930.0,601868794.0,1201832.0,68699492223.0,0.0,0.0
2022Q1,BLIC,52133766546.0,12912827648.0,4744065866.0,460408937.0,154307.0,70251223304.0,0.0,0.0
2022Q2,BLIC,53473153655.0,12970313891.0,4599641923.0,1089807770.0,30154.0,72132947393.0,0.0,0.0
2022Q3,BLIC,54354508993.0,13285234268.0,4335340798.0,893099174.0,268004.0,72868451237.0,0.0,0.0
2022Q4,BLIC,55330139595.0,15286759687.0,4402519918.0,1013031145.0,328876.0,76032779221.0,9869173468.0,1866286075.0
2023Q1,BLIC,54582434166.0,15286759687.0,4450785261.0,718471144.0,669976.0,75039120234.0,2491992167.0,457079535.0
2023Q2,BLIC,54051113658.0,15286759687.0,4545785089.0,705611569.0,796956.0,74590066959.0,4658127153.0,905850037.0
2023Q3,BLIC,53328471500.0,15286759687.0,4542588575.0,769473587.0,1121740.0,73928415089.0,6983421036.0,1336489008.0
2023Q4,BLIC,53889808895.0,13610315239.0,4615641138.0,907481359.0,1297013.0,73024543644.0,9482432006.0,1768279919.0
2024Q1,BLIC,53088832992.0,13610315239.0,4590209642.0,962683719.0,1126325.0,72253167917.0,2609858393.0,434768278.0
2024Q2,BLIC,51837465400.0,13610315239.0,4607091862.0,1134826567.0,890615.0,71190589683.0,5094706553.0,868689929.0
2024Q3,BLIC,51286477483.0,13610315239.0,4576042559.0,1892881021.0,1607582.0,71367323884.0,7388316637.0,1281021603.0
2024Q4,BLIC,49448859560.0,11539816350.0,4524027740.0,1602364681.0,1414399.0,67116482730.0,9414160921.0,1693884615.0
2025Q1,BLIC,48447566877.0,11539816350.0,4579779398.0,869687664.0,1255980.0,65438106269.0,1998460151.0,428900673.0
2025Q2,BLIC,48298918607.0,11539816350.0,4512082196.0,1344229543.0,2028414.0,65697075110.0,4456911594.0,827882404.0
2025Q3,BLIC,46190382586.0,11539816350.0,4459532758.0,1983529636.0,1891295.0,64175152625.0,6899788810.0,1214354187.0
2025Q4,BLIC,44822092515.0,10439857120.0,4338951718.0,928867127.0,1742464.0,60531510944.0,9318132060.0,1601536438.0
