period,schedule_type,t_state,t_state_code,t_life,t_annuity,t_ah,t_other,t_total,t_deposit,b_loan_number,b_city,b_state,b_date_acquired,b_interest_rate,b_book_value,b_land_value,b_appraisal_date,ba_name,ba_state,ba_date_acquired,ba_actual_cost,ba_fair_value,ba_book_value,ba_investment_income,ba_ownership_pct,d_category,d_naic_designation,d_total_current_year,d_total_prior_year
2018Q3,t,Alabama,AL,1918980,3505609,2938761,8756528,647245,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Alaska,AK,42982,60502,170349545,0,40000,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Arizona,AZ,3188547,4920482,8404276,5945320,15000,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Arkansas,AR,2514988,3316274,4582183,56029664,442227,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,California,CA,24105320,27876445,31611136,88379166,50000,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Colorado,CO,4622577,9835719,11266357,26311333,40756,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Connecticut,CT,7072858,12487707,7837643,14583454,411421,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Delaware,DE,2087039,3310310,3359179,38144989,633549,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,District Of Columbia,DC,665573,516561,397107,37453853,153974101,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Florida,FL,32252170,82969131,55128244,41869102,153974101,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Georgia,GA,8028162,17675741,11473540,22033435,153974101,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Hawaii,HI,1126895,3142944,1675481,0,32643754,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Idaho,ID,1169838,1957532,5303592,0,2896523,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Illinois,IL,16676591,26299803,13053270,0,79274244,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Indiana,IN,14625812,30228399,20317816,0,47603073,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Iowa,IA,13549713,54387302,20442151,0,25819805,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Kansas,KS,7015652,13399525,13790320,0,19967710,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Kentucky,KY,5846746,15050626,5413961,0,3483683,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Louisiana,LA,2092472,2936943,4043488,0,85560515,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Maine,ME,3768538,7172369,3642547,0,12371572,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Maryland,MD,7262237,12724177,8114653,0,57416477,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Massachusetts,MA,6125406,22481103,9538480,0,37518857,0,,,,,,,,,,,,,,,,,,,,
2018Q3,t,Michigan,MI,19496051,37245552,0,0,13258372,0,,,,,,,,,,,,,,,,,,,,
