entity,period,loan_number,city,state,date_acquired,interest_rate,book_value,land_value,appraisal_date
BLC,2018Q3,1586,Frederick,CA,07/22/2008,0.0,7562092,0,
BLC,2018Q3,1626,Santa Rosa,FL,06/20/2014,0.0,3306660,0,
BLC,2018Q3,1347,Chandler,MD,05/22/2007,0.0,6864,0,
BLC,2018Q3,1383,Oswego,VA,07/03/2007,0.0,17427,0,
BLC,2018Q3,1417,Columbus,CA,07/12/2007,0.0,14598,0,
BLC,2018Q3,1431,Murrysville,CO,07/09/2007,0.0,6805,0,
BLC,2018Q3,1432,Monroeville,CO,07/09/2007,0.0,7443,0,
BLC,2018Q3,1437,,,05/31/2007,0.0,55932,0,
BLC,2018Q3,1448,,,12/11/2007,0.0,58364,0,
BLC,2018Q3,1661,,,09/21/2011,0.0,62277,0,
BLC,2018Q3,1664,,,08/18/2011,0.0,28009,0,
BLC,2018Q3,1667,,,08/18/2011,0.0,44622,0,
BLC,2018Q3,1675,,,09/13/2012,0.0,48334,0,
BLC,2018Q3,1680,Fishers,WI,08/16/2012,0.0,79535,0,
BLC,2018Q3,1686,Lone Tree,TX,10/16/2012,0.0,37321,0,
BLC,2018Q3,1692,,SAN,09/14/2012,0.0,101013,0,
BLC,2018Q3,1697,Louisville,NV,02/01/2013,0.0,26384,0,
BLC,2018Q3,1709,Concord,FL,01/09/2013,0.0,54468,0,
BLC,2018Q3,1717,,SAN,03/01/2013,0.0,156393,0,
BLC,2018Q3,1722,Santee,VA,03/28/2013,0.0,72717,0,
BLC,2018Q3,1725,Hoover,MD,09/25/2013,0.0,53821,0,
BLC,2018Q3,1727,Lake Forest,TN,11/07/2013,0.0,185179,0,
BLC,2018Q3,1729,Meridian,TX,10/23/2013,0.0,40003,0,
BLC,2018Q3,1732,Madison,TX,08/09/2013,0.0,94629,0,
BLC,2018Q3,1734,Austin,WI,10/10/2013,0.0,95452,0,
BLC,2018Q3,1740,Pleasant Hill,WI,12/05/2013,0.0,25940,0,
BLC,2018Q3,1742,Smyrna,WI,01/31/2014,0.0,33685,0,
BLC,2018Q3,1746,St. Peters,NC,12/16/2013,0.0,86597,0,
BLC,2018Q3,1750,Dallas,CT,02/10/2014,0.0,78212,0,
BLC,2018Q3,1756,Indian Trail,MD,07/01/2014,0.0,43867,0,
BLC,2018Q3,1758,Caledonia,TX,10/27/2014,0.0,70087,0,
BLC,2018Q3,1762,Salt Lake City,MD,05/28/2014,0.0,89933,0,
BLC,2018Q3,1766,Fishers,CA,11/03/2014,0.0,44161,0,
BLC,2018Q3,1770,Camarillo,CA,05/22/2014,0.0,90828,0,
BLC,2018Q3,1785,Mequon,MD,06/24/2014,0.0,54955,0,
BLC,2018Q3,1802,Roseville,VA,12/01/2014,0.0,99598,0,
BLC,2018Q3,1804,Concord,NY,11/24/2014,0.0,141458,0,
BLC,2018Q3,1806,Baltimore,MS,09/05/2014,0.0,52526,0,
BLC,2018Q3,1808,,,09/05/2014,0.0,38201,0,
BLC,2018Q3,1811,,,08/12/2014,0.0,40798,0,
BLC,2018Q3,1815,,,11/19/2014,0.0,50642,0,
BLC,2018Q3,5003,,,11/10/2014,0.0,59070,0,
BLC,2018Q3,Cash,,,01/01/2007,0.0,37698,0,
BLC,2018Q3,Cash,,,12/30/2015,0.0,11129,0,
BLC,2018Q3,Cash,,,01/21/2015,0.0,483497,0,
BLC,2018Q3,Cash,,,08/22/2017,0.0,601189,0,
BLC,2018Q3,Identification,,,09/01/2018,0.0,30160,0,
BLC,2018Q3,Identification,,,09/19/2018,0.0,500000,0,
BLC,2018Q3,Shares,,,03/16/2051,0.0,1,0,
BLC,2018Q3,Stock,,,03/16/2042,0.0,1,0,
BLC,2018Q3,ification,,,05/20/2039,0.0,1,0,
BLC,2018Q3,Shares,,,02/01/2024,0.0,1,0,
BLC,2018Q3,Date,,,11/15/2039,0.0,1,0,
BLC,2018Q3,ification,Description Eign,MBS,10/25/2040,0.0,1,0,
BLC,2018Q3,BALTIMORE,,GAS,09/27/2018,0.0,39312,0,
BLC,2018Q3,BAFC,,,09/27/2018,0.0,8549928,0,
BLC,2018Q3,CWHL,,,09/01/2018,0.0,39144,0,
BLC,2018Q3,CWHL,,,09/01/2018,0.0,1421127,0,
BLC,2018Q3,CWHL,,,09/27/2018,0.0,2651987,0,
BLC,2018Q3,CIGNA,,,09/27/2018,0.0,2949128,0,
BLC,2018Q3,COMCAST,,,09/27/2018,0.0,7959881,0,
BLC,2018Q3,SHOW,,,07/25/2018,0.0,1772604,0,
BLC,2018Q3,DBJPM,,,09/01/2018,0.0,3391714,0,
BLC,2018Q3,FHASI,,,09/01/2018,0.0,278983,0,
BLC,2018Q3,FHAMS,,,09/01/2018,0.0,158756,0,
BLC,2018Q3,GULFSTREAM,Natural,GAS,09/27/2018,0.0,307333,0,
BLC,2018Q3,GULFSTREAM,Natural,GAS,09/27/2018,0.0,5006540,0,
BLC,2018Q3,INDX,,,09/25/2018,0.0,67271,0,
BLC,2018Q3,MALT,,,09/01/2018,0.0,16733246,0,
BLC,2018Q3,MASD,,,09/25/2018,0.0,793410,0,
BLC,2018Q3,ONEOK,Partners,LP,09/27/2018,0.0,211369,0,
BLC,2018Q3,OPMAC,,,09/25/2018,0.0,10492185,0,
BLC,2018Q3,SVHE,,,09/25/2018,0.0,85875,0,
BLC,2018Q3,SVHE,,,09/01/2018,0.0,2158,0,
BLC,2018Q3,TWAIN,Note Issuer 5,LLC,09/05/2018,0.0,6136972,0,
BLC,2018Q3,21ST,Century,FOX,09/27/2018,0.0,149420,0,
BLC,2018Q3,UNITEDHEALTH,Group,INC,09/27/2018,0.0,8558250,0,
BLC,2018Q3,BANCO,,DE,09/27/2018,0.0,25000000,0,
BLC,2018Q3,BARCLAYS,,PLC,09/27/2018,0.0,9744472,0,
BLC,2018Q3,GRUMA,,SAB,09/27/2018,0.0,1800000,0,
BLC,2018Q3,EQUITY,,,11/17/2017,0.0,12000,0,
BLC,2018Q3,EQUITY,,,11/20/2017,0.0,5500,0,
BLC,2018Q3,EQUITY,,,11/22/2017,0.0,12000,0,
BLC,2018Q3,EQUITY,,,12/01/2017,0.0,1500,0,
BLC,2018Q3,EXHIBIT,5 Equity/Index,ABN,11/20/2017,0.0,4500,0,
BLC,2018Q3,EXHIBIT,,,11/27/2017,0.0,5000,0,
BLC,2018Q3,EXHIBIT,,,11/29/2017,0.0,7000,0,
BLC,2018Q3,EXHIBIT,,,12/01/2017,0.0,5000,0,
BLC,2018Q3,EXHIBIT,5 Equity/Index,ABN,12/01/2017,0.0,4000,0,
BLC,2018Q3,EXHIBIT,,,12/04/2017,0.0,5000,0,
BLC,2018Q3,EXHIBIT,5 Equity/Index,RBC,01/03/2018,0.0,1500,0,
BLC,2018Q3,EXHIBIT,,,12/08/2017,0.0,8500,0,
BLC,2018Q3,EXHIBIT,5 Equity/Index,ABN,12/08/2017,0.0,3500,0,
BLC,2018Q3,EXHIBIT,,,12/11/2017,0.0,7500,0,
BLC,2018Q3,EXHIBIT,,,12/13/2017,0.0,10000,0,
