entity,period,category,naic_designation,total_current_year,total_prior_year
EFLIC,2023Q1,BONDS,NAIC 1,0,25844011600
EFLIC,2023Q1,BONDS,NAIC 2,0,14581858013
EFLIC,2023Q1,BONDS,NAIC 3,0,1338041871
EFLIC,2023Q1,BONDS,NAIC 4,0,1102826084
EFLIC,2023Q1,BONDS,NAIC 5,0,62181063
EFLIC,2023Q1,BONDS,NAIC 6,0,8802331
EFLIC,2023Q1,BONDS,NAIC 1,0,21855686
EFLIC,2023Q1,BONDS,NAIC 2,0,321611530
EFLIC,2023Q1,BONDS,NAIC 3,0,4833262
EFLIC,2023Q1,BONDS,NAIC 4,0,0
EFLIC,2023Q1,BONDS,NAIC 5,0,0
EFLIC,2023Q1,BONDS,NAIC 6,0,0
EFLIC,2023Q2,BONDS,NAIC 1,0,25844011600
EFLIC,2023Q2,BONDS,NAIC 2,0,14581858013
EFLIC,2023Q2,BONDS,NAIC 3,0,1338041871
EFLIC,2023Q2,BONDS,NAIC 4,0,1102826084
EFLIC,2023Q2,BONDS,NAIC 5,0,62181063
EFLIC,2023Q2,BONDS,NAIC 6,0,8802331
EFLIC,2023Q2,BONDS,NAIC 1,0,21855686
EFLIC,2023Q2,BONDS,NAIC 2,0,321611530
EFLIC,2023Q2,BONDS,NAIC 3,0,4833262
EFLIC,2023Q2,BONDS,NAIC 4,0,0
EFLIC,2023Q2,BONDS,NAIC 5,0,0
EFLIC,2023Q2,BONDS,NAIC 6,0,0
EFLIC,2023Q3,BONDS,NAIC 1,23069761926,25844011600
EFLIC,2023Q3,BONDS,NAIC 2,13508793667,14581858013
EFLIC,2023Q3,BONDS,NAIC 3,1147621276,1338041871
EFLIC,2023Q3,BONDS,NAIC 4,972311935,1102826084
EFLIC,2023Q3,BONDS,NAIC 5,107655206,62181063
EFLIC,2023Q3,BONDS,NAIC 6,1976038,8802331
EFLIC,2023Q3,BONDS,NAIC 1,17930447,21855686
EFLIC,2023Q3,BONDS,NAIC 2,345110740,321611530
EFLIC,2023Q3,BONDS,NAIC 3,4319149,4833262
EFLIC,2023Q3,BONDS,NAIC 4,0,0
EFLIC,2023Q3,BONDS,NAIC 5,0,0
EFLIC,2023Q3,BONDS,NAIC 6,0,0
EFLIC,2025Q1,BONDS,NAIC 1,0,16761569058
EFLIC,2025Q1,BONDS,NAIC 2,0,12596673901
EFLIC,2025Q1,BONDS,NAIC 3,0,650836965
EFLIC,2025Q1,BONDS,NAIC 4,0,661940393
EFLIC,2025Q1,BONDS,NAIC 5,0,187192234
EFLIC,2025Q1,BONDS,NAIC 6,0,19595140
EFLIC,2025Q1,BONDS,NAIC 2,0,295426638
EFLIC,2025Q1,BONDS,NAIC 3,0,0
EFLIC,2025Q1,BONDS,NAIC 4,0,0
EFLIC,2025Q1,BONDS,NAIC 5,0,3790
EFLIC,2025Q1,BONDS,NAIC 6,0,0
EFLIC,2025Q1,BONDS,NAIC 1,0,17666497
EFLIC,2025Q1,BONDS,NAIC 2,0,231899862
EFLIC,2025Q1,BONDS,NAIC 3,0,5236781
EFLIC,2025Q1,BONDS,NAIC 4,0,0
EFLIC,2025Q1,BONDS,NAIC 5,0,0
EFLIC,2025Q1,BONDS,NAIC 6,0,0
EFLOA,2020Q2,BONDS,NAIC 1,677088363,627065862
EFLOA,2020Q2,BONDS,NAIC 2,927786367,720604933
EFLOA,2020Q2,BONDS,NAIC 3,12225473,0
EFLOA,2020Q2,BONDS,NAIC 4,0,0
EFLOA,2020Q2,BONDS,NAIC 5,2668848,3274544
EFLOA,2020Q2,BONDS,NAIC 6,0,0
EFLOA,2020Q2,BONDS,NAIC 1,0,0
EFLOA,2020Q2,BONDS,NAIC 2,0,0
EFLOA,2020Q2,BONDS,NAIC 3,2250000,2250000
EFLOA,2020Q2,BONDS,NAIC 4,0,0
EFLOA,2020Q2,BONDS,NAIC 5,0,0
EFLOA,2020Q2,BONDS,NAIC 6,0,0
EFLOA,2021Q1,BONDS,NAIC 1,720244020,727842461
EFLOA,2021Q1,BONDS,NAIC 2,1147785279,989713663
EFLOA,2021Q1,BONDS,NAIC 3,12226455,12226126
EFLOA,2021Q1,BONDS,NAIC 4,4,0
EFLOA,2021Q1,BONDS,NAIC 5,1716624,2039856
EFLOA,2021Q1,BONDS,NAIC 6,6,0
EFLOA,2021Q1,BONDS,NAIC 1,1,0
