period,entity,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
2020Q1,JNLIC,55811703180.0,9926650437.0,1554717932.0,40632716410.0,1977964.0,107927765923.0,0.0,0.0
2020Q3,JNLIC,57661421398.0,9989790442.0,1509009495.0,72270119301.0,5955206.0,141436295842.0,0.0,0.0
2021Q2,JNLIC,49016458412.0,11784479250.0,2049808344.0,5887285460.0,7947775.0,68745979241.0,0.0,0.0
2022Q2,JNLIC,48697570649.0,12010555073.0,2685485497.0,12137461250.0,3956123.0,75535028592.0,0.0,0.0
2022Q3,JNLIC,48697570649.0,11798414306.0,2647773217.0,12137461250.0,0.0,75281219422.0,0.0,0.0
2022Q4,JNLIC,45197102693.0,11588751919.0,2584231276.0,2977325905.0,236841132.0,62584252925.0,14815833148.0,541816351.0
2023Q1,JNLIC,44929704531.0,11429173268.0,2778079112.0,521275721.0,235336466.0,59893569098.0,2966237618.0,127631366.0
2023Q2,JNLIC,43751391307.0,10832590110.0,2028607175.0,464771699.0,233901984.0,57311262275.0,5891683417.0,263273450.0
2023Q3,JNLIC,42180937659.0,10473466519.0,2101090489.0,521289317.0,224328480.0,55501112464.0,9018374916.0,390320703.0
2023Q4,JNLIC,39541156526.0,10293120528.0,2101790972.0,753199633.0,226591548.0,52915859207.0,12115603781.0,506700789.0
2024Q1,JNLIC,37619449740.0,10016753259.0,2220991140.0,670974716.0,226284374.0,50754453229.0,3468764728.0,127803346.0
2024Q2,JNLIC,36474702848.0,9766802230.0,2279749868.0,469012179.0,224774642.0,49215041767.0,7435069897.0,238422808.0
2024Q3,JNLIC,35132261465.0,9517313977.0,2284219861.0,1461466569.0,226625008.0,48621886880.0,12284243135.0,356194088.0
2024Q4,JNLIC,34279645077.0,9331530897.0,2528924689.0,2062815033.0,230925634.0,48433841330.0,16573922082.0,464006488.0
2025Q1,JNLIC,33793423477.0,9362332125.0,2545296671.0,2183406158.0,231080772.0,48115539203.0,3765904033.0,119656339.0
2025Q2,JNLIC,33702924652.0,9220795815.0,2620098482.0,2067001874.0,230857298.0,47841678121.0,8098556229.0,229554499.0
2025Q3,JNLIC,33722437518.0,8966091360.0,2766689008.0,2711739245.0,226035951.0,48392993082.0,13972297677.0,335002973.0
2020Q3,JNLICNY,1238981159.0,0.0,0.0,504137105.0,0.0,1743118264.0,0.0,0.0
2020Q4,JNLICNY,1267367784.0,0.0,0.0,118002019.0,0.0,1385369803.0,0.0,0.0
2021Q1,JNLICNY,1267367784.0,0.0,0.0,796034461.0,0.0,2063402245.0,0.0,0.0
2021Q3,JNLICNY,1267367784.0,0.0,0.0,796034461.0,0.0,2063402245.0,0.0,0.0
2021Q4,JNLICNY,1281189038.0,0.0,0.0,66132168.0,0.0,1347321206.0,0.0,0.0
2022Q3,JNLICNY,1311358287.0,0.0,0.0,663268600.0,0.0,1974626887.0,0.0,0.0
2022Q4,JNLICNY,1318197302.0,0.0,0.0,78608267.0,0.0,1396805569.0,1097994716.0,468398.0
2023Q1,JNLICNY,1299177240.0,0.0,0.0,86204964.0,0.0,1385382204.0,215884051.0,108362.0
2023Q2,JNLICNY,1308310392.0,0.0,0.0,44256076.0,0.0,1352566468.0,418240025.0,231793.0
2023Q3,JNLICNY,1282443859.0,0.0,0.0,62372932.0,0.0,1344816791.0,626202983.0,353136.0
2023Q4,JNLICNY,1300206317.0,0.0,0.0,54796520.0,0.0,1355002837.0,817514906.0,457744.0
2024Q1,JNLICNY,1301283792.0,0.0,0.0,60871124.0,0.0,1362154916.0,237164700.0,106729.0
2024Q2,JNLICNY,1288445905.0,0.0,0.0,69294264.0,0.0,1357740169.0,513436490.0,220602.0
2024Q3,JNLICNY,1307572574.0,0.0,0.0,109850545.0,0.0,1417423119.0,953986857.0,341676.0
2025Q1,JNLICNY,1294376825.0,0.0,2005356.0,70544390.0,0.0,1366926571.0,390331381.0,112689.0
2025Q2,JNLICNY,1326774126.0,0.0,2002936.0,201197088.0,0.0,1529974150.0,929292316.0,212661.0
2025Q3,JNLICNY,1455914333.0,0.0,2002275.0,229902767.0,0.0,1687819375.0,1625635367.0,345733.0
