entity,period,loan_number,city,state,date_acquired,interest_rate,book_value,land_value,appraisal_date
LLANY,2021Q4,00X25277,Memphis,NY,05/24/2005,5.75,1266496,33300000,10/18/2010
LLANY,2022Q4,00X25277,Atlanta,GA,08/31/2005,5.5,336425,3850000,08/02/2005
LLANY,2022Q4,15859000,Omaha,NE,07/28/2005,5.98,844346,33300000,04/26/2019
LLANY,2023Q4,15859000,Omaha,NE,07/28/2005,5.98,543344,33300000,04/26/2019
LLANY,2023Q4,00X25277,Atlanta,GA,04/12/2008,5.5,219950,3850000,08/02/2005
LNL,2019Q4,09248U,71 8 Blackrock Liquidity,FDS,11/01/2019,2.11,371435000,1320593,
LNL,2019Q4,665279,,,12/31/2019,1.56,510925000,98098,
LNL,2020Q4,650117,,AA,04/09/2020,100.0,185000,2969,09/01/2020
LNL,2020Q4,00216P,,AA,05/13/2020,100.0,606388,7177,12/26/2020
LNL,2020Q4,07387A,,DG,07/28/2020,113.8287,17800000,9042,11/08/2020
LNL,2020Q4,084423,,AU,02/24/2020,100.0,75751,487,12/06/2020
LNL,2020Q4,110122,,BU,09/10/2015,100.7812,225000,3081,05/28/2020
LNL,2020Q4,22822V,,AA,01/14/2020,101.557,8000000,112578,07/06/2020
LNL,2020Q4,289333,,AC,06/11/2020,100.0,100000,388,10/23/2020
LNL,2020Q4,607120,,FM,01/21/2020,100.0,130048,2184,11/08/2020
LNL,2020Q4,607120,,FP,01/21/2020,100.0,170860,3043,11/09/2020
LNL,2020Q4,698525,,AA,01/24/2008,100.0,386105,11150,08/31/2020
LNL,2020Q4,871829,,AX,09/23/2015,100.0,225000,2438,09/01/2020
LNL,2020Q4,91159H,,HL,01/26/2016,100.0,225000,470,12/29/2020
LNL,2020Q4,99STON,9A 2,LNS,03/06/2020,100.0,14666667,38882,11/13/2020
LNL,2020Q4,9BLAFO,9A 3 3/20,CL,12/07/2020,100.0,743700,2109,12/11/2020
LNL,2020Q4,9BLNIC,9A 9,ARM,10/13/2020,100.0,33758806,526522,12/31/2020
LNL,2020Q4,552081,,AD,07/16/2013,105.493,1979354,43928,11/05/2020
LNL,2020Q4,9BLWNS,9A 7 Windstream Services,LLC,09/22/2020,100.0,24963,24963,10/30/2020
LNL,2020Q4,09248U,71 8 Blackrock Liquidity,FDS,12/31/2020,2.11,247983000,10219,
LNL,2020Q4,38141W,27 3 Goldman Sachs Finl Instl,MMF,12/31/2020,2.1,133309043,95879,
LNL,2022Q4,UNITED,,,10/18/2022,0.0,24784403,0,
LNL,2022Q4,BANCO,Cargill,SA,02/28/2022,0.0,5000000,0,
LNL,2023Q4,TREASURY,,,12/15/2023,0.0,24945305,0,
