entity,period,loan_number,city,state,date_acquired,interest_rate,book_value,land_value,appraisal_date
FUNM,2021Q1,100014865,Florence,SC,02/24/2021,2.7,8960000,8960000,
FUNM,2021Q1,100014870,Columbia,SC,02/24/2021,2.7,11200000,11200000,
FUNM,2021Q2,100008099,,,05/23/2011,0.0,2753323,0,
FUNM,2021Q2,100008619,Mesa,CO,11/10/2011,0.0,46652,0,
FUNM,2021Q2,100010127,,LOS,05/14/2015,0.0,15515,0,
FUNM,2021Q2,100011910,Manteno,VA,07/21/2015,0.0,33358,0,
FUNM,2021Q2,100012014,Portland,IL,02/01/2016,0.0,43933,0,
FUNM,2021Q2,100012057,Phoenix,CA,04/29/2016,0.0,77073,0,
FUNM,2021Q2,100012165,Santa Clara,DC,04/29/2016,0.0,47713,0,
FUNM,2021Q2,100012246,,,09/01/2016,0.0,34360,0,
FUNM,2021Q2,100012302,,,03/03/2017,0.0,37972,0,
FUNM,2021Q2,100012652,,,05/04/2018,0.0,81120,0,
FUNM,2021Q2,Loan,,,03/11/2020,0.0,168341,0,
FUNM,2021Q2,100013989,Norfolk,KY,01/23/2020,0.0,88595,0,
FUNM,2021Q2,100013998,Louisville,TX,01/29/2020,0.0,43037,0,
FUNM,2021Q2,100014027,Santa Rosa,VA,11/10/2020,0.0,38427,0,
FUNM,2021Q2,100014159,,SAN,02/24/2021,0.0,131974,0,
FUNM,2021Q2,Receive,"Us$, Pay",EUR,09/10/2020,0.0,20230000,0,
FUNM,2021Q2,Receive,"Us$, Pay",EUR,10/01/2020,0.0,12915100,0,
FUNM,2021Q3,100014934,Napa,CA,08/31/2021,3.2,28325000,38740000,
FUNM,2022Q1,100012014,,LOS,04/04/2013,0.0,52755,0,
FUNM,2022Q1,100012165,Phoenix,CA,07/28/2015,0.0,85031,0,
FUNM,2022Q1,100012302,Anderson,CO,07/21/2015,0.0,34318,0,
FUNM,2022Q1,100012670,Overland Park,MO,07/15/2015,0.0,49845,0,
FUNM,2022Q1,100013053,Augusta,VA,02/01/2016,0.0,45242,0,
FUNM,2022Q1,100013074,Beaverton,IL,09/28/2015,0.0,45505,0,
FUNM,2022Q1,100013422,Salt Lake City,CA,04/29/2016,0.0,79328,0,
FUNM,2022Q1,100013964,Euclid,DC,04/26/2016,0.0,30910,0,
FUNM,2022Q1,100013998,Norfolk,KY,04/29/2016,0.0,49150,0,
FUNM,2022Q1,100014159,Santa Rosa,TX,09/09/2016,0.0,25101,0,
FUNM,2022Q1,100014184,Alpharetta,VA,09/01/2016,0.0,35299,0,
FUNM,2022Q1,Loan,,,02/24/2021,0.0,86633,0,
FUNM,2022Q1,100014452,Tampa,VA,08/02/2021,0.0,89315,0,
FUNM,2022Q1,100014510,Alexandria,ME,10/14/2021,0.0,49680,0,
