entity,period,state,state_code,life,annuity,ah,other,total,deposit
VRIAC,2019Q3,Alaska,AL,601386,51076166,0,0,309964,0
VRIAC,2019Q3,Arizona,AK,567571720,0,0,0,573117,0
VRIAC,2019Q3,Arkansas,AZ,105556,13344305,0,0,100000,0
VRIAC,2019Q3,California,AR,30854601,0,0,0,434617,0
VRIAC,2019Q3,Colorado,CA,601794,89179487,430,0,0,0
VRIAC,2019Q3,Connecticut,CO,375810290,0,0,0,171531,0
VRIAC,2019Q3,Delaware,CT,911663,35098672,0,7040756,234494,0
VRIAC,2019Q3,District Of Columbia,DE,55119434,0,0,0,0,0
VRIAC,2019Q3,Florida,DC,6463259,940812289,0,115202257,0,0
VRIAC,2019Q3,Georgia,FL,108874036,0,0,0,577276,0
VRIAC,2019Q3,Hawaii,GA,713087,106198212,1262,0,1314625,0
VRIAC,2019Q3,Idaho,HI,28435857,0,0,0,520345097,0
VRIAC,2019Q3,Illinois,ID,2113678,348125821,2623,410976922,2691254,0
VRIAC,2019Q3,Indiana,IL,371337504,0,0,0,172032,0
VRIAC,2019Q3,Iowa,IN,151617,37866706,0,7645716,0,0
VRIAC,2019Q3,Kansas,IA,171159522,0,0,0,553433,0
VRIAC,2019Q3,Kentucky,KS,121184,35527966,0,15561512,0,0
VRIAC,2019Q3,Louisiana,KY,146550679,0,0,0,0,0
VRIAC,2019Q3,Maine,LA,3976291,560572189,3677,3019563,0,0
VRIAC,2019Q3,Maryland,ME,38489698,0,0,0,97880,0
VRIAC,2019Q3,Massachusetts,MD,1159038,203323579,0,5999955,297930,0
VRIAC,2019Q3,Michigan,MA,55402377,0,0,0,0,0
VRIAC,2019Q3,Minnesota,MI,532265,11568470,0,18753867,1066886,0
VRIAC,2019Q3,Mississippi,MN,17510124,0,0,0,656241,0
VRIAC,2019Q3,Missouri,MS,141030,22230218,0,0,0,0
VRIAC,2019Q3,Montana,MO,121199414,0,0,0,991892,0
VRIAC,2019Q3,Nebraska,MT,2356327,331996991,0,41456973,0,0
VRIAC,2019Q3,Nevada,NE,504870057,0,0,0,0,0
VRIAC,2019Q3,New Hampshire,NV,842061,124020489,0,0,45178,0
VRIAC,2019Q3,New Jersey,NH,128386073,0,0,0,501762,0
VRIAC,2019Q3,New Mexico,NJ,479720,54639714,0,0,29533,0
VRIAC,2019Q3,New York,NM,58795814,0,0,0,0,0
VRIAC,2019Q3,North Carolina,NY,2000148,63673002,0,0,366706,0
VRIAC,2019Q3,North Dakota,NC,3545994,0,0,0,734581,0
VRIAC,2019Q3,Ohio,ND,439808,98787784,0,9646444,0,0
VRIAC,2019Q3,Oklahoma,OH,665930823,0,0,0,0,0
VRIAC,2019Q3,Oregon,OK,636608,117072822,0,0,464351,0
VRIAC,2019Q3,Pennsylvania,OR,8552299,0,0,0,0,0
VRIAC,2019Q3,Rhode Island,PA,234594,28201263,0,0,27833,0
VRIAC,2019Q3,South Carolina,RI,129989011,0,0,0,220207,0
VRIAC,2019Q3,South Dakota,SC,1019576,159957672,0,0,0,0
VRIAC,2019Q3,Tennessee,SD,194250653,0,0,0,0,0
VRIAC,2019Q3,Texas,TN,1202900,332011258,1010,38122336,0,0
VRIAC,2019Q3,Vermont,UT,3062547,197689141,0,12645991,0,0
VRIAC,2019Q3,Virginia,VT,167250,0,0,0,0,0
VRIAC,2019Q3,Washington,VA,8350266,162809255,0,0,0,0
VRIAC,2019Q3,West Virginia,WA,4569292,0,0,0,0,0
VRIAC,2019Q3,Wisconsin,WV,452267,32553034,0,0,535256070,0
VRIAC,2019Q3,American Samoa,WY,649157,109832418,0,36069104,0,0
VRIAC,2019Q3,Puerto Rico,GU,54441,5557293,0,0,0,0
VRIAC,2019Q3,Northern Mariana Islands,VI,201582,38288116,0,0,0,0
VRIAC,2021Q4,Alabama,AL,762785,77720053,0,0,0,0
VRIAC,2021Q4,Alaska,AK,110729,18950242,0,0,764457,0
VRIAC,2021Q4,Arizona,AZ,835548,142586076,574,0,336537,0
VRIAC,2021Q4,Arkansas,AR,1138634,81866751,0,13656260,555519,0
VRIAC,2021Q4,California,CA,7311779,1408847110,-37,318360028,0,0
VRIAC,2021Q4,Colorado,CO,606719,153099079,-701,0,0,0
VRIAC,2021Q4,Connecticut,CT,2435643,441611512,0,1409825868,22573,0
VRIAC,2021Q4,Delaware,DE,413882,38629117,0,27404728,537439282,0
VRIAC,2021Q4,District Of Columbia,DC,144966,41609155,0,11746691,209727,0
VRIAC,2021Q4,Florida,FL,5503483,692952259,5233,6327072,669153,0
VRIAC,2021Q4,Georgia,GA,1527698,274818571,0,8603050,151433,0
VRIAC,2021Q4,Hawaii,HI,630549,18373232,0,41329089,207677,0
VRIAC,2021Q4,Idaho,ID,390112,25655374,0,0,0,0
VRIAC,2021Q4,Illinois,IL,2553050,470415811,0,86405738,1858955,0
VRIAC,2021Q4,Indiana,IN,1132847,178180137,0,0,474400,0
VRIAC,2021Q4,Iowa,IA,508501,116123537,0,0,160822,0
VRIAC,2021Q4,Kansas,KS,1839912,110807356,0,0,866089,0
VRIAC,2021Q4,Kentucky,KY,508586,135839645,0,24031418,0,0
VRIAC,2021Q4,Louisiana,LA,767920,174770073,0,0,727064,0
VRIAC,2021Q4,Maine,ME,262959,37279658,0,0,0,0
VRIAC,2021Q4,Maryland,MD,1622517,211047094,0,0,604963,0
VRIAC,2021Q4,Massachusetts,MA,1546112,432428878,1480,117877749,101342,0
VRIAC,2021Q4,Michigan,MI,3506861,244558602,0,16591264,0,0
VRIAC,2021Q4,Minnesota,MN,10489426,225996859,0,0,388956,0
VRIAC,2021Q4,Mississippi,MS,534989,52946857,0,0,0,0
VRIAC,2021Q4,Missouri,MO,828889,214166086,0,74945959,0,0
VRIAC,2021Q4,Montana,MT,64608,11922469,0,0,3957911,0
VRIAC,2021Q4,Nebraska,NE,223974,69685382,0,0,0,0
VRIAC,2021Q4,Nevada,NV,479165,117420840,0,0,0,0
VRIAC,2021Q4,New Hampshire,NH,257822,71569077,755,0,0,0
VRIAC,2021Q4,New Jersey,NJ,3056637,499271155,0,0,0,0
VRIAC,2021Q4,New Mexico,NM,228282,25808389,495,0,0,0
VRIAC,2021Q4,New York,NY,10579951,1169350457,28177,48874759,0,0
VRIAC,2021Q4,North Carolina,NC,2659100,168938686,442,0,8047132,0
VRIAC,2021Q4,North Dakota,ND,155709,6710702,0,0,140377549,0
VRIAC,2021Q4,Ohio,OH,2356061,622954757,0,0,14084630160,0
VRIAC,2021Q4,Oklahoma,OK,452683,78304302,0,0,3957911,0
VRIAC,2021Q4,Oregon,OR,394459,253286667,0,3875885,0,0
VRIAC,2021Q4,Pennsylvania,PA,4202492,465133585,0,354713,3957911,0
VRIAC,2021Q4,Rhode Island,RI,418642,77479630,0,0,0,0
VRIAC,2021Q4,South Carolina,SC,850198,70360494,2223,0,0,0
VRIAC,2021Q4,South Dakota,SD,102453,10885282,0,0,0,0
VRIAC,2021Q4,Tennessee,TN,1242664,230208475,2131,0,793133,0
VRIAC,2021Q4,Texas,TX,5051648,896829497,0,0,59875481,0
VRIAC,2021Q4,Utah,UT,1234397,48324332,0,0,0,0
VRIAC,2021Q4,Vermont,VT,127432,12916132,385,0,0,0
VRIAC,2021Q4,Virginia,VA,2072014,395624383,0,0,15756109,0
VRIAC,2021Q4,Washington,WA,741084,168960615,0,0,0,0
VRIAC,2021Q4,West Virginia,WV,228163,28111997,0,0,0,0
VRIAC,2021Q4,Wisconsin,WI,730639,297300753,0,0,0,0
VRIAC,2021Q4,Wyoming,WY,21802,9973108,0,0,0,0
VRIAC,2021Q4,American Samoa,AS,0,13290,0,0,0,0
VRIAC,2021Q4,Guam,GU,0,316139,0,0,0,0
VRIAC,2021Q4,Puerto Rico,PR,22986,1992233,0,0,0,0
VRIAC,2021Q4,U.S. Virgin Islands,VI,3431,4019853,0,0,0,0
VRIAC,2021Q4,Northern Mariana Islands,MP,0,17630,0,0,0,0
VRIAC,2021Q4,Alabama,AL,762785,77720053,0,0,78573827,0
VRIAC,2021Q4,Alaska,AK,110729,18950242,0,0,19060971,0
VRIAC,2021Q4,Arizona,AZ,835548,142586076,0,574,143496409,0
VRIAC,2021Q4,Arkansas,AR,1138634,81866751,0,0,83127429,0
VRIAC,2021Q4,California,CA,7311779,1408847110,0,-37,1416330878,0
VRIAC,2021Q4,Colorado,CO,606719,153099079,0,-701,153819857,0
VRIAC,2021Q4,Connecticut,CT,2435643,441611512,0,0,444393879,0
VRIAC,2021Q4,Delaware,DE,413882,38629117,0,0,39042999,0
VRIAC,2021Q4,District Of Columbia,DC,144966,41609155,0,0,41754121,0
VRIAC,2021Q4,Florida,FL,5503483,692952259,0,3105,699223304,0
VRIAC,2021Q4,Georgia,GA,1527698,274818571,0,0,276779895,0
VRIAC,2021Q4,Hawaii,HI,630549,18373232,0,0,19340318,0
VRIAC,2021Q4,Idaho,ID,390112,25655374,0,0,26045486,0
VRIAC,2021Q4,Illinois,IL,2553050,470415811,0,0,473524379,0
VRIAC,2021Q4,Indiana,IN,1132847,178180137,0,0,179312985,0
VRIAC,2021Q4,Iowa,IA,508501,116123537,0,0,116632038,0
VRIAC,2021Q4,Kansas,KS,1839912,110807356,0,0,112647268,0
VRIAC,2021Q4,Kentucky,KY,508586,135839645,0,0,136348230,0
VRIAC,2021Q4,Louisiana,LA,767920,174770073,0,0,175537993,0
VRIAC,2021Q4,Maine,ME,262959,37279658,0,0,37565189,0
VRIAC,2021Q4,Maryland,MD,1622517,211047094,0,0,214460378,0
VRIAC,2021Q4,Massachusetts,MA,1546112,432428878,0,1248,971415520,0
VRIAC,2021Q4,Michigan,MI,3506861,244558602,0,0,248702693,0
VRIAC,2021Q4,Minnesota,MN,10489426,225996859,0,0,236696012,0
VRIAC,2021Q4,Mississippi,MS,534989,52946857,0,0,53748557,0
VRIAC,2021Q4,Missouri,MO,828889,214166086,0,0,215664128,0
VRIAC,2021Q4,Montana,MT,64608,11922469,0,0,11987076,0
VRIAC,2021Q4,Nebraska,NE,223974,69685382,0,0,70060789,0
VRIAC,2021Q4,Nevada,NV,479165,117420840,0,0,117900004,0
VRIAC,2021Q4,New Hampshire,NH,257822,71569077,0,755,72035332,0
VRIAC,2021Q4,New Jersey,NJ,3056637,499271155,0,0,502620335,0
VRIAC,2021Q4,New Mexico,NM,228282,25808389,0,495,26037166,0
VRIAC,2021Q4,New York,NY,10579951,1169350457,0,19340,1181757891,0
VRIAC,2021Q4,North Carolina,NC,2659100,168938686,0,442,173457183,0
VRIAC,2021Q4,North Dakota,ND,155709,6710702,0,0,6866410,0
VRIAC,2021Q4,Ohio,OH,2356061,622954757,0,0,625785219,0
VRIAC,2021Q4,Oklahoma,OK,452683,78304302,0,0,79108701,0
VRIAC,2021Q4,Oregon,OR,394459,253286667,0,0,253841947,0
VRIAC,2021Q4,Pennsylvania,PA,4202492,465133585,0,0,470675630,0
VRIAC,2021Q4,Rhode Island,RI,418642,77479630,0,0,78764361,0
VRIAC,2021Q4,South Carolina,SC,850198,70360494,0,2223,71290409,0
VRIAC,2021Q4,South Dakota,SD,102453,10885282,0,0,10987735,0
VRIAC,2021Q4,Tennessee,TN,1242664,230208475,0,0,231502426,0
VRIAC,2021Q4,Texas,TX,5051648,896829497,0,0,902608209,0
VRIAC,2021Q4,Utah,UT,1234397,48324332,0,0,49558729,0
VRIAC,2021Q4,Vermont,VT,127432,12916132,0,385,13043950,0
VRIAC,2021Q4,Virginia,VA,2072014,395624383,0,0,398407921,0
VRIAC,2021Q4,Washington,WA,741084,168960615,0,0,170306662,0
VRIAC,2021Q4,West Virginia,WV,228163,28111997,0,0,28353330,0
VRIAC,2021Q4,Wisconsin,WI,730639,297300753,0,0,298132734,0
VRIAC,2021Q4,Wyoming,WY,21802,9973108,0,0,9994910,0
VRIAC,2021Q4,American Samoa,AS,0,13290,0,0,13290,0
VRIAC,2021Q4,Guam,GU,0,316139,0,0,316139,0
VRIAC,2021Q4,Puerto Rico,PR,22986,1992233,0,0,2404174,0
VRIAC,2021Q4,U.S. Virgin Islands,VI,3431,4019853,0,0,4023284,0
VRIAC,2021Q4,Northern Mariana Islands,MP,0,17630,0,0,17630,0
VRIAC,2021Q4,Aggregate Other Alien,OT,419854,3538057,0,0,3957911,0
VRIAC,2023Q2,Alabama,AL,377671,45531610,0,0,45909281,0
VRIAC,2023Q2,Alaska,AK,27307,6458823,0,0,0,0
VRIAC,2023Q2,Arizona,AZ,399710,77027629,287,0,77427626,17837
VRIAC,2023Q2,Arkansas,AR,511144,41237631,0,3172097,32115,0
VRIAC,2023Q2,California,CA,2582871,594003933,-470,57793426,654379760,452321
VRIAC,2023Q2,Colorado,CO,306005,98990646,0,0,99296651,0
VRIAC,2023Q2,Connecticut,CT,1066576,301815430,0,178040934,395745,0
VRIAC,2023Q2,Delaware,DE,59094,12712379,0,2096446,0,0
VRIAC,2023Q2,District Of Columbia,DC,42610,19380817,0,4418091,23841518,0
VRIAC,2023Q2,Florida,FL,2207472,364901798,988,0,367110258,198473
VRIAC,2023Q2,Georgia,GA,671664,152864063,0,0,153535727,0
VRIAC,2023Q2,Hawaii,HI,211987,10678893,0,7918422,0,0
VRIAC,2023Q2,Idaho,ID,56153,14405332,0,0,14461485,19485
VRIAC,2023Q2,Illinois,IL,1031659,254055554,0,16689783,178982,0
VRIAC,2023Q2,Indiana,IN,614579,107819327,0,0,108433906,0
VRIAC,2023Q2,Iowa,IA,150682,40950250,0,0,55229,0
VRIAC,2023Q2,Kansas,KS,131661,55862680,0,0,55994341,0
VRIAC,2023Q2,Kentucky,KY,224458,65586942,0,0,65811400,0
VRIAC,2023Q2,Louisiana,LA,310541,96014075,0,0,96324616,0
VRIAC,2023Q2,Maine,ME,124868,21611345,0,0,0,0
VRIAC,2023Q2,Maryland,MD,632503,104956828,0,0,105589331,148919
VRIAC,2023Q2,Massachusetts,MA,590365,235604008,389,25540997,261735759,80484494
VRIAC,2023Q2,Michigan,MI,1106022,134302339,0,7656490,143064851,0
VRIAC,2023Q2,Minnesota,MN,3124418,127628302,0,0,130752720,2048749
VRIAC,2023Q2,Mississippi,MS,492895,24056703,0,0,24549598,0
VRIAC,2023Q2,Missouri,MO,456160,86215975,0,18800946,105473081,117583
VRIAC,2023Q2,Montana,MT,28106,6022338,0,0,0,0
VRIAC,2023Q2,Nebraska,NE,79216,45389500,0,2782520,48251236,0
VRIAC,2023Q2,Nevada,NV,157020,43547802,0,0,43704822,0
VRIAC,2023Q2,New Hampshire,NH,123900,41100701,-151,0,41224450,0
VRIAC,2023Q2,New Jersey,NJ,1720197,306244318,0,0,307964515,177558
VRIAC,2023Q2,New Mexico,NM,105780,15244358,0,0,0,0
VRIAC,2023Q2,New York,NY,4747905,641359799,16941,3426158,280143,0
VRIAC,2023Q2,North Carolina,NC,1230757,129187343,221,0,130418321,0
VRIAC,2023Q2,North Dakota,ND,46016,9669044,0,0,0,0
VRIAC,2023Q2,Ohio,OH,1017662,301479568,0,0,302497230,451862
VRIAC,2023Q2,Oklahoma,OK,206953,36776554,0,0,36983507,0
VRIAC,2023Q2,Oregon,OR,85747,106487260,0,0,106573007,0
VRIAC,2023Q2,Pennsylvania,PA,1368546,241371831,0,0,242740377,0
VRIAC,2023Q2,Rhode Island,RI,158823,43694399,0,0,43853222,60891
VRIAC,2023Q2,South Carolina,SC,382732,41783931,0,0,42166663,0
VRIAC,2023Q2,South Dakota,SD,46823,5785448,0,0,184782,0
VRIAC,2023Q2,Tennessee,TN,576198,123762411,0,0,124338609,183152
VRIAC,2023Q2,Texas,TX,2181538,490818753,0,0,493000291,390878
VRIAC,2023Q2,Utah,UT,613742,32773677,0,209247341,242634760,0
VRIAC,2023Q2,Vermont,VT,74297,27554907,385,0,27629589,0
VRIAC,2023Q2,Virginia,VA,938135,138123935,0,2229231,141291301,125853
VRIAC,2023Q2,Washington,WA,259913,91430546,0,0,47286,0
VRIAC,2023Q2,West Virginia,WV,96344,13018603,0,0,13114947,0
VRIAC,2023Q2,Wisconsin,WI,328176,161047372,0,0,161375548,0
VRIAC,2023Q2,Wyoming,WY,9029,4209994,0,0,4219023,0
VRIAC,2023Q2,American Samoa,AS,234,3547,0,0,3781,0
VRIAC,2023Q2,Guam,GU,0,144825,0,0,144825,0
VRIAC,2023Q2,Puerto Rico,PR,6546,1168099,0,0,1174645,0
VRIAC,2023Q2,U.S. Virgin Islands,VI,1715,1266837,0,0,1268552,0
VRIAC,2023Q2,Northern Mariana Islands,MP,0,60,0,0,60,0
VRIAC,2023Q4,Alabama,AL,733704,90321759,0,0,91055463,14700
VRIAC,2023Q4,Alaska,AK,49413,11521258,0,0,11570671,0
VRIAC,2023Q4,Arizona,AZ,711431,158417583,574,0,159129588,17837
VRIAC,2023Q4,Arkansas,AR,959760,68591705,0,6499190,76050655,67275
VRIAC,2023Q4,California,CA,5209018,1163504902,-738,101442036,2184282,0
VRIAC,2023Q4,Colorado,CO,606361,188857145,0,0,189463506,0
VRIAC,2023Q4,Connecticut,CT,2071715,659114305,0,450411774,1111597794,441386
VRIAC,2023Q4,Delaware,DE,372023,32075678,0,3358926,35806627,0
VRIAC,2023Q4,District Of Columbia,DC,90178,34819010,0,7339610,42248798,284644
VRIAC,2023Q4,Florida,FL,4597098,742075378,2351,0,282631,0
VRIAC,2023Q4,Georgia,GA,1355354,294779688,0,0,236126,0
VRIAC,2023Q4,Hawaii,HI,404073,21223485,0,17109616,38737174,57495
VRIAC,2023Q4,Idaho,ID,95624,32316893,0,0,19485,0
VRIAC,2023Q4,Illinois,IL,2065850,518552117,0,25307731,545925698,354956
VRIAC,2023Q4,Indiana,IN,1028949,220171815,0,0,221200764,0
VRIAC,2023Q4,Iowa,IA,355152,83432346,0,0,55229,0
VRIAC,2023Q4,Kansas,KS,1846341,96893360,0,0,98739701,73410
VRIAC,2023Q4,Kentucky,KY,442233,145803446,0,0,146245679,0
VRIAC,2023Q4,Louisiana,LA,631713,189560238,0,0,0,0
VRIAC,2023Q4,Maine,ME,245884,43243641,0,0,43489525,0
VRIAC,2023Q4,Maryland,MD,1596013,222304718,0,0,223900731,253054
VRIAC,2023Q4,Massachusetts,MA,1177677,449683987,389,47124774,135607325,0
VRIAC,2023Q4,Michigan,MI,2149164,287095278,0,13148419,302392861,0
VRIAC,2023Q4,Minnesota,MN,6179507,222708204,0,0,2048749,0
VRIAC,2023Q4,Mississippi,MS,965649,49252305,0,0,50217954,0
VRIAC,2023Q4,Missouri,MO,837254,157856957,0,31173913,190418,0
VRIAC,2023Q4,Montana,MT,50424,11014498,0,0,296582,0
VRIAC,2023Q4,Nebraska,NE,196363,87392348,0,2953988,90542699,0
VRIAC,2023Q4,Nevada,NV,304222,79757485,0,734675,80796382,0
VRIAC,2023Q4,New Hampshire,NH,213528,80667550,-151,0,80880927,0
VRIAC,2023Q4,New Jersey,NJ,2699872,584255238,0,0,586955110,687551
VRIAC,2023Q4,New Mexico,NM,192973,30581984,495,0,30775452,0
