loan_number,city,state,date_acquired,interest_rate,book_value
100151903,Myrtle Beach,SC,07/10/2024,7.875,332454
100151907,Portland,OR,07/10/2024,8.25,337021
100151911,Arcadia,NLD,07/10/2024,7.75,703332
100151917,Oceanside,CA,07/10/2024,7.625,1142737
100151921,Reynoldsburg,OH,07/10/2024,10.75,196765
100151923,Bloomingdale,GBR,07/10/2024,7.5,262214
100151926,Duluth,GBR,07/10/2024,7.625,226821
100153704,Port Lavaca,GBR,07/10/2024,8.0,261864
100153706,Novi,GBR,07/10/2024,8.75,206403
100153708,Oceanside,GBR,07/10/2024,7.625,1308165
100153711,,ANN,07/10/2024,8.625,341057
100153713,Hemet,GBR,07/10/2024,8.5,318163
100153718,Bloomingdale,GBR,07/10/2024,7.5,292682
100153720,Temple City,CA,07/10/2024,7.375,701082
100153722,Sterling,VA,07/10/2024,7.875,360536
100153724,Fontana,CA,07/10/2024,8.5,809955
100153726,Duluth,GA,07/10/2024,7.5,319133
100153730,Miami Lakes,FL,07/11/2024,7.75,1016476
100153785,Shelby Township,MI,07/11/2024,7.625,311547
100153787,Pasadena,CA,07/11/2024,8.75,924143
100153789,Kihei,HI,07/11/2024,7.625,1157374
100153791,Duluth,GA,07/11/2024,8.75,881520
100153793,Danville,CA,07/11/2024,7.375,435476
100153798,Aurora,CO,07/11/2024,7.875,316938
100153800,Hollywood,FL,07/11/2024,8.0,896618
100153807,Estero,FL,07/10/2024,6.99,648256
100153809,Chevy Chase,MD,07/10/2024,7.625,844913
100153811,Los Angeles,CA,07/10/2024,7.375,1218746
100153814,Duluth,GA,07/10/2024,7.99,314469
100153816,Dallas,TX,07/10/2024,7.25,730812
100153818,Austin,TX,07/10/2024,7.0,1322225
100153821,Palm Beach Gardens,FL,07/10/2024,9.25,920773
100153823,Charleston,SC,07/10/2024,7.5,1141033
100153825,Lorton,VA,07/10/2024,9.75,1087066
100153827,Spring Hope,NC,07/10/2024,8.875,315511
100153829,Carson,CA,07/10/2024,8.99,576116
100153831,Winter Springs,FL,07/10/2024,9.75,345827
