name,state,date_acquired,book_value,investment_income,ownership_pct
Builders Capital,WA,05/17/2023,500000000,0,0.0
Builders Capital,WA,12/20/2023,400000000,0,0.0
. RGA Reinsurance Co Springfield MA 1.F,FE,11/29/2021,190000000,0,0.0
Chesterfield Reinsurance Co Chesterfield MO 1.F,FE,03/23/2023,135000000,0,0.0
Times Square,NY,10/31/2024,130214613,0,70.0
Times Square,NY,10/31/2024,130214613,0,70.0
APOLLO INVESTMENT MANAGEMENT EUROPE Italian AIF,LUX,12/11/2023,110669785,-7091336,36.14
APOLLO INVESTMENT MANAGEMENT EUROPE Italian AIF,LUX,07/05/2022,109804072,-6974382,36.35
APOLLO INVESTMENT MANAGEMENT EUROPE Italian AIF,LUX,07/05/2022,78510680,-4358639,26.01
"Serrano Solar Partners, LLC",DE,12/18/2024,73577322,0,93.0
Secura Insurance Co Neenah,WI,04/15/2024,65000000,0,0.0
Teachers Insurance & Annuity A New York NY 1.D,FE,07/08/2016,63229251,3410615,0.0
Doctors Co An Interinsurance E Napa CA 2.B,FE,01/12/2022,61664247,2259937,0.0
NGM INSURANCE CO Jacksonville FL 1.G,FE,10/28/2016,50000000,0,0.0
Times Square Pref Equity,NY,11/27/2024,49440588,0,70.0
. Northwestern Mutual Life Insur Milwaukee WI 1.C,FE,09/21/2017,32918591,1613551,0.0
National Life Insurance Co Springfield MA 1.G,FE,07/10/2018,30876705,2120417,0.0
"(RRH - IAFAMD), L.P.",CYM,12/27/2022,29092514,0,1.3
Massachusetts Mutual Life Insu Springfield MA 1.D,FE,03/26/2021,29000000,0,0.0
Teachers Insurance & Annuity A New York NY 1.D,FE,05/03/2017,28222717,1186420,0.0
"Apollo Asia Real Estate Fund, L.P.",CYM,09/23/2016,25802794,1958126,3.73
"Apollo Asset-Backed Finance Lending Company, L.P.",DE,06/28/2024,24491975,0,30.0
Northwestern Mutual Life Insur Milwaukee WI 1.C,FE,09/12/2019,22116402,847653,0.0
Massachusetts Mutual Life Insu Springfield MA 1.D,FE,03/20/2017,22114356,1176136,0.0
New York Life Insurance Co New York NY 1.C,FE,05/27/2020,20098769,997875,0.0
Western & Southern Life Insura Cincinnati OH 1.F,FE,01/17/2019,17319239,896100,0.0
"Apollo Asset-Backed Finance Lending Company, L.P.",DE,06/28/2024,16327982,0,20.0
"AP Highlands Co-Invest, L.P.",DE,06/27/2023,16300076,1114717,2.0
Pacific Life Insurance Co Newport Beach CA 1.F,FE,10/17/2017,15947406,794067,0.0
"Riverside Micro-Cap Fund IV, L.P.",DE,12/27/2022,14648027,1341940,1.54
