entity,period,state,loan_count,total_book_value,avg_interest_rate
AAIA,2020Q1,AK,1,213036.0,4.625
AAIA,2020Q1,AL,2,369063.0,4.6825
AAIA,2020Q1,AR,1,166372.0,4.75
AAIA,2020Q1,AZ,11,1997041.0,5.1023
AAIA,2020Q1,CA,48,2919595249.0,4.8767
AAIA,2020Q1,CO,9,2045966.0,5.2717
AAIA,2020Q1,CT,5,720739.0,5.514
AAIA,2020Q1,DC,1,273910.0,5.25
AAIA,2020Q1,DE,2,328783.0,4.75
AAIA,2020Q1,FL,21,2868160743.0,5.1332
AAIA,2020Q1,GA,17,73816436.0,5.3579
AAIA,2020Q1,IA,1,153846.0,4.5
AAIA,2020Q1,ID,3,544315.0,4.4583
AAIA,2020Q1,IL,9,1425496.0,5.225
AAIA,2020Q1,IN,4,984316.0,4.2812
AAIA,2020Q1,KS,1,126569.0,4.625
AAIA,2020Q1,LA,4,1032909.0,5.4688
AAIA,2020Q1,MA,5,741059.0,6.35
AAIA,2020Q1,MD,8,1504805.0,4.7568
AAIA,2020Q1,ME,1,309331.0,4.75
AAIA,2020Q1,MI,7,1051329.0,4.9436
AAIA,2020Q1,MN,8,74108921.0,4.7488
AAIA,2020Q1,MO,6,12317015.0,4.8333
AAIA,2020Q1,MT,1,141343.0,5.0
AAIA,2020Q1,NC,17,3149692.0,5.26
AAIA,2020Q1,NE,1,337709.0,5.25
AAIA,2020Q1,NFC,10,323066.0,0
AAIA,2020Q1,NH,1,253465.0,4.875
AAIA,2020Q1,NJ,34,6023428.0,7.0137
AAIA,2020Q1,NM,5,818234.0,4.65
AAIA,2020Q1,NV,10,111426163.0,4.8345
AAIA,2020Q1,NY,34,6692496.0,8.0087
AAIA,2020Q1,OH,4,4762259.0,5.0875
AAIA,2020Q1,OK,5,616690.0,4.525
AAIA,2020Q1,OR,9,2803824.0,4.5971
AAIA,2020Q1,PA,17,820294731.0,5.0829
AAIA,2020Q1,SC,3,474225.0,6.79
AAIA,2020Q1,TN,11,170806809.0,4.8523
AAIA,2020Q1,TX,59,963517927.0,4.7196
AAIA,2020Q1,UT,4,810340.0,4.8438
AAIA,2020Q1,VA,5,872096.0,4.4498
AAIA,2020Q1,WA,8,2386188.0,4.9205
AAIA,2020Q1,WI,2,302770.0,4.5
AAIA,2022Q2,AL,4,427299.0,5.7337
AAIA,2022Q2,AZ,28,94311280.0,5.2418
AAIA,2022Q2,CA,230,577391418.0,4.9529
AAIA,2022Q2,CO,16,6744574.0,5.1653
AAIA,2022Q2,CT,23,1860907.0,6.4635
AAIA,2022Q2,DC,6,371872396.0,5.2473
AAIA,2022Q2,DE,5,370875.0,6.425
AAIA,2022Q2,ESP,1,144000000.0,4.25
AAIA,2022Q2,FL,158,414144220.0,5.5059
AAIA,2022Q2,GA,14,81996936.0,5.4801
AAIA,2022Q2,GBR,9,147175858.0,5.3956
AAIA,2022Q2,HI,7,3365287.0,5.9016
AAIA,2022Q2,IA,2,188747745.0,5.4585
AAIA,2022Q2,ID,7,3390303.0,4.5533
AAIA,2022Q2,IL,55,360463447.0,6.2563
AAIA,2022Q2,IN,14,806034.0,6.0711
AAIA,2022Q2,KY,1,165000000.0,4.387
AAIA,2022Q2,LA,10,881040.0,5.7518
AAIA,2022Q2,LOS,1,25104.0,3.45
AAIA,2022Q2,MA,8,946311.0,6.2387
AAIA,2022Q2,MD,33,40974363.0,5.1047
AAIA,2022Q2,ME,1,242462.0,3.99
AAIA,2022Q2,MI,12,2026180.0,6.0089
AAIA,2022Q2,MN,2,338353.0,5.125
AAIA,2022Q2,MO,3,204217.0,4.9247
AAIA,2022Q2,MS,1,26636.0,6.043
AAIA,2022Q2,MT,1,15744.0,6.413
AAIA,2022Q2,NC,10,2809598.0,5.6129
AAIA,2022Q2,NE,1,141046.0,3.75
AAIA,2022Q2,NH,1,262122.0,3.75
AAIA,2022Q2,NJ,160,26152342.0,6.2508
AAIA,2022Q2,NLD,166,55818275.0,3.5094
AAIA,2022Q2,NV,14,143638012.0,4.398
AAIA,2022Q2,NY,85,5781083360.0,6.2133
AAIA,2022Q2,OH,17,2286543.0,6.3692
AAIA,2022Q2,OK,7,1059587.0,5.5607
AAIA,2022Q2,OR,10,3333305.0,4.7074
AAIA,2022Q2,PA,36,4931086.0,6.3444
AAIA,2022Q2,RI,1,139445.0,3.999
AAIA,2022Q2,SAN,1,2011612.0,3.45
AAIA,2022Q2,SC,16,4078424.0,5.7904
AAIA,2022Q2,TN,22,751977952.0,5.2301
AAIA,2022Q2,TX,72,6724830384.0,5.3788
AAIA,2022Q2,UT,16,6086120.0,4.8326
AAIA,2022Q2,VA,11,1254239.0,5.8594
AAIA,2022Q2,WA,11,5930980.0,5.2356
AAIA,2022Q2,WI,2,7976.0,6.3615
AAIA,2022Q2,WV,1,91166.0,4.375
AAIA,2022Q2,WY,2,310946.0,3.3125
AAIA,2023Q1,AL,9,5264283.0,8.1706
AAIA,2023Q1,AR,1,331172.0,6.999
AAIA,2023Q1,AZ,58,55497554.0,8.3262
AAIA,2023Q1,CA,263,293123864.0,8.4769
AAIA,2023Q1,CO,18,8710787.0,8.5837
AAIA,2023Q1,CT,46,71777536.0,8.3826
AAIA,2023Q1,DC,7,1060304.0,7.3723
AAIA,2023Q1,DE,5,839245.0,8.87
AAIA,2023Q1,ESP,2,10499223.0,5.648
AAIA,2023Q1,FL,221,186954293.0,8.6855
AAIA,2023Q1,GA,55,14357495.0,8.6285
AAIA,2023Q1,GBR,9,110027538.0,5.8858
AAIA,2023Q1,HI,13,6080705.0,8.1311
AAIA,2023Q1,ID,12,6307807.0,8.2599
AAIA,2023Q1,IL,124,20309141.0,8.3877
AAIA,2023Q1,IN,14,1193686.0,8.745
AAIA,2023Q1,IRL,1,1972293.0,6.646
AAIA,2023Q1,KS,3,299095.0,7.7623
AAIA,2023Q1,KY,16,4908953.0,8.9012
AAIA,2023Q1,LA,12,1971563.0,7.7482
AAIA,2023Q1,MA,21,8786917.0,8.4673
AAIA,2023Q1,MD,57,13648427.0,8.7796
AAIA,2023Q1,ME,1,437109.0,9.25
AAIA,2023Q1,MI,33,4722111.0,8.9018
AAIA,2023Q1,MN,3,585083.0,8.3333
AAIA,2023Q1,MO,20,4037165.0,8.0
AAIA,2023Q1,MS,1,9798.0,8.05
AAIA,2023Q1,MT,2,802155.0,8.413
AAIA,2023Q1,NC,44,10193894.0,8.72
AAIA,2023Q1,NH,1,405113.0,7.375
AAIA,2023Q1,NJ,259,54260039.0,8.2451
AAIA,2023Q1,NLD,45,10691921.0,5.282
AAIA,2023Q1,NV,25,64503429.0,8.4886
AAIA,2023Q1,NY,194,325006068.0,8.154
AAIA,2023Q1,OH,37,7280862.0,8.5879
AAIA,2023Q1,OK,7,608904.0,8.4586
AAIA,2023Q1,OR,41,33444131.0,8.0649
AAIA,2023Q1,PA,75,94830442.0,8.3339
AAIA,2023Q1,SC,27,8527028.0,8.8396
AAIA,2023Q1,TN,22,7931851.0,8.5083
AAIA,2023Q1,TX,127,66020509.0,8.5459
AAIA,2023Q1,UT,25,27274722.0,8.1332
AAIA,2023Q1,VA,18,5709309.0,8.7771
AAIA,2023Q1,VT,1,245043.0,4.375
AAIA,2023Q1,WA,42,54691045.0,8.3386
AAIA,2023Q1,WI,17,1847352.0,9.0292
AAIA,2023Q1,WV,2,771210.0,9.508
AAIA,2023Q2,AL,35,3580302.0,7.0112
AAIA,2023Q2,AR,15,1799835.0,7.6739
AAIA,2023Q2,AZ,95,27841156.0,7.3019
AAIA,2023Q2,BK,1,70743.0,0.9447
AAIA,2023Q2,CA,615,681704260.0,7.4929
AAIA,2023Q2,CO,44,91976411.0,6.9178
AAIA,2023Q2,CT,92,20919369.0,7.3567
AAIA,2023Q2,DC,13,16069618.0,7.6013
AAIA,2023Q2,DE,17,3066275.0,7.3296
AAIA,2023Q2,ESP,2,7320697.0,7.901
AAIA,2023Q2,FL,593,386267277.0,7.3543
AAIA,2023Q2,GA,210,166629348.0,7.0362
AAIA,2023Q2,GBR,7,97160295.0,6.2084
AAIA,2023Q2,HI,20,14814903.0,7.6278
AAIA,2023Q2,IA,11,1176734.0,6.1432
AAIA,2023Q2,ID,19,4964341.0,6.8833
AAIA,2023Q2,IL,258,280356685.0,7.3537
AAIA,2023Q2,IN,41,3553266.0,7.1127
AAIA,2023Q2,IRL,1,3645907.0,7.328
AAIA,2023Q2,KS,21,2490339.0,6.3899
AAIA,2023Q2,KY,15,3278012.0,7.6139
AAIA,2023Q2,LA,35,4451780.0,6.9643
AAIA,2023Q2,MA,60,50908030.0,7.3487
AAIA,2023Q2,MD,150,67760159.0,7.3244
AAIA,2023Q2,ME,12,2391841.0,6.1902
AAIA,2023Q2,MI,95,8423153.0,7.4149
AAIA,2023Q2,MN,19,2967523.0,5.9168
AAIA,2023Q2,MO,55,6574394.0,6.5851
AAIA,2023Q2,MS,1,67640.0,9.326
AAIA,2023Q2,MT,7,2355864.0,7.0714
AAIA,2023Q2,NC,118,173388436.0,7.5379
AAIA,2023Q2,ND,1,67201.0,4.0
AAIA,2023Q2,NE,8,727159.0,8.0672
AAIA,2023Q2,NH,3,810978.0,6.0413
AAIA,2023Q2,NJ,375,80177120.0,7.6435
AAIA,2023Q2,NLD,55,24321151.0,5.9842
AAIA,2023Q2,NM,6,764480.0,6.7508
AAIA,2023Q2,NV,48,24555298.0,6.7677
AAIA,2023Q2,NY,413,413703023.0,7.3285
AAIA,2023Q2,OH,96,9540161.0,7.2667
AAIA,2023Q2,OK,18,1890325.0,7.8191
AAIA,2023Q2,OR,58,20702179.0,7.5536
AAIA,2023Q2,PA,198,28567624.0,7.1395
AAIA,2023Q2,RI,9,1575961.0,7.1599
AAIA,2023Q2,SAN,2,1174100.0,9.72
AAIA,2023Q2,SC,50,6854322.0,7.0431
AAIA,2023Q2,TN,49,23654396.0,7.5628
AAIA,2023Q2,TX,351,95679777.0,7.6203
AAIA,2023Q2,UT,23,10377208.0,7.2542
AAIA,2023Q2,VA,86,186845300.0,7.3367
AAIA,2023Q2,VT,2,882325.0,5.625
AAIA,2023Q2,WA,82,48731621.0,7.0847
AAIA,2023Q2,WI,40,3987252.0,6.9206
AAIA,2023Q2,WV,6,958421.0,7.2578
AAIA,2023Q2,WY,1,320542.0,6.499
AAIA,2023Q3,AK,5,858651.0,7.1402
AAIA,2023Q3,AL,53,7724602.0,7.4495
AAIA,2023Q3,AR,10,2731698.0,7.6597
AAIA,2023Q3,AZ,119,48424388.0,7.6414
AAIA,2023Q3,CA,795,1689342262.0,7.3249
AAIA,2023Q3,CO,60,21725441.0,7.5069
AAIA,2023Q3,CT,80,18120341.0,7.9587
AAIA,2023Q3,DC,8,2012532.0,7.9429
AAIA,2023Q3,DE,9,1913501.0,7.2603
AAIA,2023Q3,ESP,2,9165389.0,6.092
AAIA,2023Q3,FL,748,351183663.0,7.6515
AAIA,2023Q3,FRA,1,218500000.0,6.633
AAIA,2023Q3,GA,218,54449802.0,7.5103
AAIA,2023Q3,GBR,6,58135122.0,7.1367
AAIA,2023Q3,HI,15,7276146.0,6.4217
AAIA,2023Q3,IA,6,518584.0,7.1823
AAIA,2023Q3,ID,22,5849056.0,7.6262
AAIA,2023Q3,IL,170,73882236.0,8.329
AAIA,2023Q3,IN,57,817435271.0,7.9042
AAIA,2023Q3,IRL,2,5189895.0,7.8115
AAIA,2023Q3,KS,21,3646138.0,7.7695
AAIA,2023Q3,KY,26,5456663.0,7.7963
AAIA,2023Q3,LA,33,6825991.0,7.8237
AAIA,2023Q3,MA,62,22560888.0,8.0027
AAIA,2023Q3,MD,137,106514379.0,7.9295
AAIA,2023Q3,ME,8,1337731.0,6.4681
AAIA,2023Q3,MI,63,11032562.0,8.1915
AAIA,2023Q3,MN,22,5872835.0,7.6186
AAIA,2023Q3,MO,46,6723940.0,7.7321
AAIA,2023Q3,MT,8,5145397.0,7.7841
AAIA,2023Q3,NC,159,36909792.0,7.5305
AAIA,2023Q3,NE,2,331664.0,8.2625
AAIA,2023Q3,NH,5,1836610.0,6.9
AAIA,2023Q3,NJ,327,85990234.0,7.8549
AAIA,2023Q3,NLD,27,5972896.0,6.1056
AAIA,2023Q3,NM,14,3406993.0,7.7475
AAIA,2023Q3,NV,57,28478702.0,7.3522
AAIA,2023Q3,NY,335,1050205836.0,7.5912
AAIA,2023Q3,OH,93,14134859.0,8.0601
AAIA,2023Q3,OK,33,7834272.0,7.7871
AAIA,2023Q3,OR,49,24471504.0,7.8033
AAIA,2023Q3,PA,149,22345329.0,7.9957
AAIA,2023Q3,RI,13,5860723.0,7.5468
AAIA,2023Q3,SC,62,13392282.0,7.9535
AAIA,2023Q3,TN,131,34261949.0,7.1703
AAIA,2023Q3,TX,414,159227251.0,7.4184
AAIA,2023Q3,UT,55,21441465.0,7.183
AAIA,2023Q3,VA,95,105441620.0,7.4631
AAIA,2023Q3,VT,3,846281.0,5.7917
AAIA,2023Q3,WA,78,42839732.0,7.7767
AAIA,2023Q3,WI,28,6327440.0,7.6586
AAIA,2023Q3,WV,8,678397.0,8.2078
AAIA,2023Q3,WY,2,1091126.0,6.245
AAIA,2023Q4,AG,17,1282442.0,1.1598
AAIA,2023Q4,AK,54,17636992.0,6.493
AAIA,2023Q4,AL,579,112466058.0,6.3566
AAIA,2023Q4,AR,177,34195008.0,6.455
AAIA,2023Q4,AZ,1622,1394789943.0,6.7691
AAIA,2023Q4,BK,2,304874.0,1.2953
AAIA,2023Q4,BNP,3847,117033115.0,1.0907
AAIA,2023Q4,CA,10490,11349234135.0,6.5508
AAIA,2023Q4,CLO,2,374924.0,1.078
AAIA,2023Q4,CML,2,784823.0,1.1918
AAIA,2023Q4,CO,739,803609225.0,6.7253
AAIA,2023Q4,CT,876,446826211.0,7.264
AAIA,2023Q4,DAC,1,78058.0,1.0915
AAIA,2023Q4,DC,160,252027546.0,6.3632
AAIA,2023Q4,DE,196,306722475.0,6.5624
AAIA,2023Q4,ESP,6,202780985.0,8.0863
AAIA,2023Q4,FL,8113,4564610044.0,6.9212
AAIA,2023Q4,FRA,4,515490009.0,7.523
AAIA,2023Q4,FT,2,74.0,1.0926
AAIA,2023Q4,GA,2302,1158927590.0,6.7468
AAIA,2023Q4,GBR,422,2226714693.0,6.7811
AAIA,2023Q4,HI,293,248783321.0,6.8102
AAIA,2023Q4,IA,119,98966546.0,5.9111
AAIA,2023Q4,ID,257,99542156.0,6.6098
AAIA,2023Q4,IL,2105,1351015521.0,6.9433
AAIA,2023Q4,IN,576,213698970.0,7.2145
AAIA,2023Q4,IRL,5,147061569.0,7.8768
AAIA,2023Q4,KS,202,36548375.0,6.5885
AAIA,2023Q4,KY,291,54644094.0,6.8558
AAIA,2023Q4,LA,442,85436282.0,6.3675
AAIA,2023Q4,LLC,3,929901.0,0.9596
AAIA,2023Q4,MA,755,952211239.0,6.7835
AAIA,2023Q4,MD,1763,905530900.0,6.8932
AAIA,2023Q4,ME,103,20698913.0,5.9341
AAIA,2023Q4,MEX,8,4534604.0,9.8325
AAIA,2023Q4,MI,919,137490303.0,6.9655
AAIA,2023Q4,MN,391,80148774.0,5.7213
AAIA,2023Q4,MO,657,340319934.0,6.6624
AAIA,2023Q4,MS,27,5472192.0,5.9503
AAIA,2023Q4,MT,89,37966874.0,6.889
AAIA,2023Q4,NA,13,2504174.0,1.1259
AAIA,2023Q4,NC,1684,976923310.0,6.9059
AAIA,2023Q4,ND,9,1400062.0,4.735
AAIA,2023Q4,NE,81,22159508.0,5.9046
AAIA,2023Q4,NH,108,31739948.0,6.3497
AAIA,2023Q4,NJ,3376,1624954380.0,7.253
AAIA,2023Q4,NLD,2047,698585701.0,4.4629
