name,state,date_acquired,book_value,investment_income,ownership_pct
Bonds - U.S. Government,,07/07/2016,0,0,0.0
Bonds - U.S. Special Revenue and Special Assessment 3136AJ 4R 4 FANNIE MAE FNMA_14-23 3.500% 05/01/44,,09/01/2016,0,0,0.0
3136AM 6F 1 FANNIE MAE FNMA_15-24 3.000% 04/01/45,,09/01/2016,0,0,0.0
3136AP VL 3 FANNIE MAE FNMA_15-59 3.000% 08/01/45,,09/01/2016,0,0,0.0
3137B3 AJ 7 FREDDIE MAC FHLMC_4227 3.500% 07/01/43,,09/01/2016,0,0,0.0
3137BH RK 5 FEDERAL HOME LOAN MORTGAGE COR 3.000%,,09/01/2016,0,0,0.0
Bonds - Industrial and Miscellaneous 07386R AC 3 BEAR STEARNS ASSET BACKED SECU 0.785%,,09/09/2016,0,0,0.0
07401J AA 6 BEAR STEARNS MORTGAGE FUNDING 0.735% 1,,08/02/2016,0,0,0.0
12693# AA 1 UNIVERSITY OF WISCONSIN 3.880% 04/18/4,,07/28/2016,0,0,0.0
42806L AA 9 HERC RENTALS INC 7.500% 06/01/22,,07/01/2016,0,0,0.0
42806L AB 7 HERC RENTALS INC 7.750% 06/01/24,,07/01/2016,0,0,0.0
50077L AK 2 HJ HEINZ,CO,08/19/2016,0,0,0.0
53621@ AG 1 LION INDUSTRIAL TRUST 4.140% 09/01/26,,09/01/2016,0,0,0.0
55336V AJ 9 MPLX LP 4.875% 06/01/25,,09/29/2016,0,0,0.0
75281A AV 1 RANGE RESOURCES CORP 5.750% 06/01/21,,09/16/2016,0,0,0.0
87612B AM 4 TARGA RESOURCES PARTNERS LP/TA 5.250%,,07/21/2016,0,0,0.0
87612B BC 5 TARGA RESOURCES PARTNERS LP 5.375% 02/,,09/22/2016,0,0,0.0
98954U AB 9 ZIGGO BOND FINANCE BV 6.000% 01/15/27 F,,09/16/2016,0,0,0.0
Bonds - U.S. Government 36201F UX 3 GINNIE MAE I GNMA I 7.000%,,09/01/2016.,0,0,0.0
36202D,MA,09/01/2016.,0,0,0.0
36202D NL 1 GOVERNMENT NATIONAL MORTGAGE A GNMA II 6 .,,09/01/2016.,0,0,0.0
36202E 6E 4 GOVERNMENT NATIONAL MORTGAGE A GNMA II 5 .,,09/01/2016.,0,0,0.0
36202E 7H 6 GOVERNMENT NATIONAL MORTGAGE A GNMA II 5 .,,09/01/2016.,0,0,0.0
36213C J5 0 GINNIE MAE I GNMA I 7.000%,,09/01/2016.,0,0,0.0
Bonds - U.S. Special Revenue and Special Assessment 3128M1 AB 5 FEDERAL HOME LOAN MORTGAGE COR FHLMC 5.0 .,,09/01/2016.,0,0,0.0
3128M5 KW 9 FEDERAL HOME LOAN MORTGAGE COR FHLMC 5.5 .,,09/01/2016.,0,0,0.0
3128M7 V2 9 FEDERAL HOME LOAN MORTGAGE COR FHLMC 5.0 .,,09/01/2016.,0,0,0.0
3132J6 B6 0 FEDERAL HOME LOAN MORTGAGE COR 3.000% .,,09/01/2016.,0,0,0.0
3138EK BP 9 FEDERAL NATIONAL MORTGAGE ASSO 4.000% .,,09/01/2016.,0,0,0.0
3138EP HM 9 FEDERAL NATIONAL MORTGAGE ASSO 3.500% .,,09/01/2016.,0,0,0.0
31402R CV 9 FEDERAL NATIONAL MORTGAGE ASSO FNMA 5.00 .,,09/01/2016.,0,0,0.0
Bonds - Industrial and Miscellaneous 03077J AA 8 AMERIGAS FINANCE LLC/AMERIGAS AMERIGAS F .,,07/27/2016.,0,0,0.0
04544Q AD 9 ASSET BACKED SECURITIES CORP H 0.665% .,,09/26/2016.,0,0,0.0
05949C NQ 5 BOAMS_05-11 BOAMS 2005-11 1A12 5.750% .,,09/01/2016.,0,0,0.0
07401J AA 6 BEAR STEARNS MORTGAGE FUNDING 0.735% 1 .,,09/25/2016.,0,0,0.0
