loan_number,city,state,date_acquired,interest_rate,book_value
0000198804,Phelps,NE,03/15/2017,4.6,2809080
0000198781,Hendry,FL,02/02/2017,4.5,1900000
0000198806,Clay,NE,02/24/2017,4.55,1438650
0000198813,Story,IA,01/18/2017,4.99,1329328
0000702899,Los Angeles,CA,01/31/2017,3.37,1000000
20605P,Ac 5 Resources,IN,01/16/2017,103.25,1032500
223611,,,03/31/2017,100.0,200955
223611,,,03/31/2017,100.0,99100
42806L,,AA,03/10/2017,103.0,26780
42806L,,AB,03/10/2017,103.0,74160
44986U,,AC,03/01/2017,101.469,507345
500472,,AB,01/20/2017,105.098,1050980
591709,,AL,02/10/2017,102.208,817664
89054X,,AA,03/30/2017,100.0,103968
909287,,AA,01/02/2017,100.0,26806
