name,state,date_acquired,book_value,investment_income,ownership_pct
"Desig- Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of Accomplice Fund I, L.P Cambridge",MA,03/10/2015,0,0,2.35
"Accomplice Fund II, L.P Cambridge",DE,01/08/2018,0,0,4.0
"Advent International GPE VII-B, L.P Wilmington",DE,08/20/2012,0,0,0.07
AEA Mezzanine Fund III LP New York,NY,03/15/2013,0,0,1.25
AEA Mezzanine Fund IV LP New York,NY,02/28/2018,0,0,5.0
Affinity Asia Pacific Fund IV (NO.2) L.P Singapore SGP. Affinity Asia Pacific,,03/20/2013,0,0,0.95
"AH Parallel Fund IV, L.P Menlo Park",CA,05/08/2014,0,0,0.64
"AH Parallel Fund V, L.P Menlo Park",CA,05/31/2016,0,0,0.28
"AH Parallel Fund V-Q, L.P Menlo Park",CA,05/31/2016,0,0,0.59
"American Industrial Partners Capital Fund V, L.P New York",NY,12/19/2011,0,0,1.93
"American Securities Partners VII, L.P New York",NY,12/10/2014,0,0,0.48
"American Securities Partners VIII, L.P New York",NY,02/13/2018,0,0,0.33
"Arlington Capital Partners III, L.P Chevy Chase",MD,02/02/2010,0,0,4.08
"Arlington Capital Partners IV, L.P Chevy Chase",MD,07/28/2016,0,0,2.14
Arsenal Capital Partners Fund IV LP New York,NY,09/03/2015,0,0,0.65
"Audax Mezzanine Fund II, L.P New York",NY,06/17/2005,0,0,3.55
"Audax Mezzanine Fund III, L.P New York",NY,12/10/2009,0,0,2.1
"Battery Ventures XII Side Fund, L.P Boston",MA,01/16/2018,0,0,1.17
"Battery Ventures XII, L.P Boston",MA,01/16/2018,0,0,1.22
"Bayview Opportunity Domestic V, L.P New York",NY,02/01/2017,0,0,0.89
"BDCM Opportunity Fund III, L.P Greenwich",CT,11/06/2009,0,0,1.87
"BDCM Opportunity Fund IV, L.P Greenwich",CT,02/04/2015,0,0,0.32
BE,VI,01/26/2018,0,0,0.29
"Behrman Capital IV, L.P New York",NY,06/29/2007,0,0,10.08
Blackstone Capital Partners VI L.P New York,NY,07/29/2008,0,0,0.31
Blackstone Capital Partners VII L.P New York,NY,04/07/2015,0,0,0.1
"Blum Strategic Partners II, L.P San Francisco",CA,05/04/2001,0,0,0.28
"Brentwood Associates Private Equity IV, L.P Los Angeles",CA,08/17/2006,0,0,2.27
Bridgepoint Europe V 'B1' LP London GBR. Bridgepoint,,09/03/2014,0,0,0.13
"Capital International Private Equity Fund V, L.P Los Angeles",CA,06/19/2007,0,0,1.89
"Capital International Private Equity Fund VI, L.P Los Angeles",CA,03/24/2011,0,0,0.69
"Carlyle Global Partners, L.P Washington",DC,09/01/2016,0,0,3.3
"Carlyle Partners VI, L.P Washington",DC,02/19/2013,0,0,5.8
"CCMP Capital Investors III, L.P New York",NY,07/02/2014,0,0,0.29
CHAMP IV Trust B Sydney AUS. Champ,,07/24/2015,0,0,1.77
"Charles River Partnership XV, LP Menlo Park",CA,02/15/2012,0,0,1.12
"ChrysCapital VII, LLC Mumbai",IND,06/10/2016,0,0,2.4
"CIP Capital Fund II, L.P New York",NY,02/04/2016,0,0,2.38
"Clearlake Capital Partners V, L.P Los Angeles",CA,10/13/2017,0,0,0.57
"Cortec Group Fund V, L.P New York",NY,12/15/2010,0,0,2.08
"Court Square Capital Partners III, L.P New York",NY,12/27/2011,0,0,0.94
"CRV XVII, L.P Cambridge",MA,07/11/2017,0,0,1.5
"CVC Capital Partners Asia Pacific III L.P George Town, Grand Cayman CYM. CVC",,01/17/2008,0,0,0.67
"Desig- Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of CVC Capital Partners Asia Pacific IV L.P George Town, Grand Cayman CYM. CVC",,05/13/2014,0,0,0.38
CVC Capital Partners,VI,06/28/2013,0,0,0.07
Denham Oil & Gas Fund LP Boston,MA,04/28/2017,0,0,2.15
"EnCap Energy Capital Fund X, L.P Houston",TX,02/05/2015,0,0,0.28
"EnCap Energy Capital Fund XI, L.P Houston",TX,12/12/2016,0,0,0.39
EnCap Energy Capital IX Houston,TX,01/04/2013,0,0,0.22
Equistone Partners Europe Fund V L.P London GBR. Equistone,,01/22/2015,0,0,0.42
"FFL Capital Partners IV, L.P San Francisco",CA,12/03/2013,0,0,1.79
Fifth Cinven Fund (No. 1) Limited Partnership London GBR. Cinven,,11/15/2011,0,0,0.12
"FountainVest China Capital Partners Fund III, L.P Shanghai CHN. FountainVest",,06/30/2016,0,0,0.49
"FountainVest China Growth Capital Fund II, L.P Shanghai CHN. FountainVest",,12/27/2012,0,0,1.13
"Francisco Partners Agility, L.P San Francisco",CA,09/08/2016,0,0,1.62
"Francisco Partners IV, L.P San Francisco",CA,12/08/2014,0,0,0.5
"Friedman Fleischer & Lowe Capital Partners III, L.P San Francisco",CA,12/06/2007,0,0,1.55
"Global Infrastructure Partners II-A, LP New York",NY,09/15/2011,0,0,0.25
"Global Infrastructure Partners, L.P New York",NY,10/10/2007,0,0,0.43
"Great Hill Equity Partners V, L.P Boston",MA,06/18/2014,0,0,1.08
"Green Equity Investors VI, L.P Los Angeles",CA,10/18/2011,0,0,0.45
"Green Equity Investors VII, L.P Los Angeles",CA,02/16/2016,0,0,0.16
"GS Mezzanine Partners V, L.P New York",NY,09/26/2007,0,0,0.9
GSO Capital Opportunities Fund II L.P New York,NY,05/09/2011,0,0,0.75
GSO Capital Opportunities Fund III LP New York,NY,04/26/2016,0,0,0.31
"Harvest Partners VI, L.P New York",NY,10/05/2011,0,0,1.23
Hg Saturn L.P London GBR. Hg,,03/07/2018,0,0,1.5
"Hony Capital Fund V, L.P Beijing CHN. Hony Capital",,10/19/2011,0,0,0.59
ICG North American Private Debt Fund LP New York,NY,08/22/2014,0,0,2.68
"Industrial Growth Partners IV, L.P San Francisco",CA,05/17/2011,0,0,1.86
"Industrial Growth Partners V, L.P San Francisco",CA,04/08/2016,0,0,1.76
"Kleiner Perkins Caufield & Byers XVII, LLC New York",NY,06/13/2016,0,0,0.68
"Kohlberg Investors VIII, L.P Mount Kisco",NY,07/25/2016,0,0,0.3
"KPCB Digital Growth Fund III, LLC New York",NY,06/13/2016,0,0,1.01
"Lightspeed Venture Partners Select III, L.P Menlo Park",CA,03/22/2018,0,0,1.43
"Lightspeed Venture Partners XII, L.P Menlo Park",CA,03/22/2018,0,0,0.84
"Linzor Capital Partners II, L.P Santiago",CHL,07/23/2010,0,0,4.47
"Linzor Capital Partners III, L.P Santiago",CHL,02/26/2015,0,0,1.02
"Maranon Mezzanine Fund II, L.P Chicago",IL,04/30/2013,0,0,3.68
Mid Europa Fund IV LP London GBR. Mid Europa Partners LLP,,04/07/2014,0,0,0.59
"Nautic Partners VII, L.P Providence",RI,10/15/2014,0,0,0.76
"Navis Asia Fund VII, L.P Kuala Lumpur MYS. Navis Capital Partners",,09/17/2014,0,0,1.34
"New Enterprise Associates 16, L.P Menlo Park",CA,04/05/2017,0,0,0.3
"Oak Hill Capital Partners III, L.P Fort Worth",TX,11/02/2007,0,0,0.25
"Odyssey Investment Partners Fund V, LP New York",NY,06/24/2014,0,0,0.48
"PA Direct Credit Opportunities Fund II, LP Darien",CT,10/04/2016,0,0,2.11
PAI Europe VI-1 Paris,FRA,07/24/2013,0,0,0.63
"Desig- Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of Patria-Brazilian Private Equity Fund IV, L.P Sao Paulo BRA. Patria",,07/26/2011,0,0,0.75
"Patria-Brazilian Private Equity Fund V, L.P Sao Paulo BRA. Patria",,05/19/2014,0,0,1.35
"PIMCO BRAVO Fund II, L.P Newport Beach",CA,04/16/2013,0,0,0.09
Polish Enterprise Fund VII L.P Warsaw POL Enterprise Investors,,05/17/2012,0,0,0.27
Primavera Capital Fund II L.P Hong Kong CHN. Primavera Capital Group,,10/14/2014,0,0,1.27
Primavera Capital Fund III L.P Hong Kong CHN. Primavera,,02/14/2018,0,0,0.54
Providence Equity Partners IV L.P Providence,RI,09/22/2000,0,0,0.06
"Public Pension Capital, LLC New York",NY,07/10/2014,0,0,1.2
"Quantum Energy Partners VII Co-Investment Fund, L.P Houston",TX,09/01/2017,0,0,0.4
"Quantum Energy Partners VII, L.P Houston",TX,09/01/2017,0,0,0.7
"Redpoint Omega II, L.P Menlo Park",CA,10/18/2011,0,0,1.12
"Riverstone Global Energy and Power Fund V, L.P New York",NY,01/12/2012,0,0,0.35
