loan_number,city,state,date_acquired,interest_rate,book_value
202263,Tulare,CA,04/05/2022,2.91,27458137
202331,Calhoun,TX,04/08/2022,3.48,11000000
202476,Shelby,IA,04/28/2022,3.43,1185000
202483,Fresno,CA,04/26/2022,4.0,1800000
202492,Dickinson,IA,04/08/2022,3.74,1525000
202494,Crittenden,AR,04/07/2022,3.95,1300000
202526,Laporte,IN,04/14/2022,3.9,1600000
202534,Miami,IN,04/01/2022,4.25,3450000
202561,Zavala,TX,04/08/2022,3.75,1625000
202572,Dunklin,MO,06/01/2022,4.4,1600000
202584,Hardee,FL,06/03/2022,2.5,15000000
9900128801,North Myrtle Beach,SC,04/19/2022,6.374,598063
9900128804,Long Beach,CA,04/19/2022,4.75,638466
9900128805,Hesperia,CA,04/19/2022,5.25,418847
9900128807,Phoenix,AZ,04/19/2022,4.875,258995
9900128808,Salinas,CA,04/19/2022,4.375,419776
9900128809,Gilbert,AZ,04/19/2022,4.5,410447
9900128812,Charlotte,NC,04/19/2022,5.0,217034
9900128815,Las Vegas,NV,04/19/2022,4.5,294469
9900128819,Twin Peaks,CA,04/19/2022,4.5,317894
9900128821,Woodland Hills,CA,04/19/2022,4.625,1279803
9900128823,Van Nuys,CA,04/19/2022,4.25,547028
9900128829,Salinas,CA,04/19/2022,4.75,256678
9900128831,Orange,CA,04/19/2022,3.99,670377
9900128832,Bend,OR,04/19/2022,4.875,658161
9900128835,Los Angeles,CA,04/19/2022,4.875,689384
9900128836,Matthews,NC,04/19/2022,4.375,211027
9900128842,Doral,FL,04/19/2022,4.125,763560
9900128844,Temecula,CA,04/19/2022,4.5,689530
9900128845,Miami,FL,04/19/2022,4.5,463267
9900128847,Los Angeles,CA,04/19/2022,3.75,902024
9900128848,Hayward,CA,04/19/2022,5.625,282737
9900128849,Running Springs,CA,04/19/2022,4.5,304538
9900128850,Hollywood,FL,04/19/2022,4.999,691445
9900128853,Poway,CA,04/19/2022,5.0,1778683
9900128854,Chandler,AZ,04/19/2022,5.375,753587
9900128856,Lahaina,HI,04/19/2022,4.875,368369
9900128857,Tampa,FL,04/19/2022,6.375,454284
9900128858,Reno,NV,04/19/2022,4.75,811958
9900128859,Choctaw,OK,04/19/2022,6.125,456066
9900128861,Clio,MI,04/19/2022,5.875,112281
9900128862,Philadelphia,PA,04/19/2022,6.375,140322
9900128865,Ft Lauderdale,FL,04/19/2022,5.875,704900
9900128888,Bakersfield,CA,04/19/2022,4.625,191319
9900128894,Pacoima,CA,04/19/2022,4.75,440544
9900128908,San Francisco,CA,04/19/2022,5.5,1383584
9900128912,Calabasas,CA,04/19/2022,4.875,2063698
9900128915,Jacksonville,FL,04/19/2022,4.625,250003
9900128973,Safety Harbor,FL,04/19/2022,4.5,224481
9900128998,Tarzana,CA,04/19/2022,4.875,1448840
9900129002,Cypress,CA,04/19/2022,4.375,883114
9900129003,New Orleans,LA,04/19/2022,4.125,407899
9900129004,Boca Raton,FL,04/19/2022,4.125,272919
9900129005,Miami,FL,04/19/2022,4.125,415048
9900129006,Miami,FL,04/19/2022,5.5,508333
9900129008,Granada Hills,CA,04/19/2022,4.75,716655
9900129009,Chatsworth,CA,04/19/2022,4.25,452722
9900129010,Santa Barbara,CA,04/19/2022,4.5,1904553
9900129013,Camarillo,CA,04/19/2022,5.25,915992
9900129014,Laguna Hills,CA,04/19/2022,4.125,545640
9900129019,Thousand Oaks,CA,04/19/2022,4.625,1075929
9900129022,Miami,FL,04/19/2022,4.25,242290
9900129023,Newburgh,NY,04/19/2022,4.2,254723
9900129024,Newburgh,NY,04/19/2022,4.25,306455
9900129028,Lacey,WA,04/19/2022,4.99,383177
9900129029,Lake Forest,CA,04/19/2022,5.875,967849
9900129030,Hawthorne,NY,04/19/2022,4.5,551084
9900129031,Rosedale,MD,04/19/2022,4.175,209006
9900129033,Melbourne,FL,04/19/2022,4.125,206615
9900129034,Missouri City,TX,04/19/2022,4.5,251169
9900129035,Richmond,TX,04/19/2022,4.5,404066
9900129051,San Mateo,CA,04/19/2022,4.375,1072616
9900129055,Long Beach,CA,04/19/2022,4.5,821569
9900129059,Elk Grove,CA,04/19/2022,4.75,550277
9900129071,Los Angeles,CA,05/02/2022,5.5,796135
9900129076,Rancho Mirage,CA,05/02/2022,6.25,482370
9900129077,Port Hueneme,CA,05/02/2022,4.625,214381
9900129078,Oxnard,CA,05/02/2022,4.625,304554
9900129086,Framingham,MA,05/02/2022,6.0,433808
9900129090,Apple Valley,CA,05/02/2022,5.75,237635
9900129102,Santa Ana,CA,05/02/2022,4.875,289970
9900129107,San Francisco,CA,05/02/2022,4.5,562958
9900129110,Las Vegas,NV,05/02/2022,5.375,308333
9900129111,Madera,CA,05/02/2022,4.25,918000
9900129112,Salinas,CA,05/02/2022,6.375,730732
9900129113,West Hills,CA,05/02/2022,4.875,974444
9900129116,Rancho Mission Viejo,CA,05/02/2022,4.999,690223
9900129122,Palm Coast,FL,05/02/2022,4.625,260072
9900129130,Redlands,CA,05/02/2022,4.999,709958
9900129132,Van Nuys,CA,05/02/2022,3.75,734933
9900129134,Lake Arrowhead,CA,05/02/2022,5.25,544845
9900129138,Fresno,CA,05/02/2022,3.999,288297
9900129147,Lawndale,CA,05/02/2022,3.625,913656
9900129149,Lowell,MA,05/02/2022,3.875,303960
9900129163,Fitchburg,MA,05/02/2022,3.999,272069
9900129165,Los Angeles,CA,05/02/2022,4.375,338966
9900129168,Portland,TN,05/02/2022,3.999,241301
9900129169,Portland,TN,05/02/2022,3.999,241301
9900129185,Beaverton,OR,05/02/2022,5.875,545177
9900129204,North Dighton,MA,05/02/2022,5.75,347341
9900129209,Diamond Bar,CA,05/02/2022,3.25,473946
9900129211,Pollock Pines,CA,05/02/2022,4.499,774656
9900129213,Ladera Ranch,CA,05/02/2022,3.999,1871571
9900129220,Corona,CA,05/02/2022,4.999,626459
9900129224,Murrieta,CA,05/02/2022,3.25,824211
9900129225,Palmdale,CA,05/02/2022,3.625,235422
9900129227,Detroit,MI,05/02/2022,5.875,208576
9900129229,Chula Vista,CA,05/02/2022,6.999,936948
9900129238,Chatsworth,CA,05/02/2022,5.999,471608
9900129240,Kissimmee,FL,05/02/2022,6.25,265237
9900129246,Tempe,AZ,05/02/2022,4.999,267155
9900129256,Hemet,CA,05/02/2022,5.875,165022
9900129258,Canoga Park,CA,05/02/2022,4.625,335209
9900129261,Newport Beach,CA,05/02/2022,4.5,3480505
9900129262,Paterson,NJ,05/02/2022,4.999,294848
9900129263,Phoenix,AZ,05/02/2022,4.625,287133
9900129266,Edmonds,WA,04/21/2022,4.125,899461
9900129268,San Diego,CA,04/21/2022,4.5,898057
9900129270,Denver,CO,04/21/2022,4.5,672036
9900129272,Redondo Beach,CA,04/21/2022,3.875,729396
9900129274,Brea,CA,04/21/2022,4.5,803639
9900129276,North Hollywood,CA,04/21/2022,4.25,987416
9900129277,Eagle,CO,04/21/2022,4.375,733214
9900129278,Costa Mesa,CA,04/21/2022,4.25,760272
9900129279,Santa Clarita,CA,04/21/2022,4.25,700688
9900129280,Issaquah,WA,04/21/2022,3.99,808319
9900129281,Lynnwood,WA,04/21/2022,3.75,806369
9900129282,Napa,CA,04/21/2022,3.875,703228
9900129283,Walnut Creek,CA,04/21/2022,4.125,728669
9900129284,Alpine,CA,04/21/2022,3.875,686158
9900129285,Lake Stevens,WA,04/21/2022,3.99,791730
9900129286,Redondo Beach,CA,04/21/2022,3.75,720942
9900129287,Pasadena,CA,04/21/2022,3.75,970892
9900129289,Brooklyn,NY,04/21/2022,3.99,847623
9900129290,New York,NY,04/21/2022,3.875,823248
9900129291,Los Angeles,CA,04/21/2022,3.99,825114
9900129292,Sammamish,WA,04/21/2022,3.99,818458
9900129293,Buena Park,CA,04/21/2022,4.875,666895
9900129296,Livingston,NJ,04/21/2022,3.99,857707
9900129297,Pasadena,CA,04/21/2022,4.875,996906
9900129298,La Habra,CA,04/21/2022,4.75,882429
9900129299,Fountain Valley,CA,04/21/2022,3.75,797504
9900129300,Seattle,WA,04/21/2022,3.99,849933
9900129301,Brooklyn,NY,04/21/2022,3.99,1215866
9900129302,Brooklyn,NY,04/21/2022,4.375,1085439
9900129303,Brooklyn,NY,04/21/2022,3.99,1215866
9900129304,Seattle,WA,04/21/2022,4.25,696380
9900129305,Bellevue,WA,04/21/2022,3.375,757559
9900129306,San Pedro,CA,04/21/2022,4.625,726305
9900129307,Cotati,CA,04/21/2022,3.99,762252
9900129308,Los Angeles,CA,04/21/2022,3.99,971604
9900129309,Bethesda,MD,04/21/2022,4.875,980158
9900129314,Lebanon,NJ,04/21/2022,3.25,702831
9900129315,Amawalk,NY,04/21/2022,4.5,707950
9900129317,San Ramon,CA,04/21/2022,3.875,688192
9900129318,Denver,CO,04/21/2022,3.5,682036
9900129320,Duvall,WA,04/21/2022,4.125,836534
9900129322,Agoura Hills,CA,04/21/2022,4.125,698964
9900129324,Sherwood Forest,CA,04/21/2022,4.875,871119
9900129325,Aptos,CA,04/21/2022,4.25,841265
9900129326,Escondido,CA,04/21/2022,4.25,668886
9900129327,Oakland,CA,04/21/2022,3.875,957512
9900129329,Washington,DC,04/21/2022,4.75,720014
9900129330,Staten Island,NY,04/21/2022,4.5,795978
9900129331,Brentwood,CA,04/21/2022,4.875,751233
9900129332,Monroe,WA,04/21/2022,4.25,766840
9900129333,Somis,CA,04/21/2022,3.375,813348
9900129334,Huntington Beach,CA,04/21/2022,3.875,823009
