loan_number,city,state,date_acquired,interest_rate,book_value
192905,Mclean,IL,12/08/2008,3.1,674158
192967,La Salle,IL,12/15/2008,3.83,213010
192971,Mclean,IL,11/12/2008,3.83,79230
192972,Piatt,IL,10/31/2008,3.83,79686
192973,Ford,IL,12/23/2008,3.83,212519
195007,Kern,CA,12/05/2011,6.4,3209321
196972,Wilkin,MN,06/06/2014,4.75,328748
197213,Kings,CA,10/02/2014,4.5,6232406
197356,Desoto,FL,12/03/2014,3.85,8466820
198670,Jackson,MO,11/09/2016,3.58,718419
198681,Scott,IL,11/17/2016,2.95,1641737
198683,Hamilton,NE,01/04/2017,3.65,806398
198711,Sublette,WY,12/21/2016,3.35,1332150
198743,Weld,CO,01/12/2017,3.5,6771959
198765,Lafayette,MO,11/30/2016,3.89,1562835
198795,Ray,MO,01/05/2017,2.84,771176
200636,Kings,CA,03/02/2020,3.9,2444460
702514,The Woodlands,TX,03/21/2013,3.6,22997906
702885,Dallas,TX,12/28/2016,7.0,1459719
702889,Los Angeles,CA,12/09/2016,3.36,500000
702890,Brookfield,WI,01/30/2017,3.91,472905
702892,Anaheim,CA,12/16/2016,3.4,500000
702897,San Francisco,CA,02/08/2017,4.34,799999
702901,Fargo,ND,02/01/2017,4.61,443435
