name,state,date_acquired,book_value,investment_income,ownership_pct
"CUSIP Name of Vendor Market Originally and at Time of 997,960 Investment Percentage of Dyal III US Investors LP Dover",DE,10/28/2016,0,0,0.463
"Genstar Capital Partners VII, LP New York",CA,10/01/2015,0,0,0.221
"Goode Partners Consumer Fund III, LP New York",NY,12/30/2015,0,0,1.164
"GTCR Fund XI, LP New York",DE,09/02/2014,0,0,0.114
"Kinderhook Capital Fund IV, LP Chicago",NY,04/27/2015,0,0,31.555
"Kinderhook Capital Fund V, LP and V-B, LP Santa Monica",NY,12/19/2017,0,0,0.0
KKR Global Infrastructure Investors III LP Chicago,NY,12/03/2018,0,0,4.647
"Platinum Equity Capital Partners IV, LP",CA,03/21/2017,0,0,0.0
PPC Fund II LP New York,IL,04/26/2018,0,0,2.576
"TCP Direct Lending Fund VIII, LLC New York",CA,12/30/2016,0,0,2.188
"Tennenbaum Special Situations Fund IX-A, LLC Cincinnati",CA,12/30/2016,0,0,0.817
"Pearlmark Mezzanine Realty Partners IV, LP",IL,10/28/2015,0,0,0.0
New York Life Insurance Company,NY,04/04/2019,0,0,0.0
E03 95765P-AA-7 Western & Southern Life Insurance Company,OH,01/23/2019,0,0,0.0
