entity,period,state,state_code,life,annuity,ah,other,total,deposit
BLC,2018Q3,Alabama,AL,1918980,3505609,2938761,8756528,647245,0
BLC,2018Q3,Alaska,AK,42982,60502,170349545,0,40000,0
BLC,2018Q3,Arizona,AZ,3188547,4920482,8404276,5945320,15000,0
BLC,2018Q3,Arkansas,AR,2514988,3316274,4582183,56029664,442227,0
BLC,2018Q3,California,CA,24105320,27876445,31611136,88379166,50000,0
BLC,2018Q3,Colorado,CO,4622577,9835719,11266357,26311333,40756,0
BLC,2018Q3,Connecticut,CT,7072858,12487707,7837643,14583454,411421,0
BLC,2018Q3,Delaware,DE,2087039,3310310,3359179,38144989,633549,0
BLC,2018Q3,District Of Columbia,DC,665573,516561,397107,37453853,153974101,0
BLC,2018Q3,Florida,FL,32252170,82969131,55128244,41869102,153974101,0
BLC,2018Q3,Georgia,GA,8028162,17675741,11473540,22033435,153974101,0
BLC,2018Q3,Hawaii,HI,1126895,3142944,1675481,0,32643754,0
BLC,2018Q3,Idaho,ID,1169838,1957532,5303592,0,2896523,0
BLC,2018Q3,Illinois,IL,16676591,26299803,13053270,0,79274244,0
BLC,2018Q3,Indiana,IN,14625812,30228399,20317816,0,47603073,0
BLC,2018Q3,Iowa,IA,13549713,54387302,20442151,0,25819805,0
BLC,2018Q3,Kansas,KS,7015652,13399525,13790320,0,19967710,0
BLC,2018Q3,Kentucky,KY,5846746,15050626,5413961,0,3483683,0
BLC,2018Q3,Louisiana,LA,2092472,2936943,4043488,0,85560515,0
BLC,2018Q3,Maine,ME,3768538,7172369,3642547,0,12371572,0
BLC,2018Q3,Maryland,MD,7262237,12724177,8114653,0,57416477,0
BLC,2018Q3,Massachusetts,MA,6125406,22481103,9538480,0,37518857,0
BLC,2018Q3,Michigan,MI,19496051,37245552,0,0,13258372,0
BLC,2018Q3,Minnesota,MN,7257666,21551628,8644559,0,5947,0
BLC,2018Q3,Mississippi,MS,2032914,4290209,4441582,0,14490,0
BLC,2018Q3,Missouri,MO,8986453,15390444,0,0,17492205,0
BLC,2018Q3,Montana,MT,943683,1322759,2315061,0,115856,0
BLC,2018Q3,Nebraska,NE,2961818,9960986,0,0,9110631,0
BLC,2018Q3,Oklahoma,OK,2143086,2336701,0,0,5297171,0
BLC,2018Q3,Oregon,OR,3863972,13457076,0,0,8498757,0
BLC,2018Q3,Pennsylvania,PA,21468668,48987900,0,0,35785535,0
BLC,2018Q3,Rhode Island,RI,3451383,13153398,0,0,3362929,0
BLC,2018Q3,South Carolina,SC,7536967,22259635,0,0,7659401,0
BLC,2018Q3,South Dakota,SD,379756,112283,0,0,2991644,0
BLC,2018Q3,Tennessee,TN,7058404,21676159,0,0,10386396,0
BLC,2018Q3,Texas,TX,17621126,40218818,0,0,27720572,0
BLC,2018Q3,Utah,UT,903861,1942712,0,0,2043924,0
BLC,2018Q3,Vermont,VT,1933522,5644246,0,0,4793804,0
BLC,2018Q3,Virginia,VA,8574903,13099182,0,0,13753581,0
BLC,2018Q3,Washington,WA,6638762,33803187,0,0,16974529,0
BLC,2018Q3,West Virginia,WV,5124740,11142511,0,0,4788025,0
BLC,2018Q3,Wisconsin,WI,8438229,14170049,0,0,14910578,0
BLC,2018Q3,Wyoming,WY,297358,-28300,0,0,1106538,0
BLC,2018Q3,Guam,GU,4835,0,0,0,1112,0
BLC,2018Q3,Puerto Rico,PR,32568,0,0,0,8016,0
BLC,2018Q3,U.S. Virgin Islands,VI,8065,0,0,0,6425,0
BLC,2018Q3,Aggregate Other Aliens,OT,34036,34000,0,0,47820,0
BLC,2019Q2,Alabama,AL,1471895,1707048,1803925,7084080,323857,0
BLC,2019Q2,Alaska,AK,28900,58530,35379,126663084,109030,0
BLC,2019Q2,Arizona,AZ,2282857,4288578,5823657,5325652,61446,0
BLC,2019Q2,Arkansas,AR,1555976,1751938,2893285,34552506,119709,0
BLC,2019Q2,California,CA,16108653,19792854,20185022,60285412,40000,0
BLC,2019Q2,Colorado,CO,3275566,13725334,7284712,0,19766531,0
BLC,2019Q2,Connecticut,CT,4849490,11904913,5163786,0,12549114,0
BLC,2019Q2,Delaware,DE,1542041,3427480,2114558,26993476,223873866,0
BLC,2019Q2,District Of Columbia,DC,427625,425900,243514,0,25363621,0
BLC,2019Q2,Florida,FL,21504011,68618475,36540598,0,29737890,0
BLC,2019Q2,Georgia,GA,5687360,9614403,7368337,0,16370143,0
BLC,2019Q2,Hawaii,HI,808965,3438336,1078350,0,22193158,0
BLC,2019Q2,Idaho,ID,793399,3069259,3202810,0,1187120,0
BLC,2019Q2,Illinois,IL,10699958,15264451,8588097,0,66174687,0
BLC,2019Q2,Indiana,IN,9052036,33373467,12755785,0,996002,0
BLC,2019Q2,Iowa,IA,9384603,38112049,12788760,0,5844553,0
BLC,2019Q2,Kansas,KS,4018472,13991148,8843473,0,80746096,0
BLC,2019Q2,Kentucky,KY,3479639,12733901,3552992,0,27900164,0
BLC,2019Q2,Louisiana,LA,1381296,554343,2570348,0,25962662,0
BLC,2019Q2,Maine,ME,2487009,7809623,2252483,0,4851368,0
BLC,2019Q2,Maryland,MD,4732185,8010073,5107167,0,29867793,0
BLC,2019Q2,Massachusetts,MA,4526960,16307357,6159159,0,18000960,0
BLC,2019Q2,Michigan,MI,12529594,31882402,8382018,0,1110589,0
BLC,2019Q2,Minnesota,MN,4296418,15591916,5475287,0,1626,0
BLC,2019Q2,Mississippi,MS,1171535,2825876,2711568,0,27688,0
BLC,2019Q2,Missouri,MO,5880602,12614478,11242810,0,2070,0
BLC,2019Q2,Montana,MT,573522,1489166,1517532,0,248,0
BLC,2019Q2,Nebraska,NE,1538145,9066170,5765829,0,1224353105,0
BLC,2019Q2,Oklahoma,OK,1704653,1405448,0,0,2734452,0
BLC,2019Q2,Oregon,OR,2694076,8213543,0,0,5334191,0
BLC,2019Q2,Pennsylvania,PA,14464333,43549469,0,0,22732294,0
BLC,2019Q2,Rhode Island,RI,2004227,7681392,0,0,2162983,0
BLC,2019Q2,South Carolina,SC,5027092,18009218,0,0,4863854,0
BLC,2019Q2,South Dakota,SD,300015,395278,0,0,2214859,0
BLC,2019Q2,Tennessee,TN,5095364,14215506,0,0,6651792,0
BLC,2019Q2,Texas,TX,11580351,32877251,0,0,17659820,0
BLC,2019Q2,Utah,UT,584278,2952012,0,0,1315078,0
BLC,2019Q2,Vermont,VT,1000968,5133486,0,0,2963600,0
BLC,2019Q2,Virginia,VA,5687195,15393732,0,0,8786866,0
BLC,2019Q2,Washington,WA,4178021,23694872,0,0,10709163,0
BLC,2019Q2,West Virginia,WV,3173847,11761840,0,0,3065273,0
BLC,2019Q2,Wisconsin,WI,5661228,10173423,0,0,9962305,0
BLC,2019Q2,Wyoming,WY,175868,257900,0,0,676821,0
