name,state,date_acquired,book_value,investment_income,ownership_pct
"Carlyle Alternative Opportunities Fund, L.P. Washington, DC",DC,12/14/2018,368132097,613711,66.69
"AGL Alternative Holdings, LLC Wilmington",DE,12/15/2023,270248081,77841935,100.0
Silver (BREDS) Various,AUS,06/20/2022,244961298,395312,0.0
SA Affordable Housing LLC Los Angeles,CA,12/31/2013,206732458,0,100.0
The Spiral NEW YORK,NY,01/29/2019,184660721,13268478,0.0
"Corebridge U.S. Real Estate Fund IV, LP New York City",NY,07/26/2021,178620465,0,33.17
"Carlyle Property Investors L.P. Washington, DC",DC,07/01/2019,166216708,3727624,3.953
"Corebridge U.S. Real Estate Fund III, LP New York",NY,01/02/2019,153513632,6638979,34.5
AlpInvest Co-Investment Fund (Onshore) L.P. New York,NY,10/07/2021,141607660,-25471082,11.457
"Sterling Group Partners V, L.P. San Francisco",CA,01/02/2014,130185709,0,12.2
Designation Book/ Year's Other- Foreign Project Bard BRED Repo Loan (AIG) Various,GBR,03/30/2021,119464930,6491277,0.0
"Carlyle Partners V, L.P. (2018) Washington, DC",DC,06/19/2022,117769834,-5790521,1.64
Park 303 Glendale,AZ,03/09/2022,112798189,98671,0.0
"Designation Book/ Year's Other- Foreign Carlyle Europe Partners V, S.C.Sp. Bitbourg",LUX,02/21/2019,112705685,530460,1.94
"Carlyle Asia PE Alternative Opportunities Fund, L.P. Washington, DC",DC,12/31/2018,112524063,-283708,81.296
"AlpInvest Falcon SCF I, L.P. New York",NY,07/01/2023,104536823,0,34.493
"Designation Book/ Year's Other- Foreign Corebridge U.S. Real Estate Fund II, LP New York",NY,11/01/2018,102319375,0,25.0
"Corebridge Europe Real Estate Fund II LR Feeder, LLC New York",NY,03/13/2019,95119861,-11465,51.441
123 Mission Street San Francisco,CA,11/16/2022,92696512,-178486,0.0
90 Long Acre London GBR D VI 90,LA,03/28/2022,88449722,7555906,0.0
"Carlyle Credit Opportunities Fund, L.P. Washington, DC",DC,04/26/2019,88129319,-1351463,6.15
Corebridge REI LB Southeast Industrial JV LLC Stephenson,VA,07/01/2021,74489523,2199345,24.9
141 Willoughby BROOKLYN,NY,09/17/2021,73935506,5762016,0.0
TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF TEACHERS INSURANCE AND ANNUITY AMER --- NY ASSOCIATION OF AMER 1.D,FE,05/03/2017,73780735,3159800,0.0
"L.P. Washington, DC",DC,01/25/2019,73589479,-1525599,6.64
MS Term Facility DECATUR,GA,08/23/2019,72142762,6487307,0.0
"NGP Natural Resources XII, L.P. Irving",TX,01/16/2019,71141857,30015404,2.91
San Francisco,CA,02/13/2019,70810065,4562785,0.856
"American Securities Partners VIII, L.P. New York",NY,03/14/2018,66046015,1594143,0.714
"SunAmerica Investors 3, LP (Whitehouse Hotel LP) Nevada USA Affordable Housing",,09/15/2019,65478370,0,98.35
