loan_number,city,state,date_acquired,interest_rate,book_value
2019788,Mclean,CA,05/26/2017,3.527,634883
2025341,Redondo Beach,TX,05/26/2017,4.028,577921
2020943,Falls Church,TX,05/26/2017,3.534,576402
2016496,Washington,NY,05/26/2017,3.508,662074
2025336,Washington,WA,05/26/2017,3.778,691748
2008373,Carmel,OR,05/26/2017,3.754,585611
2020744,Los Angeles,TX,05/26/2017,4.188,518606
2011336,San Antonio,TX,05/26/2017,4.222,667244
2006381,Houston,CO,05/26/2017,3.775,608291
2010082,Brightwaters,TX,05/26/2017,3.638,446995
2022612,Bothell,CA,05/26/2017,4.409,479815
2019874,Portland,NJ,05/26/2017,3.901,635993
2014154,Dallas,FL,05/26/2017,4.206,607483
2023363,Lucas,NC,05/26/2017,3.869,458260
2006283,Denver,CO,05/26/2017,3.828,586818
2022770,Austin,VA,05/26/2017,4.373,859939
2010300,San Diego,ID,05/26/2017,3.635,636907
2027389,Bernards Township,FL,05/26/2017,4.041,400045
2029966,Jacksonville,WV,05/26/2017,4.082,604471
2023409,Asheville,AZ,05/26/2017,3.702,492895
2004138,Lakewood,MA,05/26/2017,3.859,406244
2023423,Falls Church,NV,05/26/2017,3.844,511733
2013490,Coeur D Alene,CA,05/26/2017,3.557,490524
2010156,Hedgesville,TX,05/26/2017,3.512,749669
2030170,,,05/26/2017,4.088,389266
2020608,,,05/26/2017,3.639,627385
2026519,,LAS,05/26/2017,3.651,394240
2010235,,,05/26/2017,3.952,572310
2019841,,,05/26/2017,4.36,825101
2027391,Seattle,OK,05/26/2017,4.032,459215
2026517,Bainbridge Island,FL,05/26/2017,3.555,598803
2006317,Washington,CA,05/26/2017,3.898,460540
2023365,Boston,CO,05/26/2017,3.566,406057
2005806,Friendship,TX,05/26/2017,4.078,601641
2025743,Edmond,CA,05/26/2017,3.6,297251
2027272,Norman,CO,05/26/2017,4.108,572279
2010117,Wesley Chapel,IL,05/26/2017,3.65,463626
2005073,Burbank,AZ,05/26/2017,4.16,447370
