name,state,date_acquired,book_value,investment_income,ownership_pct
"GUARDIAN LIFE INSURANCE COMPANY OF AIG Home Loan 4, LLC Wilmington AMERICA",,01/17/2017,250967286,6930000,0.99
Marina 2 Various,,12/11/2019,65090033,0,0.0
"Marlin Equity V LP Hermosa Beach TX Luxor Capital Group, LP 6,938,158 10,544,810 0.046 Marlin Heritage II LP Boca Raton Luxor Capital Group, LP",,08/05/2015,54940079,0,0.001
"Carlyle Alternative Opportunities Fund, L.P. Washington, DC",DC,12/14/2018,43499617,0,0.0
Southeast Industrial JV LLC Stephenson AIG Home Loan,,06/17/2014,42948084,1171116,0.281
TPG,,06/17/2016,40802923,0,0.004
"Waud Capital Partners, LLC",,11/06/2015,38917702,0,0.0
"Voloridge Fund LP Jupiter 12,144,820 3,206,134 0.005 Voloridge Sustainability Fund, LP City of Dover Platinum Equity, LLC",,09/30/2016,29833822,0,0.033
NY Designation Book/ Year's Other- Foreign Darsana Fund LP,NY,07/30/2014,29317091,0,0.015
"American Securities Partners VII, LP New York",NY,01/01/2015,26685387,3701128,0.0
Mariner Atlantic Multi-Strategy Fund LP Hermosa Beach,CAN,12/20/2018,25635614,134936,0.011
Voloridge,,01/21/2021,24851087,60548,0.0
"Vista Foundation Fund III, LP Jupiter PIMCO",,11/27/2021,24750000,0,0.065
"Carlyle Credit Opportunities Fund, L.P. Washington, DC",DC,04/26/2019,24612628,0,0.0
PIMCO Volatility Absolute Return Offshore Fund Newport Beach,CA,08/01/2016,24256588,2972754,0.055
"AIGGRE Europe Real Estate Fund II LR Feeder, WI LLC New York",NY,03/06/2019,22668060,1057177,0.109
Whale Rock Capital Management LLC,,07/01/2021,22394601,0,0.0
"Brightwood Capital Fund IV, LP Wilmington NATIONWIDE MUTUAL INSURANCE",CO,05/22/2013,21504733,3359804,0.029
Brevan Howard Alpha Strategies Fund LP New York,NY,04/01/2021,21356534,0,0.0
"Carlyle Property Investors L.P. Washington, DC",DC,07/01/2019,21231936,0,0.0
"General Atlantic Partners 92G, L.P.(2018 New York",FL,10/01/2018,21155192,1140588,0.001
"SASOF V LP New York NY Styx Partners, L.P.",,02/23/2018,21011990,0,0.0
Rokos Global Macro Fund LP London,GBR,12/02/2019,20470143,0,0.0
"Tiger Global Management, LLC",,06/01/2014,20288374,0,0.012
Advent International GPE IX Limited 0.003 Partnership Boston,MA,05/20/2019,20252813,472952,0.005
"American Securities Partners VIII, L.P. New York",NY,03/14/2018,19450561,-408578,0.0
Marina Various,,10/31/2018,19092218,0,0.0
"AIGGRE U.S. Real Estate Fund I, LP New York AIG Global Real Estate Investment Corp",,12/30/2018,17312661,0,0.04
Vista Equity Partners,,05/29/2016,15974727,0,0.005
"Carlyle Alternative Opportunities Fund, L.P. Washington, DC",DC,12/14/2018,15801188,-56034,0.0
Whale Rock Flagship Fund LP San Francisco,,09/27/2021,15425861,6916167,0.023
"Ridgemont Partners Secondary Fund I, LP Miami",CA,11/27/2021,15022500,0,0.0
"ASSOCIATION OF AMER 378,689 AMER --- 1.D",FE,05/03/2017,14958832,0,0.0
Trilantic Capital Management L.P.,,08/27/2018,14908328,-710694,0.109
Voloridge,,08/01/2019,13466237,0,0.0
"VIII, LP Toronto",NY,02/15/2017,13348012,0,0.0
"AIGGRE U.S. LT Apartments JV, LP New York",NY,12/30/2018,13283209,0,0.019
".PE (NON AEEM) Liquidated Investments - New York 631,174 603,578 0.035 Distribution New York Ridgemont Equity Partners",,10/30/2015,13018484,-80633,0.0
"AE Industrial Partners Fund I, L.P. Boca Raton",CA,04/26/2016,13012979,-256181,0.0
TSG Consumer Products,,11/17/2015,12624829,-458346,0.006
"Carlyle Asia PE Alternative Opportunities Fund, L.P. Washington, DC",DC,12/31/2018,12608989,276189,0.0
"Altaris Constellation Partners IV, L.P. New York",NY,06/15/2018,12459630,0,0.0
"AIG Equity Alpha Fund, LLC New York",NY,11/30/2020,12398364,0,0.023
"AIG DECO Fund I, LP New York",NY,07/22/2020,11573977,0,0.009
"TSG6 LP San Francisco TSG7 B, L.P. San Francisco",,01/16/2019,11246511,0,0.0
.HF Liquidated Investments - Distribution Ridgemont Equity Partners,,06/01/2014,10739475,0,0.003
AEA Investors Fund VII LP New York,NY,02/26/2019,10363390,468428,0.0
"Jade Equity Investors, L.P. Greenwich",FL,11/05/2019,10039766,0,0.002
"Commitment) CHN General Atlantic 264,662 0 0.002 General Atlantic Partners 99B, L.P.(2018 Greenwich",TX,08/02/2018,9903135,0,0.0
TSG Consumer Products,,06/01/2014,9453608,0,0.017
Clinton Grand Holdings LLC Hoboken AIG Global Real Estate Investment Corp,,03/19/2021,9232456,0,0.354
TSG Consumer Products,,12/14/2018,9157572,0,0.024
Zetta Venture Partners,,08/26/2016,9068469,0,0.0
"AIG DECO Fund II, LP New York",NY,09/28/2021,8755182,0,0.021
"Carlyle ETPE Alternative Opportunities Fund, L.P. Washington, DC",DC,09/30/2019,8703925,-66382,0.0
"Carlyle Europe Partners V, S.C.Sp. Bitbourg",LUX,02/21/2019,7059317,-532520,0.0
Bayshore Shopping Center JV LLC Glendale AIG Global Real Estate Investment Corp,,02/06/2017,5937895,0,0.075
"Harvest Partners VIII, L.P. New York",NC,10/01/2018,5742696,181763,0.002
AlpInvest Co-Investment Fund (Onshore) L.P. New York,NY,10/15/2020,5738058,-471319,0.0
"Carlyle Realty Partners VIII Washington, DC",DC,12/13/2018,5516839,398930,0.0
"Carlyle Global Partners II, L.P. Washington, DC",DC,01/25/2019,5122722,-434575,0.0
"GA RV (Class B) Continuation, L.P. Westport NY General Atlantic 0 251,591 0.039 Gemspring Capital Fund II, LP",NY,12/17/2020,5020918,0,0.017
"III, L.P. Washington, DC",DC,01/28/2019,4774604,1207724,0.0
"LP Beverly Hills TX Myriad Asset Management 541,910 0 0.003 Platinum Equity Capital Partners IV, L.P. Greenwich",FL,04/01/2016,4491436,-5516,0.004
(2018 Commitment) New York,CA,03/24/2020,4351887,0,0.0
"AIGGRE U.S. Real Estate Fund I, LP New York AIG Global Real Estate Investment Corp",,02/01/2019,3693014,0,0.06
"GRE LB Industrial Joint Venture II, LP Winchester AIG Global Real Estate Investment Corp",,10/01/2014,3057476,0,0.099
"Carlyle Europe Partners V, S.C.Sp. Bitbourg",LUX,02/21/2019,2807258,-211764,0.0
"AIG LIQUID ALTERNATIVE EQUITY ALPHA FUND, LLC AIG LIQUID ALTERNATIVE EQUITY ALPHA New York",NY,08/10/2021,2755604,0,0.0
S.C.Sp. Bitbourg,LUX,12/21/2018,2674531,-232794,0.0
Bayshore PII Company LLC Glendale NORTHWESTERN MUTUAL LIFE INSURANCE,CO,03/15/2021,2648483,0,0.15
"TPG STAR, L.P.",,07/07/2016,2491720,0,0.0
".PE Liquidated Investments - Distribution 17,300 Ridgemont Equity Partners",,03/05/2015,2357909,0,0.0
"CenterOak Equity Fund II, L.P. Dallas",TX,04/14/2020,2294454,0,0.0
"ALPINVEST SECONDARIES FUND (ONSHORE) VII, L.P. Washington, DC",DC,03/06/2020,2150673,-141063,0.0
Carlyle Group,,05/18/2020,1591065,0,0.0
CLARUS LIFESCIENCES II Cambridge,MA,05/15/2018,1545641,0,0.0
"Coral Tree Partners, LP Los Angeles",CA,06/01/2021,1489594,0,0.0
AP Tundra Holdings LLC St. Louis,MO,12/29/2020,1277311,0,0.0
S.C.Sp. Bitbourg,LUX,12/21/2018,1162840,-101215,0.0
Vintage Adirondack Hldgs - 1 Yr (USL) NEW YORK,,12/22/2020,1121320,1411,0.0
L.P. San Francisco,,02/02/2015,1120569,0,0.0
Challenger Various,,01/15/2021,1109404,0,0.0
Myriad Opportunities US Fund Limited Irving,CA,11/05/2019,1046244,0,0.013
LP New York,CT,05/10/2018,1028212,-165349,0.091
TEACHERS INSURANCE AND ANNUITY AMBAC ASSURANCE CORP --- ASSOCIATION OF AMER 6.,,09/15/2014,462612,0,0.0
"Aurelius European Opportunities IV, S.C.A. SICAV-RAIF Munich",DEU,04/27/2021,334069,-246859,0.0
"Cerberus Capital Management, L.P.",,05/15/2018,249705,0,0.0
"American Capital Equity II, L.P. Bethesda",MD,10/23/2007,228376,0,0.0
"Commitment) Los Angeles CA Green Equity Investors VIII, L.P. New York",CT,09/17/2020,114329,0,0.001
AIGGRE US Real Estate Fund IV Development Sidecar LP New York City AIG Global Real Estate Investment Corp,,09/01/2021,102500,0,0.093
"Sound Point Beacon Fund, LP New York",NY,11/12/2013,71217,0,0.011
or Impair- Deferred Book/ Project Patriot Various,ESP,09/28/2018,55726,1806117,0.0
"General Atlantic Partners AIV-1 A, L.P. (2018 New York",CA,11/06/2018,3659,-4638,0.0
West Peachtree Atlanta,GA,09/03/2020,0,0,0.0
Broadway NEW YORK,NY,01/21/2021,0,0,0.003
