loan_number,city,state,date_acquired,interest_rate,book_value
2020103,Chicago,IL,05/26/2017,3.858,454328
2021184,San Diego,CA,05/26/2017,3.674,878206
2009794,Portland,OR,05/26/2017,3.785,464821
2006148,Falls Church,VA,05/26/2017,3.838,531980
2021776,Nashville,TN,05/26/2017,3.948,446214
2022244,Arlington Heights,IL,05/26/2017,3.67,601043
2008367,Las Vegas,NV,05/26/2017,4.423,622774
2022214,La Verne,CA,05/26/2017,4.0,524841
2021964,Nine Mile Falls,WA,05/26/2017,4.053,544144
2022304,Daniel Island,SC,05/26/2017,4.111,442971
2007903,Dallas,TX,05/26/2017,3.878,541337
2018777,Louisville,CO,05/26/2017,3.652,481726
2023913,San Antonio,TX,05/26/2017,3.772,433758
2013741,Los Angeles,CA,05/26/2017,3.799,527011
2023610,Bryn Mawr,PA,05/26/2017,3.57,586415
2026295,Holly Springs,NC,05/26/2017,3.697,395839
2009546,Brooklyn,NY,05/26/2017,3.821,566025
2020189,San Francisco,CA,05/26/2017,3.73,845927
2006445,Corte Madera,CA,05/26/2017,4.098,709977
2023314,Sacramento,CA,05/26/2017,3.631,604703
2007587,Bethesda,MD,05/26/2017,3.814,706875
2024566,Oakland,CA,05/26/2017,3.464,431559
2021778,Hayward,CA,05/26/2017,3.711,600056
2020177,Carlsbad,CA,05/26/2017,3.756,490713
2007615,Annapolis,MD,05/26/2017,3.605,351111
2023090,Golden,CO,05/26/2017,3.751,456369
2019948,Parker,CO,05/26/2017,3.702,440590
2023056,Aurora,CO,05/26/2017,3.588,392443
2007993,Yorba Linda,CA,05/26/2017,3.798,689633
2019976,Seattle,WA,05/26/2017,3.786,804430
2022232,Mc Queeney,TX,05/26/2017,4.299,707282
2023536,Forest,VA,05/26/2017,3.508,565892
2007918,San Diego,CA,05/26/2017,3.952,366674
2018592,Annapolis,MD,05/26/2017,4.146,516967
2023017,Philadelphia,PA,05/26/2017,3.729,332935
2025421,Scottsdale,AZ,05/26/2017,3.611,471977
2030397,Montauk,NY,05/26/2017,4.277,772382
2023725,Flower Mound,TX,05/26/2017,3.583,555719
2020635,Holly Springs,NC,05/26/2017,3.659,376058
2022687,Carmel,IN,05/26/2017,3.541,495860
2020596,Tenafly,NJ,05/26/2017,3.877,400942
2028771,Mission Viejo,CA,05/26/2017,3.857,631286
2021339,Richardson,TX,05/26/2017,3.803,524761
2023614,Redondo Beach,CA,05/26/2017,3.656,571401
2009792,San Anselmo,CA,05/26/2017,3.94,395653
2023007,Centennial,CO,05/26/2017,3.708,546224
2023144,Alexandria,VA,05/26/2017,3.54,585042
2005045,Portland,OR,05/26/2017,4.282,461720
2005168,Madison,NJ,05/26/2017,4.339,422664
2018529,Sykesville,MD,05/26/2017,3.68,479606
2020603,Ramsey,NJ,05/26/2017,3.78,520480
2025608,Philadelphia,PA,05/26/2017,3.516,453625
2020606,Rancho Cucamonga,CA,05/26/2017,3.816,404956
2024562,South Lyon,MI,05/26/2017,3.594,482674
2021645,Arlington,VA,05/26/2017,3.939,673147
2017781,Rockville Centre,NY,05/26/2017,4.333,639497
2006475,Ashburn,VA,05/26/2017,4.043,696060
2021702,Houston,TX,05/26/2017,3.861,446573
2025212,San Francisco,CA,05/26/2017,3.509,474696
2006178,Portland,OR,05/26/2017,4.022,411452
2026511,Boulder,CO,05/26/2017,3.542,734673
2017929,West Covina,CA,05/26/2017,4.361,429791
2027764,Murrieta,CA,05/26/2017,3.627,426832
2023602,Lake Oswego,OR,05/26/2017,3.699,528907
2012925,Seabrook,TX,05/26/2017,3.779,401704
2012929,Midland,TX,05/26/2017,4.253,591939
2023532,Alamo,CA,05/26/2017,3.689,657947
2020587,Miami,FL,05/26/2017,3.749,490157
2019606,Lakewood,CO,05/26/2017,3.669,510603
2023341,Kaysville,UT,05/26/2017,3.557,86771
2018520,Staten Island,NY,05/26/2017,3.826,447228
2021341,Raleigh,NC,05/26/2017,3.893,429263
2025663,Ashburn,VA,05/26/2017,3.653,571087
2019668,Boca Raton,FL,05/26/2017,3.771,497873
2023347,Fort Lauderdale,FL,05/26/2017,3.883,448763
2017957,San Rafael,CA,05/26/2017,4.111,488643
2007542,Arlington,VA,05/26/2017,3.784,528600
2021983,Wayne,PA,05/26/2017,3.822,616447
2006497,Charlottesville,VA,05/26/2017,3.924,515519
2018573,Las Vegas,NV,05/26/2017,3.949,409746
2024552,Bellevue,WA,05/26/2017,3.562,539577
2018514,Waterford,VA,05/26/2017,3.847,547168
2023636,Rocklin,CA,05/26/2017,3.701,431925
2022222,College Grove,TN,05/26/2017,3.658,283598
2006503,Murphy,TX,05/26/2017,3.842,316734
2018221,Tampa,FL,05/26/2017,3.884,373507
2017912,Babylon,NY,05/26/2017,4.164,577860
2023627,Las Vegas,NV,05/26/2017,3.563,560735
2029075,Scotts Valley,CA,05/26/2017,4.113,602065
2021941,Lucas,TX,05/26/2017,3.804,414190
2021797,Lucas,TX,05/26/2017,3.743,554045
2019053,Rancho Cucamonga,CA,05/26/2017,4.025,667447
2007550,Lake Bluff,IL,05/26/2017,3.826,456316
2008891,Lake Oswego,OR,05/26/2017,3.976,630270
2009816,Culver City,CA,05/26/2017,3.844,706753
2015208,Rockville Centre,NY,05/26/2017,3.763,530768
2007949,Wilsonville,OR,05/26/2017,3.781,503942
2018525,San Marcos,CA,05/26/2017,3.945,553436
2009741,Rancho Cucamonga,CA,05/26/2017,3.659,635801
2017692,River Forest,IL,05/26/2017,3.814,666914
2005495,Downers Grove,IL,05/26/2017,4.299,582237
2008007,Los Angeles,CA,05/26/2017,4.054,717813
2025620,Vacaville,CA,05/26/2017,3.59,481675
2023085,Murrieta,CA,05/26/2017,3.771,762605
2014857,Manasquan,NJ,05/26/2017,3.904,608576
2023344,Fruit Heights,UT,05/26/2017,4.266,563102
2022546,Portland,OR,05/26/2017,3.63,571888
2007898,Peoria,AZ,05/26/2017,3.22,235909
2012694,Hawthorne,NY,05/26/2017,3.967,452033
2022035,Tucson,AZ,05/26/2017,4.542,457585
2017812,Garnet Valley,PA,05/26/2017,4.057,395706
2023648,Lucas,TX,05/26/2017,3.619,355717
2020370,Allison Park,PA,05/26/2017,3.763,438649
2023086,Gresham,OR,05/26/2017,3.664,440558
2017806,Davis,CA,05/26/2017,4.029,389117
