name,state,date_acquired,book_value,investment_income,ownership_pct
"VALIC Alternative Holdings, LLC Wilmington",DE,12/14/2023,237451993,29945585,100.0
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund IV, LP New York City",NY,07/26/2021,97914384,0,19.45
"Corebridge Europe Real Estate Fund II LR Corebridge Global Real Estate Investment Feeder, LLC New York",NY,03/06/2019,97173726,0,34.816
Silver (BREDS) Various,AUS,06/20/2022,74420460,4849501,0.0
ATLAS CAPITAL RESOURCES IV LP Greenwich,CT,06/10/2022,47363425,232311,1.488
90 Long Acre London,GBR,03/28/2022,42124317,2974816,0.0
"Platinum Equity Capital Partners V, L.P. Beverly Hills",CA,01/27/2020,41766980,4507282,0.4
Corebridge U.S. Real Estate Fund IV Corebridge Global Real Estate Investment Development Sidecar LP New York City,NY,09/01/2021,38986822,0,27.45
EDGE London,GBR,07/26/2022,38976771,2737610,0.0
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund III, LP New York",NY,02/01/2019,35959934,6316985,16.0
"Hillhouse Fund V, L.P. Beijing",CHN,11/30/2020,34077816,-508265,0.338
New York City,NY,03/23/2023,32864503,-790632,0.542
"Green Equity Investors IX, L.P. Los Angeles",CA,08/14/2023,31476962,602049,0.739
"Aurelius European Opportunities IV, S.C.A. SICAV-RAIF Munich",DEU,10/18/2021,30266713,2699271,2.364
BANK OF AMERICA CORP SENIOR CORP_BND Adj % Due 3/15/2050 MS15 US BANK OF AMERICA CORP SENIOR CORP_BND 1.C,FE,03/12/2019,30000000,1299000,0.0
"Platinum Equity Capital Partners VI, L.P Los Angeles",CA,12/09/2022,28962490,1175899,0.363
"GTCR Fund XIII, L.P. Chicago",IL,09/03/2021,26032509,3690293,0.5
Investment 2 L.P. New York,NY,08/04/2022,23151632,-315269,9.31
Crimson - VALIC Pembroke Crimson - VALIC,,10/06/2020,22629808,1962236,0.0
Blackstone Real Estate Partners X L.P. New York City,NY,03/23/2023,22226571,-231300,0.167
"Corebridge REI LB Southeast Industrial Joint Corebridge Global Real Estate Investment Venture, LP. Stephenson",VA,07/01/2021,22117549,568241,7.74
"Gemspring Capital Fund III, LP Westport",CT,09/12/2023,21858208,-2448700,5.415
"Five Elms V Q, L.P. Kansas City",MO,08/19/2021,20470840,-239382,2.692
"Charlesbank Equity Fund X, LP Boston",MA,09/24/2021,20416011,3368133,0.627
"Corebridge Global Real Estate Investment Corebridge U.S. LT Apartments JV, LP. New York",NY,08/31/2021,18846097,0,5.0
NATIONWIDE MUTUAL INSURANCE CO SUB CORP_BND 144A 8.250% 12/01/31 OH DIRECT 1.G,FE,11/19/2013,18600514,1270500,0.0
"Carlyle Alternative Opportunities Fund, L.P. Washington, DC",DC,12/14/2018,18035903,1032670,3.672
"Thoma Bravo Fund XIV, L.P. San Francisco",CA,04/14/2021,16111261,1901460,0.203
"Thompson Street Capital Partners VI, L.P. St. Louis",MO,04/01/2022,15780233,-223263,2.174
Corebridge Global Real Estate Investment Bayshore Shopping Center JV LLC Glendale,WI,09/30/2019,15712038,0,17.0
NORTHWESTERN MUTUAL LIFE INSUR SUB CORP_BND 144A 3.625% 09/30/59 WI DIRECT 1.D,FE,09/20/2019,13970802,506703,0.0
"Green Equity Investors VIII, L.P. Los Angeles",CA,10/20/2020,13757099,1554998,0.225
MASSACHUSETTS MUTUAL LIFE INSU SUB CORP_BND 144A 8.875% 06/01/39 MA DIRECT 1.D,FE,05/22/2013,13738903,811796,0.0
"EIV Capital Fund IV, LP Houston",TX,10/14/2020,13544994,2757340,3.94
"Tilia Fund II, L.P. Chicago",IL,04/22/2021,12855753,-200138,5.97
Palomino Business Park Norco,CA,03/25/2022,12563659,878318,0.0
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund II, LP New York",NY,12/30/2018,12183019,0,4.0
CANARY WHARF FINANCE CWHARF_2B SUB SUB_CMBS _2B 3.723% 10/22/37 GBR INTERNAL TRANSFER 2.B,FE,07/12/2017,11710745,896456,0.0
"Corebridge Global Real Estate Investment GRE LB Industrial Joint Venture II, LP Winchester",VA,11/12/2021,11194235,624938,25.0
CSAIL COMMERCIAL MORTGAGE TRUS SUB SENIOR_CMBS _17-C8 144A 3.677 DIRECT 1.A,,06/21/2017,11067365,442257,0.0
"Oncology Impact Fund 2, L.P. Cambridge",MA,01/05/2021,9115355,-48300,1.26
"Polaris Innovation Fund II, L.P. Boston",MA,12/20/2021,8725343,2281925,13.472
Pontifax (Cayman),VI,12/31/2020,8414400,571442,9.733
"Francisco Partners VII, L.P. San Francisco",CA,05/03/2022,7525079,-342090,0.26
GUARDIAN LIFE INSURANCE COMPAN SUB CORP_BND 144A 3.700% 01/22/70 NY DIRECT 1.D,FE,01/14/2020,7417832,277500,0.0
"Menlo Ventures XII, L.P. Menlo Park",CA,02/20/2015,6930056,0,1.29
NCMS 2019-NEMA_D SUB_CMBS _19-NEMA 4.409% 02/15/39 INTERNAL TRANSFER 4.B,,03/22/2019,6869741,374460,0.0
"Apollo Investment Fund X, L.P. New York City",NY,08/11/2023,6757255,37898,0.166
Corebridge Global Real Estate Investment Bayshore PII Company LLC Glendale,WI,09/30/2019,6299799,0,34.0
RBSSP RESECURITIZATION TRUST R WHOLE_CMO _09-6 144A 3.901% 01/26 DIRECT 6.,,01/26/2017,6192674,221072,0.0
"Hillhouse Capital Healthcare Fund, L.P. Beijing",CHN,05/24/2021,5654551,-203852,0.795
NATIXIS COMMERCIAL MORTGAGE SE SUB SUB_CMBS _18-OSS 144A 4.201% DIRECT 1.A,,02/14/2018,5645563,376668,0.0
"Carlyle Europe Partners V, S.C.Sp. Bitbourg",LUX,02/21/2019,5633542,398038,0.12
NORTHWESTERN MUTUAL LIFE INSUR SUB CORP_BND . 144A 3.450% 03/30/51 WI DIRECT 1.D,FE,03/15/2021,5283329,182850,0.0
COMM MORTGAGE TRUST COMM_16-78 SUB SUB_CMBS _16-787S 3.832% 02/1 DIRECT 3.B,,02/19/2016,5140823,200961,0.0
"Ampersand CF, L.P. Wellesley",MA,11/12/2020,4323990,0,0.826
TIGER GLOBAL PRIVATE INVESTMENT PARTNERS V New York,NY,01/22/2008,3862790,365930,0.694
CREDIT SUISSE MORTGAGE CAPITAL SENIOR WHOLE_CMO _09-4R 144A 4.33 DIRECT 5.B,,02/07/2017,3782803,117846,0.0
"Designation Book/ Year's Other- Foreign King Street Capital, L.P New York",NY,04/01/2008,3167488,0,0.104
"Agent Capital Fund II, L.P. Waltham",MA,06/04/2021,3105529,720306,10.134
"CRESTVIEW PARTNERS II, L.P. New York",NY,11/06/2008,3098958,1015619,0.557
S.C.Sp. Bitbourg,LUX,03/17/2020,3097240,770805,0.38
NORTHWESTERN MUTUAL LIFE INSUR SUB CORP_BND 144A 6.063% 03/30/40 WI DIRECT 1.D,FE,10/17/2013,2448831,134720,0.0
JP MORGAN REREMIC JPMRR_09-10 SENIOR WHOLE_CMO _09-10 144A 4.920 INTERNAL TRANSFER 3.A,,02/08/2017,2407857,65393,0.0
"Jade Equity Investors, L.P. Los Angeles",CA,04/14/2020,2397878,782399,0.182
TEACHERS INSURANCE AND ANNUITY SUB CORP_BND 144A 6.850% 12/16/39 NY DIRECT 1.D,FE,05/22/2013,2366003,138233,0.0
Cornell Capital Partners II LP New York City,NY,05/25/2022,2349601,0,0.593
NEW YORK LIFE INSURANCE COMPAN SUB CORP_BND 144A 3.750% 05/15/50 NY DIRECT 1.D,FE,06/30/2021,2214418,73875,0.0
BCAP LLC TRUST BCAP_11-RR3 MEZZANIN WHOLE_CMO _11-RR3 4.538% 05/ DIRECT 6.,,09/12/2016,2181752,111240,0.0
200 Douglass NEW YORK,NY,12/10/2025,2053574,8603,0.0
CIBANCO SA IBM Fideicomiso CIB/2133 (Mexico Corebridge Global Real Estate Investment Industrial Puebla) Puebla Corp,,01/16/2015,2000000,0,46.55
TEACHERS INSURANCE AND ANNUITY SUB CORP_BND 144A 4.900% 09/15/44 NY DIRECT 1.D,FE,09/15/2014,1998546,98000,0.0
LONGREACH EDITH CO-INVEST George Town,CYM,10/16/2007,1835298,0,12.5
Society Nashville NY,NY,04/04/2024,1490519,101008,0.0
BANCO MERCANTIL DEL NORTE SA CAPSEC CORP_BND 144A 6.625% PERPET. CYM DIRECT 3.C,FE,11/17/2021,1470113,99375,0.0
MASSACHUSETTS MUTUAL LIFE INSU SUB CORP_BND 144A 3.729% 10/15/70 MA INTERNAL TRANSFER 1.D,FE,10/11/2019,1363967,52728,0.0
Corebridge Global Real Estate Investment Corebridge Europe Real Estate Fund I S.C.SP London Corp,,12/30/2018,1201927,0,3.0
Corebridge Global Real Estate Investment Corebridge Papermill Investor I LLC. New York,NY,08/31/2022,1000881,72288,8.62
Corebridge Global Real Estate Investment Corebridge Bartlett Investor I LLC. New York,NY,08/31/2022,834211,68756,8.62
AMERICAN HOME MORTGAGE ASSETS SUPSEN WHOLE_CMO _07-2 3.971% 03/2 DIRECT 3.A,,06/16/2014,766600,28600,0.0
"1999999. Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - unaffiliated 352,551,624 480,151,226 480,151,226 21,387,728 0 123,809 0 4,330,024 26,620,476 199,814,286 XXX HRA Administrator LLC Spokane",WA,07/28/2021,550011,0,100.0
"Clarus Lifesciences III, L.P. Cambridge",MA,10/02/2014,532656,175726,5.58
NEW YORK LIFE INSURANCE COMPAN SUB CORP_BND 144A 5.875% 05/15/33 NY INTERNAL TRANSFER 1.D,FE,11/19/2013,526068,29375,0.0
AP Tundra Holdings LLC St. Louis,MO,12/29/2020,467990,17804,0.079
GS VINTAGE FUND IV New York,NY,01/23/2007,133182,60268,1.325
STARK INVESTMENTS LP ST. FRANCIS,WI,03/31/2008,29850,0,1.605
GREEN EQUITY INVESTORS V LP Los Angeles,CA,08/10/2007,20546,0,0.307
"Clayton, Dubilier & Rice Fund VI, LP Wilmington",DE,01/02/2002,153,0,0.052
"Corebridge Commercial Real Estate Lending AIG Commercial Real Estate Lending Holdings, LLC Wilmington",DE,12/01/2021,0,0,0.0
Corebridge Global Real Estate Investment 2 North 6th JV LLC Williamsburg,NY,04/01/2014,-112558,2779400,30.0
"Corebridge Global Real Estate Investment Branch Retail Partners II, LP. New York",NY,08/31/2022,-1523637,538790,8.62
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund I, LP New York",NY,12/30/2018,-1954961,0,3.0
Bayshore Shopping Center JV LLC (Realized Corebridge Global Real Estate Investment Loss) Glendale,WI,09/30/2019,-7480000,0,0.0
