entity,period,state,loan_count,total_book_value,avg_interest_rate
AGL,2022Q4,AIG,19,12964839.0,0
AGL,2022Q4,AL,93,354772122.0,6.2996
AGL,2022Q4,AR,10,2258939.0,6.3369
AGL,2022Q4,AZ,137,120019155.0,4.6813
AGL,2022Q4,BEL,1,86282720.0,2.85
AGL,2022Q4,CA,959,3699152267.0,3.9154
AGL,2022Q4,CAN,7,100734395.0,4.5286
AGL,2022Q4,CO,121,451235416.0,4.4272
AGL,2022Q4,CT,121,100930350.0,6.7257
AGL,2022Q4,CZE,1,48398189.0,1.45
AGL,2022Q4,DC,52,535943897.0,4.3504
AGL,2022Q4,DE,58,107873565.0,5.2529
AGL,2022Q4,DEU,9,1360564426.0,3.4244
AGL,2022Q4,DNK,2,365247050.0,4.093
AGL,2022Q4,FIN,4,385154992.0,4.262
AGL,2022Q4,FL,554,1292633634.0,5.6314
AGL,2022Q4,FRA,1,156465491.0,4.012
AGL,2022Q4,GA,295,293764529.0,5.8321
AGL,2022Q4,GAP,1,631752.0,3.003
AGL,2022Q4,GBR,44,3628808719.0,5.6086
AGL,2022Q4,HI,18,75137968.0,4.7007
AGL,2022Q4,ID,19,8157672.0,5.4747
AGL,2022Q4,IL,282,782213067.0,6.4975
AGL,2022Q4,IN,98,131421773.0,7.145
AGL,2022Q4,IRL,7,509639245.0,4.7183
AGL,2022Q4,KS,30,4162722.0,7.2547
AGL,2022Q4,KY,20,51510137.0,6.6083
AGL,2022Q4,LA,154,126714189.0,6.6553
AGL,2022Q4,MA,83,1048917459.0,5.4731
AGL,2022Q4,MD,347,385742379.0,5.7877
AGL,2022Q4,ME,16,13513494.0,5.9134
AGL,2022Q4,MI,98,33178463.0,7.0459
AGL,2022Q4,MN,39,85920152.0,4.9636
AGL,2022Q4,MO,119,36753408.0,7.0227
AGL,2022Q4,MS,20,5437929.0,6.8975
AGL,2022Q4,MT,5,2846563.0,5.4004
AGL,2022Q4,NC,204,387769504.0,5.3131
AGL,2022Q4,NE,1,166162.0,2.922
AGL,2022Q4,NH,6,2688267.0,5.1925
AGL,2022Q4,NJ,338,2355722475.0,6.352
AGL,2022Q4,NLD,4,75234006.0,3.259
AGL,2022Q4,NM,22,217896494.0,5.4415
AGL,2022Q4,NO,9,11.0,7.45
AGL,2022Q4,NV,75,233551781.0,4.4115
AGL,2022Q4,NY,227,4730012454.0,6.1753
AGL,2022Q4,OH,260,819812046.0,7.0715
AGL,2022Q4,OK,23,7684845.0,5.9843
AGL,2022Q4,OR,88,149402639.0,4.6019
AGL,2022Q4,PA,395,468223708.0,6.7017
AGL,2022Q4,RI,15,54815701.0,6.0216
AGL,2022Q4,SAN,2,2401291.0,2.736
AGL,2022Q4,SC,140,146684922.0,5.4451
AGL,2022Q4,TN,128,162488581.0,5.3438
AGL,2022Q4,TX,500,1670974789.0,5.3379
AGL,2022Q4,US,1,702307.0,2.991
AGL,2022Q4,UT,41,198276507.0,4.4565
AGL,2022Q4,VA,242,335382464.0,5.0683
AGL,2022Q4,VT,2,1002025.0,4.7285
AGL,2022Q4,WA,214,389659659.0,4.1467
AGL,2022Q4,WI,45,11267264.0,7.0469
AGL,2022Q4,WV,4,590218.0,6.9917
AGL,2022Q4,WY,3,2741680.0,2.926
AGL,2023Q4,AIG,1,28036.0,0
AGL,2023Q4,AK,9,2856563.0,7.3614
AGL,2023Q4,AL,395,268510602.0,6.973
AGL,2023Q4,AR,58,6812143.0,6.526
AGL,2023Q4,AZ,508,246504576.0,5.879
AGL,2023Q4,BEL,1,87124282.0,2.85
AGL,2023Q4,CA,2275,4067813602.0,5.0384
AGL,2023Q4,CAN,6,97911581.0,4.5883
