loan_number,city,state,date_acquired,interest_rate,book_value
60723124,Crittenden,AR,03/29/2023,5.5,1500000
60723115,Mississippi,AR,03/08/2023,6.0,450000
60723110,Bingham,ID,02/01/2023,5.95,3500000
60723105,Kane,IL,01/30/2023,6.05,2650000
60723122,Madison,LA,02/27/2023,5.5,4250000
60723107,Ouachita,LA,02/28/2023,5.85,600000
60723112,Blue Earth,MN,03/07/2023,5.75,400000
60723106,Musselshell,MT,02/08/2023,5.75,3000000
60723101,Luna,NM,03/30/2023,5.95,1500000
60723109,Marion,OR,03/16/2023,5.9,2000000
60723117,Lafayette,WI,03/30/2023,5.65,600000
160001193,Orlando,FL,03/29/2023,7.077,164032022
161000002,Memphis,TN,03/29/2023,3.0,6636798
846108,Esio Collar 33- N/A Equity/Index,BPA,08/15/2018,1670.67,113781
867393,,,11/15/2018,2730.2,326077
867610,Esio Collar 53- N/A Equity/Index,CDC,11/15/2018,1524.12,36236
900036,,,04/16/2019,2907.06,372078
922934,,,07/16/2019,3004.04,346298
938295,,,09/17/2019,3005.7,271199
946668,,,10/15/2019,1523.3,36686
964753,,,12/17/2019,3192.52,410464
980114,Esio Collar N/A Equity/Index,BOA,02/18/2020,3370.29,168765
1240056,,,01/18/2022,4577.11,160648
1240134,,,01/18/2022,4577.11,211702
1249793,,,02/15/2022,2076.46,129768
1261457,Esio Collar N/A Equity/Index,WFC,03/15/2022,4262.45,508045
1261486,,,03/15/2022,1968.97,155084
1275070,,,04/19/2022,2030.77,213540
1275163,,,04/19/2022,4462.21,3169949
1275175,,,04/19/2022,4462.21,248322
1285275,,,05/17/2022,4088.85,537376
1285292,,,05/17/2022,4088.85,241601
1296524,Esio Collar N/A Equity/Index,WFC,06/15/2022,3789.99,2262807
1296542,,,06/15/2022,1731.14,138411
1296572,,,06/15/2022,3789.99,646588
1306159,,,07/15/2022,1744.37,542240
1306201,,,07/15/2022,3863.16,454267
1306228,,,07/15/2022,3863.16,463669
1316570,Esio Collar N/A Equity/Index,BOA,08/16/2022,2020.53,99080
1328763,,,09/15/2022,3901.35,2344095
1328912,,,09/15/2022,1825.23,112752
1328948,,,09/15/2022,3901.35,551040
1340886,Esio Collar N/A Equity/Index,WFC,10/17/2022,1691.04,228296
1340943,Esio Collar N/A Equity/Index,BBI,10/17/2022,1735.75,657683
1340963,,,10/17/2022,3677.95,609983
1351751,,,11/15/2022,1889.2,173349
1351763,,,11/15/2022,1889.2,198203
1351831,,,11/15/2022,3991.73,3143658
1351843,,,11/15/2022,1931.3,274858
1361587,,,12/15/2022,3895.75,352370
1361631,,,12/15/2022,1774.61,759944
1361689,,,12/15/2022,1961.54,292407
1003943,,,03/17/2020,1106.51,68507
1033155,,,05/15/2020,1256.99,159227
1033178,Esio Collar N/A Equity/Index,WFC,05/15/2020,1256.99,66294
1091102,,,10/15/2020,3483.34,277717
1101811,,,11/17/2020,3609.53,406584
1131431,Esio Collar N/A Equity/Index,WFC,02/17/2021,3931.33,1375808
1131469,,,02/17/2021,2256.11,340272
1140335,,,03/16/2021,2319.52,47597
1149378,,,04/15/2021,4170.42,58023
1214515,,,11/16/2021,2405.02,91141
1214529,,,11/16/2021,2405.02,1212133
