name,state,date_acquired,book_value,investment_income,ownership_pct
NAC AVIATION C,,07/22/2020,5000000,-1140000,0.0
FANNIE MAE REMICS 2013-27 UL,,09/01/2020,4519220,0,0.0
BRITVIC C,,12/17/2020,3000000,0,0.0
FREDDIE MAC GOLD POOL,,12/01/2020,2559100,0,0.0
ALLERGAN FINANCE,,05/14/2020,2435440,92190,0.0
MGM RESORTS,,12/20/2020,2388240,189084,0.0
WFMBS 2019-1 A1,,12/01/2020,2059717,0,0.0
WFCM 2015-NXS4 A3,,06/03/2020,2019988,111579,0.0
EASTMAN CHEMICAL,,12/25/2020,1999520,0,0.0
AMCAR 2015-4 D,,08/08/2020,1999352,0,0.0
O'REILLY AUTOMOTIVE,,12/22/2020,1997660,0,0.0
ARCHER-DANIELS-MIDLAND,,06/30/2020,1997360,-246,0.0
CROWN CASTLE,,12/01/2020,1996040,170912,0.0
E14.2 565849-AP-1 MAJOR LEAGUE BASEBALL,,08/25/2020,1995030,150144,0.0
UNITED RENTALS,,02/28/2020,1986240,4230,0.0
INTERNATIONAL PAPER,,08/12/2020,1979080,-314806,0.0
PACEF 2020-1A A,,06/05/2020,1945200,5602,0.0
SPSS 2011-1A A,,12/15/2020,1853559,0,0.0
TJX,,03/30/2020,1753455,828,0.0
TRANSCANADA PIPELINES,,07/06/2020,1688245,155611,0.0
CWL 2006-10 1AF5,,12/10/2020,1657359,0,0.0
FRESENIUS MEDICAL CARE,,12/01/2020,1654063,0,0.0
OMFIT 2016-1A A,,12/08/2020,1510170,-609120,0.0
E14.4 36164Q-MS-4 GE CAPITAL INTERNATIONAL C,,11/15/2020,1423804,0,0.0
SFS 2006-B B,,12/15/2020,1326382,-122135,0.0
VENTAS REALTY,,09/05/2020,1221586,0,0.0
WEYERHAEUSER,,12/16/2020,1074890,-28382,0.0
MSAIC 2019-2A A,,09/17/2020,1051370,279,0.0
COMM 2010-C1 A3,,12/01/2020,1050957,-39635,0.0
ARMY & AIR FORCE EXCHANGE,,12/15/2020,1024626,0,0.0
BMARK 2019-B11,AS,03/17/2020,1023550,14873,0.0
HENDR 2010-3A B,,03/05/2020,1021720,-5590,0.0
ZF NORTH AMERICA CAPITAL,,02/19/2020,1018750,56854,0.0
ARAMARK SERVICES,,01/15/2020,1018392,-2269,0.0
CIGNA,,03/31/2020,1013363,-8438,0.0
ARMENIA MOUNTAIN WIND,,12/31/2020,1005420,0,0.0
DISCOVER FINANCIAL SERVICES,,02/19/2020,1000000,159240,0.0
STANDARD CHARTERED C,,02/19/2020,1000000,120300,0.0
E14 00436M-AA-3 AALLC 2018-1 A,,12/02/2020,999853,0,0.0
VSTNA 2016-A A,,12/01/2020,999320,105656,0.0
HSBC HOLDINGS C,,06/09/2020,997720,402,0.0
TRANSCANADA PIPELINES,,10/01/2020,997430,0,0.0
AMERISOURCEBERGEN,,06/18/2020,997188,508,0.0
DEFT 2017-1 C,,03/13/2020,997180,512,0.0
