loan_number,city,state,date_acquired,interest_rate,book_value
HIGHWOODS,,,06/27/2023,0.0,292011
HENDR,,,06/15/2023,0.0,13682
HENDR,,,06/15/2023,0.0,23056
HENDR,,,06/15/2023,0.0,11867
HENDR,,,06/15/2023,0.0,13139
HENDR,,,06/15/2023,0.0,9341
HENDR,,,06/15/2023,0.0,11284
JPMCC,,,05/01/2023,0.0,283730
JPMCC,,,06/16/2023,0.0,57031
JPMMT,,,06/01/2023,0.0,2642
JONAH,,,06/10/2023,0.0,114607
KANSAS,,,04/18/2023,0.0,901110
LEVEL,,,05/10/2023,0.0,295000
LIBERTY,,,06/15/2023,0.0,220533
LINCOLN,,,04/21/2023,0.0,1564389
LPSLT,,,06/20/2023,0.0,74678
LPSLT,,,06/20/2023,0.0,49125
MVWOT,,,06/20/2023,0.0,35033
MVWOT,,,06/20/2023,0.0,334141
MCKINSEY,,,06/11/2023,0.0,3000000
MSBAM,,,05/01/2023,0.0,115473
MSAIC,,,06/20/2023,0.0,63514
MSAIC,,,06/20/2023,0.0,54536
MSAIC,,,06/20/2023,0.0,22777
MSAIC,,,06/20/2023,0.0,142454
MSAIC,,,06/20/2023,0.0,46575
NATIONAL,,,04/15/2023,0.0,128675
SRFC,,,06/20/2023,0.0,16960
SRFC,,,06/20/2023,0.0,8480
SRFC,,,06/20/2023,0.0,217724
SSCRF,,,06/15/2023,0.0,38357
SNVA,,,06/20/2023,0.0,8577
SPSS,,,06/15/2023,0.0,45598
SPSS,,,06/15/2023,0.0,2967
BELL,,,05/25/2023,0.0,5000
TARGET,,,06/15/2023,0.0,61550
TENET,,,06/01/2023,0.0,104000
HENDR,,,06/15/2023,0.0,5904
UNITED,Airlines,INC,05/01/2023,0.0,225998
UNITEDHEALTH,,,04/24/2023,0.0,3120210
VSTNA,,,06/20/2023,0.0,41978
VERIZON,,,04/11/2023,0.0,2978040
WAMU,,,06/01/2023,0.0,22888
WFRBS,,,04/01/2023,0.0,205964
WFRBS,2013-C13,AS,05/01/2023,0.0,1000000
WFRBS,,,06/01/2023,0.0,1368839
WMALT,,,06/01/2023,0.0,11280
WLKRG,,,06/15/2023,0.0,25944
WFCM,,,06/01/2023,0.0,776472
WFCM,,,05/11/2023,0.0,888750
WFMBS,,,06/01/2023,0.0,3996
GOODG,,,06/15/2023,0.0,23048
GOODG,,,06/15/2023,0.0,33593
HERO,,,06/20/2023,0.0,15291
MCSLT,,,06/20/2023,0.0,12909
MCSLT,,,06/20/2023,0.0,39899
