loan_number,city,state,date_acquired,interest_rate,book_value
100061704,Los Angeles,CA,07/01/2021,4.125,232631
100069993,Laurel,MD,09/01/2021,4.125,5475000
322020355,Portland,TX,04/20/2022,6.72,70217
322030290,Kirkland,OR,04/28/2022,6.47,176033
322030834,Palm Springs,OR,04/20/2022,6.87,201810
322040499,Orange Beach,AL,04/20/2022,6.72,1557106
322040551,Foley,TX,06/09/2022,6.72,40401
322040597,Portland,AL,04/28/2022,6.72,1562601
322040665,Green Valley,NV,06/09/2022,6.72,49640
322040691,Portland,OR,05/09/2022,6.87,60919
322040972,Roseville,ID,06/21/2022,6.72,67314
322050038,Horseshoe Bay,AZ,06/09/2022,7.057,389189
322050135,Donnelly,TX,06/09/2022,6.72,70473
322050146,Apache Junction,OR,05/09/2022,6.47,44226
322050199,Portland,UT,06/09/2022,6.72,137634
322050312,Indio,CA,05/09/2022,6.6,167738
322050345,Vancouver,AL,04/20/2022,6.72,1423850
322050409,Willard,TX,06/09/2022,6.72,63868
322050499,Palm Bay,ID,06/21/2022,6.72,108310
322050594,Georgetown,ID,06/09/2022,6.72,83342
322050701,Georgetown,WA,06/21/2022,6.67,521564
322050741,Bellevue,AZ,06/21/2022,6.72,95672
322050790,Windermere,OR,06/21/2022,6.595,70805
322050952,Portland,OR,06/09/2022,6.47,280770
322060335,Indio,OR,06/21/2022,6.595,164228
3300002745,Clearfield,CA,06/21/2022,6.97,119848
3300002909,Palm Bay,UT,06/21/2022,6.72,207623
3300002988,Livingston,WA,06/09/2022,6.47,81152
3300003078,Jersey City,OR,06/21/2022,6.97,327159
3300003111,Spring Valley,UT,06/21/2022,6.72,106388
3300003177,Rensselaer,FL,06/21/2022,6.595,1253
3300003281,Paramus,TX,06/09/2022,6.72,111166
3300003283,Brooklyn,TX,06/09/2022,6.72,114064
3300003287,River Edge,AZ,06/21/2022,6.97,736601
3300003523,Bronx,NJ,05/26/2022,5.95,135660
3300003790,Jersey City,NJ,05/26/2022,6.35,172482
3310027672,Westport,NJ,05/19/2022,6.49,59796
3310028842,Chicago,LA,04/14/2022,6.06,16703
3310029180,Hillside,AL,04/01/2022,7.05,38964
3310029979,West Caldwell,CT,06/29/2022,6.55,48087
3310030277,Keansburg,NY,04/29/2022,6.16,101059
3310030443,Montclair,NY,04/01/2022,5.973,99792
3310030695,Williamstown,CA,06/23/2022,5.665,11880
3310030734,Weatherly,NJ,05/19/2022,7.55,58004
3310030979,Brick Township,NJ,04/01/2022,6.8,227286
3310031083,Atlanta,CA,04/20/2022,7.05,41087
3310031841,Ventnor City,OH,06/23/2022,5.7,25740
3310031890,St. Petersburg,NJ,04/20/2022,6.05,99000
3310032015,San Antonio,NJ,04/01/2022,6.8,75596
3310032174,Paterson,NJ,04/20/2022,5.7,99792
3310032293,Palm Springs,CO,05/19/2022,6.05,97866
