entity,period,name,state,date_acquired,book_value,investment_income,ownership_pct
JNLIC,2020Q1,"Admini- Date Type Actual Cost 489,512 0 AEA Investors Small Business Fund II, L.",NY,12/23/2009,0.0,0,0.68
JNLIC,2020Q1,"000000-00-0 AEA Investors Small Business Fund III, L.P. 13,217 0 4,717,959 1.140",NY,03/24/2016,0.0,0,0.34
JNLIC,2020Q1,"000000-00-0 Apollo Investment Fund Apollo Natural Resources Partners II, L.P. Ne",NY,10/10/2019,0.0,0,1.19
JNLIC,2020Q1,"Arsenal Capital Partners IV, L.P. Purchase",NY,12/10/2013,0.0,0,0.76
JNLIC,2020Q1,"Aterian Investment Partners II, L.P. New York",NY,09/28/2016,0.0,0,1.96
JNLIC,2020Q1,"Aurora Equity Partners V, L.P. Chevy Chase",MD,08/23/2019,0.0,0,1.08
JNLIC,2020Q1,"Calera Capital Partners IV, L.P. New York",NY,04/22/2016,0.0,0,1.02
JNLIC,2020Q1,"CapStreet IV, L.P. New York",NY,07/16/2019,0.0,0,2.62
JNLIC,2020Q1,"Catterton Latin America II, L.P. New York",NY,02/07/2014,0.0,0,3.2
JNLIC,2020Q1,"000000-00-0 Catterton Latin America III, L.P. 2,107,641 0 2,628,370 0.880 Catter",CA,06/14/2011,0.0,0,0.53
JNLIC,2020Q1,"Centre Capital Investors VI, L.P. Los Angeles",CA,06/09/2016,0.0,0,3.07
JNLIC,2020Q1,"000000-00-0 Centre Capital Investors VII, L.P. 160,000 0 880,856 23.900 Clairves",CAN,11/25/2015,0.0,0,7.16
JNLIC,2020Q1,"Clayton, Dubilier & Rice Fund X, L.P. San Francisco",CA,01/22/2008,0.0,0,3.09
JNLIC,2020Q1,"Cortec Group Fund VI, L.P. San Francisco",CA,10/31/2017,0.0,0,1.07
JNLIC,2020Q1,"Cressey & Co. Fund V, L.P. Houston",TX,01/21/2015,0.0,0,0.89
JNLIC,2020Q1,"Green Equity Investors VI, L.P. Houston",TX,12/18/2019,0.0,0,0.09
JNLIC,2020Q1,"000000-00-0 Green Equity Investors VII, L.P. 987,092 0 232,145 2.050 Harvest Par",CT,07/18/2016,0.0,0,0.78
JNLIC,2020Q1,"Harvest Partners VIII, L.P. Greenwich",CT,03/30/2020,0.0,0,1.62
JNLIC,2020Q1,"JFL Equity Investors IV, L.P. Greenwich",CT,03/18/2013,0.0,0,1.32
JNLIC,2020Q1,"Leeds Equity Partners VI, L.P. Greenwich",CT,06/12/2017,0.0,0,1.22
JNLIC,2020Q1,"Littlejohn Fund IV, L.P. New York",NY,06/17/2016,0.0,0,0.49
