entity,period,name,state,date_acquired,book_value,investment_income,ownership_pct
LLANY,2021Q4,Farmers Insurance Exchange 1.C,FE,08/18/2010,8372524.0,0,0.0
LLANY,2021Q4,brances Invest- tage of Farmers Insurance Exchange 2.B,FE,03/19/2007,4068209.0,458250,0.0
LLANY,2021Q4,1.D,FE,08/26/2010,3653195.0,0,0.0
LLANY,2021Q4,NY Life Insurance Co 1.C,FE,03/23/2010,3000000.0,1240145,0.0
LLANY,2021Q4,2.B,FE,10/01/2014,2000000.0,0,0.0
LLANY,2022Q4,NY Life Insurance Co 1.C,FE,08/18/2010,8334096.0,458250,0.0
LLANY,2022Q4,Designation Book/ Year's Other- Foreign Farmers Insurance Exchange 2.C,FE,03/19/2007,4059464.0,282000,0.0
LLANY,2022Q4,Teachers Insurance & Annuity Assn 1.D,FE,08/26/2010,3632105.0,208925,0.0
LLANY,2022Q4,Northwestern Mutual Life Insurance 1.C,FE,03/23/2010,3000000.0,0,0.0
LLANY,2022Q4,Farmers Insurance Exchange 2.C,FE,10/01/2014,2000000.0,0,0.0
LLANY,2023Q4,NEW YORK LIFE INS CO NT 144A 5.875% 05/15/33 1.C,FE,08/18/2010,8293715.0,429500,0.0
LLANY,2023Q4,FARMERS EXCHANGE CAPITAL TR SURPLUS NT 144A 2.C,FE,11/01/2008,4050104.0,282000,0.0
LLANY,2023Q4,TEACHERS INS & ANNUITY ASSN AM SR NT 144A 1.D,FE,08/26/2010,3609916.0,208925,0.0
LLANY,2023Q4,NORTHWESTERN MUTUAL LIFE INSUR SR NT 144A 1.C,FE,03/23/2010,3000000.0,0,0.0
LLANY,2023Q4,FARMERS INSURANCE EXCHANGE NT 144A 8.625% 2.C,FE,11/01/2008,2010048.0,172500,0.0
LLANY,2023Q4,Designation Book/ Years Other- Foreign FARMERS EXCHANGE CAPITAL III CAP III NT 1,FE,10/01/2014,2000000.0,0,0.0
