loan_number,city,state,date_acquired,interest_rate,book_value
0000199724,Fresno,CA,10/02/2014,6.59,650000
0000200082,Tehama,CA,03/31/2017,6.722,222075
0000200144,Sonoma,CA,10/02/2017,7.082,672748
0000200242,Butte,CA,06/22/2018,6.46,400000
0000200702,Kern,CA,12/12/2018,6.07,11520000
0000201705,Jefferson,AR,06/27/2019,5.94,100000
0000201880,Fresno,CA,08/14/2019,6.71,350000
0000202175,Fresno,CA,08/15/2019,6.472,5000000
0000202380,Fresno,CA,08/15/2019,6.472,4875000
0000202599,Fresno,CA,08/15/2019,6.472,4000000
0000202702,Napa,CA,07/31/2019,6.25,13000000
0000202780,Napa,CA,05/17/2022,5.62,16150000
0000202878,Fresno,CA,05/29/2020,6.222,1930000
0000202960,Palm Beach,FL,12/22/2020,6.57,1575444
0000203041,Kent,DE,02/11/2021,5.922,27624110
0000203166,Tulare,CA,09/03/2021,6.48,6632339
0000203283,Glenn,CA,07/28/2021,6.25,4805000
0000203286,Yuma,AZ,10/27/2021,6.5,100000
0000203456,Hendry,FL,12/06/2021,6.4,1530000
0000203512,Fresno,CA,02/04/2022,6.81,200000
0000203551,Fresno,CA,05/20/2022,5.81,1242857
0000203571,Martin,FL,06/03/2022,6.31,3000000
0000203578,Tulare,CA,08/16/2022,6.16,3300000
0000203603,Ottawa,MI,06/28/2022,6.46,905372
0000203615,Calhoun,IA,08/31/2022,7.11,4505533
0000203616,Montgomery,IL,05/09/2025,5.5,13269072
0000203629,Pipestone,MN,05/02/2025,6.1,2197686
0000203631,Lonoke,AR,05/15/2025,5.7,3135000
0000203632,Lonoke,AR,05/15/2025,5.7,1557181
0000203635,Calhoun,IL,04/21/2025,5.7,1079658
0000203639,Jeff Davis,GA,06/27/2025,6.83,50000000
0000203643,Morgan,IL,04/21/2025,6.45,2099858
0000203649,Benton,IA,06/10/2025,5.72,1820000
0000203656,Osceola,IA,05/20/2025,6.16,2671626
0000203661,Nodaway,MO,06/18/2025,4.64,2337000
0000203662,Traill,ND,06/18/2025,5.64,3772508
0000203666,Howard,IN,06/06/2025,5.2,3594431
0000203674,Arkansas,AR,06/04/2025,4.8,1491399
0000203685,Story,IA,05/27/2025,6.13,549715
0000203707,Carroll,IL,06/30/2025,6.2,1100000
9900159859,Johnstown,PA,04/14/2025,7.25,126517
9900159862,Hollywood,FL,04/14/2025,7.25,278707
9900159864,Paterson,NJ,04/14/2025,7.375,456400
9900159867,Boca Raton,FL,04/14/2025,6.75,263929
9900159870,Hammond,IN,04/14/2025,7.875,125888
9900159881,Columbia,SC,04/14/2025,7.875,166813
9900159885,Ooltewah,TN,04/14/2025,7.75,260798
9900159888,Hillsborough,NJ,04/14/2025,7.125,190705
9900159891,Miami,FL,04/14/2025,7.75,1579841
9900159892,Tulsa,OK,04/14/2025,7.5,143290
9900159894,Spokane Valley,WA,04/14/2025,7.5,317590
9900159895,Fort Lauderdale,FL,04/14/2025,6.875,520891
9900159896,Albrightsville,PA,04/14/2025,7.625,374238
9900159900,Brooklyn,NY,04/14/2025,7.25,266700
9900159911,Purchase,NY,04/14/2025,8.25,1119119
9900159912,Philadelphia,PA,04/14/2025,8.125,289615
9900159913,Philadelphia,PA,04/14/2025,8.0,157744
9900159914,Annville,PA,04/14/2025,7.625,260153
9900159915,Newark,OH,04/14/2025,7.625,167176
9900159916,Harrisburg,PA,04/14/2025,7.375,112042
9900159917,Three Rivers,MI,04/14/2025,7.625,134705
9900159919,Blooming Glen,PA,04/14/2025,7.625,271944
9900159920,Moore,OK,04/14/2025,7.375,111032
9900159921,Maple Grove,MN,04/14/2025,7.125,217642
9900159922,Columbia,PA,04/14/2025,8.375,215215
9900159927,Philadelphia,PA,04/14/2025,7.625,205562
9900159928,South Bend,IN,04/14/2025,7.375,100733
9900159935,Waimea,HI,04/14/2025,6.75,407873
9900159936,Ewing,NJ,04/14/2025,7.375,261627
9900159939,Scranton,PA,04/14/2025,7.5,134881
9900159944,Spring Hill,FL,04/14/2025,8.625,962932
9900159950,Roswell,NM,04/14/2025,8.5,1221703
9900159952,Oklahoma City,OK,04/14/2025,8.5,189643
9900159953,Cypress,TX,04/14/2025,7.125,318127
9900159956,Linwood,PA,04/14/2025,7.375,186940
9900159959,Harrisburg,PA,04/14/2025,7.875,106400
9900159961,Rock Hill,SC,04/14/2025,7.625,264132
9900159982,Dayton,OH,04/14/2025,7.875,115230
9900159987,Quincy,FL,04/14/2025,7.0,262105
9900159992,Orlinda,TN,04/14/2025,8.25,711450
9900159999,Delray Beach,FL,04/14/2025,7.5,1319940
9900160006,Broken Bow,OK,04/14/2025,8.0,529408
9900160018,Buffalo,NY,04/14/2025,7.875,222009
9900160023,Oklahoma City,OK,04/14/2025,6.75,124106
9900160026,Pasco,WA,04/14/2025,8.125,293071
9900160054,Wasilla,AK,04/14/2025,7.375,406517
9900160066,Philadelphia,PA,04/14/2025,9.375,144866
9900160075,Swansea,MA,04/14/2025,8.25,418103
9900160082,Upper Darby Township,PA,04/14/2025,7.25,114391
9900160085,Lake Forest,CA,04/14/2025,6.625,1388897
9900160095,Ocean City,NJ,04/14/2025,6.5,1092712
9900160098,South Bend,IN,04/14/2025,7.625,205562
9900160109,Livonia,MI,04/14/2025,8.75,337708
9900160121,Bronx,NY,04/14/2025,7.375,487991
9900160126,Philadelphia,PA,04/14/2025,7.25,211353
9900160132,Sayreville,NJ,04/14/2025,7.75,659836
9900160135,Saint Petersburg,FL,04/14/2025,7.0,211259
9900160140,San Francisco,CA,04/14/2025,7.99,1022104
9900160142,Orange,NJ,04/14/2025,7.75,369859
9900160157,Detroit,MI,04/14/2025,7.625,138373
9900160169,Garfield Heights,OH,04/14/2025,7.5,124390
9900160178,Rockport,TX,04/14/2025,8.25,207124
9900160198,Trenton,NJ,04/14/2025,7.5,153337
9900160214,Jersey City,NJ,04/14/2025,6.575,251534
9900160222,Tabernash,CO,04/14/2025,6.75,679012
9900160230,Largo,FL,04/14/2025,7.999,395653
9900160241,Austin,TX,04/14/2025,8.5,1373917
9900160248,Bryans Road,MD,04/14/2025,8.875,367650
9900160262,Aurora,IL,04/14/2025,9.375,403774
9900160278,Fort Lauderdale,FL,04/14/2025,8.375,791248
9900160281,Cedar Park,TX,04/14/2025,9.5,482021
9900160290,Portland,OR,04/14/2025,6.875,181216
9900160298,Reading,PA,04/14/2025,8.999,124245
9900160304,Edinburg,TX,04/14/2025,6.999,167584
9900160320,Colleyville,TX,04/14/2025,6.875,749593
9900160322,Walnut Creek,CA,04/14/2025,6.875,1002133
9900160330,Santa Rosa,CA,04/14/2025,6.875,630343
9900160340,Boynton Beach,FL,04/14/2025,7.125,274927
9900160347,Kingsland,TX,04/14/2025,10.375,267022
9900160356,Seattle,WA,04/14/2025,6.999,293903
9900160362,East Greenwich,RI,04/14/2025,7.999,667196
9900160369,Charlotte,NC,04/14/2025,6.999,170962
9900160393,Ventura,CA,04/14/2025,7.625,970566
9900160396,Windermere,FL,04/14/2025,8.25,978618
9900160407,Worcester,MA,04/14/2025,7.125,802709
9900160414,Tyler,TX,04/14/2025,6.75,122642
9900160416,Merrillville,IN,04/14/2025,7.25,168613
9900160425,Brea,CA,04/24/2025,7.5,755930
9900160430,Monrovia,CA,04/24/2025,7.625,916179
9900160433,Seattle,WA,04/24/2025,7.75,989622
9900160435,Saint Petersburg,FL,04/24/2025,7.625,419476
9900160438,Koloa,HI,04/24/2025,7.625,289950
9900160443,San Diego,CA,04/24/2025,7.75,3053766
9900160449,Port Saint Joe,FL,04/24/2025,7.5,416763
9900160452,Sylmar,CA,04/24/2025,7.5,935516
9900160463,Ramona,CA,04/24/2025,7.875,1058671
9900160467,Upland,CA,04/24/2025,7.5,485767
9900160471,Upland,CA,04/24/2025,7.25,539799
9900160479,Santa Fe Springs,CA,04/24/2025,7.75,481157
9900160486,Hollywood,FL,04/24/2025,7.375,277651
9900160493,Colbert,WA,04/24/2025,6.875,398942
9900160662,"Sherman Oaks Area, Los Angeles",CA,04/24/2025,7.25,1977229
9900160670,"Sylmar Area, Los Angeles",CA,04/24/2025,7.25,511170
9900160674,Pocomoke City,MD,04/24/2025,8.0,280151
9900160680,Mammoth Lakes,CA,04/24/2025,6.875,316621
9900160682,Lake Placid,FL,04/24/2025,7.125,307737
9900160686,Los Angeles,CA,04/24/2025,7.75,914067
9900160699,Bloomingdale,IL,04/24/2025,7.875,299385
9900160702,Keller,TX,04/24/2025,7.875,1200476
9900160708,Koloa,HI,04/24/2025,7.75,309422
9900160712,Sevierville,TN,04/24/2025,8.125,198718
9900160716,Glendale,CA,04/24/2025,7.625,780116
9900160723,Stamford,CT,04/25/2025,6.75,676802
9900160725,Los Angeles,CA,04/25/2025,6.5,400743
9900160727,Big Sandy,TX,04/25/2025,8.25,110875
9900160729,Mountain Home,ID,04/25/2025,6.5,252054
9900160731,Clay,NY,04/25/2025,6.75,203235
9900160738,Fairport,NY,04/25/2025,6.75,222639
9900160741,Landrum,SC,04/25/2025,6.25,204770
9900160745,Cleveland Heights,OH,04/25/2025,6.875,186607
9900160755,Kennett Square,PA,04/25/2025,6.375,416996
9900160759,Naples,FL,04/25/2025,6.375,362305
9900160764,North Charleston,SC,04/25/2025,6.375,223229
9900160767,Trenton,NJ,04/25/2025,6.375,256048
9900160769,Spokane,WA,04/25/2025,6.375,197704
9900160776,Rochester,NY,04/25/2025,6.75,156857
9900160781,Orlando,FL,04/25/2025,6.25,235718
9900160783,Tucson,AZ,04/25/2025,6.375,277861
9900160790,New Bern,NC,04/25/2025,6.5,190773
9900160795,Miami,FL,04/25/2025,6.5,471224
9900160800,Bradenton,FL,04/25/2025,6.625,362925
9900160802,Palmdale,CA,04/25/2025,6.625,396434
9900160808,Chattanooga,TN,04/25/2025,6.5,167557
9900160813,Chattanooga,TN,04/25/2025,6.5,191531
9900160824,San Diego,CA,04/25/2025,6.99,1229263
9900160826,Poway,CA,04/25/2025,6.875,635425
9900160829,Ann Arbor,MI,04/25/2025,7.375,407081
9900160849,Los Angeles,CA,04/25/2025,7.875,783280
9900160853,Montclair,NJ,04/25/2025,6.999,1530551
9900160857,Lodi,CA,04/25/2025,8.125,403976
9900160859,Castle Pines,CO,04/25/2025,7.75,834905
9900160864,Bluffton,SC,04/25/2025,7.25,243486
9900160878,Island Park,ID,04/25/2025,7.875,598775
9900160894,Ocala,FL,04/25/2025,7.625,233602
9900160903,Ocala,FL,04/25/2025,6.875,174676
9900160925,Houston,TX,04/25/2025,8.125,107237
9900160929,Spring Hill,TN,04/25/2025,7.875,888850
9900160942,Williston Park,NY,04/25/2025,8.0,736334
9900160962,Corona,CA,04/25/2025,7.49,975610
9900160973,Beaverton,OR,04/25/2025,7.75,567345
9900160988,Pearland,TX,04/25/2025,7.25,131634
9900160998,Staten Island,NY,04/25/2025,6.75,668889
9900161001,Baltimore,MD,04/25/2025,7.75,194622
9900161020,Safety Harbor,FL,04/25/2025,6.625,328277
9900161031,Denver,CO,04/25/2025,7.49,410065
9900161040,Rialto,CA,04/25/2025,8.125,565730
9900161049,Pendleton,OR,04/25/2025,7.375,126861
9900161057,Carson,CA,04/25/2025,7.375,446610
9900161078,Bristol,VA,04/25/2025,6.99,100653
9900161122,West Hempstead,NY,04/25/2025,7.875,643192
9900161125,Oro Valley,AZ,04/25/2025,7.375,303047
9900161135,Fairborn,OH,04/25/2025,7.875,105875
9900161162,Glen Burnie,MD,05/05/2025,6.5,279702
9900161168,Saint Petersburg,FL,05/05/2025,7.25,380317
9900161176,Cypress,CA,05/05/2025,6.25,249152
9900161188,Phoenix,AZ,05/05/2025,7.125,190134
9900161200,Dayton,OH,05/05/2025,6.25,139137
9900161218,Highland,CA,05/05/2025,6.25,565493
9900161225,Miami,FL,05/05/2025,6.75,361701
9900161234,Sunnyvale,CA,05/05/2025,6.125,1841721
9900161260,Brighton,VT,05/05/2025,7.375,213607
9900161264,Baltimore,MD,05/05/2025,6.125,137394
9900161275,Roy,UT,05/05/2025,6.25,359658
9900161292,Houghton Lake,MI,05/05/2025,6.875,116761
9900161299,Piqua,OH,05/05/2025,6.375,122198
9900161310,Westerville,OH,05/05/2025,7.5,400934
9900161313,Annandale,VA,05/05/2025,7.25,186323
9900161315,Bigfork,MT,05/05/2025,6.5,1965341
9900161326,Las Vegas,NV,05/05/2025,6.875,185817
9900161332,Sherman Oaks,CA,05/05/2025,7.375,861016
9900161516,Hollywood,FL,05/05/2025,7.125,324672
9900161524,Phoenix,AZ,05/05/2025,6.75,143942
9900161531,Davenport,FL,05/05/2025,7.374,288433
9900161535,Miramar,FL,05/05/2025,7.5,529043
9900161546,Bradley Beach,NJ,05/05/2025,7.375,714240
