loan_number,city,state,date_acquired,interest_rate,book_value
0000200377,Napa,CA,05/17/2022,6.47,775000
0000200914,Fresno,CA,06/01/2020,7.88,250000
0000201256,Palm Beach,FL,12/22/2020,7.62,67456
0000201432,Alcorn,MS,01/21/2021,5.1,439315
0000201827,Fresno,CA,02/22/2022,7.57,90000
0000201862,Madera,CA,10/14/2021,3.78,19318
0000201880,Glenn,CA,07/28/2021,7.33,1125000
0000202003,Desha,AR,06/22/2021,7.65,200000
0000202029,Madera,CA,10/14/2021,5.85,378970
0000202130,Phillips,AR,10/15/2021,7.32,1680000
0000202687,Woodbury,IA,09/07/2022,5.7,32644
0000202931,Clay,NE,07/07/2023,6.25,580000
0000202952,Grundy,IA,08/21/2023,6.0,24000000
0000202991,Santa Barbara,CA,07/18/2023,7.5,821400
0000203024,Norton,KS,07/27/2023,5.9,1650000
0000203025,Dallam,TX,08/18/2023,6.15,1000000
0000203036,San Luis Obispo,CA,08/22/2023,6.35,5000
0000203037,White,IN,09/29/2023,6.3,1500000
0000203055,Daviess,MO,09/19/2023,6.3,1725000
0000203069,Alcorn,MS,09/21/2023,10.4,200000
0000203081,Montgomery,IL,09/19/2023,6.6,1310000
0000202212,Mississippi,AR,12/21/2021,7.35,1888889
9900142868,Bronx,NY,07/17/2023,8.25,670172
9900142874,Camden,NJ,07/17/2023,7.88,75698
9900142879,Freehold,NJ,07/17/2023,7.63,359739
9900142881,Greenville,TX,07/17/2023,8.13,137160
9900142883,Detroit,MI,07/17/2023,8.13,65600
9900142886,Corpus Christi,TX,07/17/2023,7.88,135000
9900142888,Philadelphia,PA,07/17/2023,8.0,178380
9900142889,Philadelphia,PA,07/17/2023,7.88,212853
9900142890,Jacksonville,FL,07/17/2023,7.63,179270
9900142891,Gill,CO,07/17/2023,7.75,211848
9900142894,Panama City Beach,FL,07/17/2023,7.75,401716
9900142895,Philadelphia,PA,07/17/2023,7.88,176129
9900142896,Hope Mills,NC,07/17/2023,8.13,128016
9900142897,Staten Island,NY,07/17/2023,7.88,745736
9900142902,Irving,TX,07/17/2023,7.75,189340
9900142908,Philadelphia,PA,07/17/2023,8.13,232348
9900142912,Cleveland,OH,07/17/2023,8.38,102936
9900142919,Seattle,WA,07/17/2023,8.88,464750
9900142920,Philadelphia,PA,07/17/2023,8.0,167250
9900142921,River Grove,IL,07/17/2023,7.75,303536
9900142925,Philadelphia,PA,07/17/2023,8.38,136415
9900142927,Barnesville,OH,07/17/2023,8.38,106434
9900142931,West Collingswood,NJ,07/17/2023,8.5,200000
9900142934,Syracuse,NY,07/17/2023,8.5,64681
9900142935,Spicewood,TX,07/17/2023,8.63,249852
9900142936,Richmond,VA,07/17/2023,7.88,162988
9900142938,Harper Woods,MI,07/17/2023,8.13,65557
9900142941,West Palm Beach,FL,07/17/2023,8.0,172250
9900142942,Columbus,OH,07/17/2023,7.63,157386
9900142943,Norristown,PA,07/17/2023,7.75,163385
9900142945,Brownstown,MI,07/17/2023,7.75,112421
9900142961,Miami,FL,07/17/2023,8.0,318536
9900142968,Cleveland,OH,07/17/2023,8.63,71957
9900142971,Middle River,MD,07/17/2023,7.75,173877
9900142988,Philadelphia,PA,07/17/2023,7.88,94435
9900142994,Chicago,IL,07/17/2023,8.88,275470
9900143000,Jacksonville,FL,07/17/2023,9.0,101344
9900143004,Hempstead,NY,07/17/2023,8.38,384761
9900143008,Phoenix,AZ,07/17/2023,7.63,137900
9900143010,Philadelphia,PA,07/17/2023,7.75,127410
9900143012,Buffalo,NY,07/17/2023,8.75,92347
9900143018,Flint,MI,07/17/2023,8.25,61960
9900143024,Chicago,IL,07/17/2023,8.25,95939
9900143031,Detroit,MI,07/17/2023,7.88,273562
9900143041,Scranton,PA,07/17/2023,9.25,95950
9900143049,Cleveland,OH,07/17/2023,8.0,67455
9900143053,Camden,NJ,07/17/2023,8.25,138572
9900143059,Lafayette,LA,07/17/2023,8.13,106330
9900143061,Tobyhanna,PA,07/17/2023,8.5,131420
9900143064,Philadelphia,PA,07/17/2023,8.25,123462
9900143067,Baltimore,MD,07/17/2023,8.38,149813
9900143071,Philadelphia,PA,07/17/2023,9.0,103886
9900143082,Grove City,OH,07/17/2023,7.63,235000
9900143092,Logan,OH,07/17/2023,8.75,106277
9900143099,Detroit,MI,07/17/2023,8.63,59965
9900144033,Detroit,MI,07/17/2023,8.13,56963
9900144044,Memphis,TN,09/22/2023,7.63,80804
9900144047,Memphis,TN,09/22/2023,7.5,87300
9900144094,Naples,FL,09/22/2023,7.5,938332
9900144134,Philadelphia,PA,09/22/2023,7.75,398774
9900144226,Houston,TX,09/22/2023,6.5,71610
9900144236,Cleveland,OH,09/22/2023,6.25,69924
0000510222,London West,END,05/09/2022,7.61,530660
0000520176,Queretaro,MEX,07/19/2023,8.05,16960535
0000703334,Schertz,TX,09/30/2020,8.19,30529
0000703350,Charlotte,NC,10/23/2020,8.19,98951
0000703351,Atlanta,GA,11/20/2020,9.44,796039
0000703406,New York,NY,01/15/2021,7.59,154556
0000703407,New York,NY,01/15/2021,7.59,22394
0000703484,Pittsburgh,PA,06/01/2021,8.19,18886
0000703495,Arlington,TX,09/20/2021,10.94,10757803
0000703566,Dallas,TX,10/06/2021,7.59,78365
0000703591,Atlanta,GA,10/07/2021,8.34,404711
0000703622,Atlanta,GA,11/19/2021,7.97,20564
0000703659,Pittsburgh,US,03/30/2022,3.58,19771858
