entity,period,name,state,date_acquired,book_value,investment_income,ownership_pct
MLIC,2023Q1,Blackstone Mortgage Trust Inc Warehouse Facility Whippany,NJ,06/27/2014,0.0,0,0.0
MLIC,2023Q1,NEW YORK NY Mesa West Core Lending Fund,GP,01/28/2021,0.0,0,0.0
MLIC,2023Q1,refinance NEW YORK CITY,NY,06/02/2021,0.0,0,0.0
MLIC,2023Q1,Starwood Property Trust Warehouse 2021 Refinance GREENWICH,CT,06/01/2021,0.0,0,0.0
MLIC,2023Q1,Mesa West Real Estate Fund V - Warehouse Facility NEW YORK CITY,NY,04/18/2022,0.0,0,0.0
MLIC,2023Q1,YORK NY Argentic Real Estate,II,05/12/2022,0.0,0,0.0
MLIC,2023Q1,Entity 91952 Extell Hudson Waterfront I Mezz LLC New York,NY,09/03/2021,0.0,0,99.88
MLIC,2023Q1,Entity 91953 MAV Trust Holdings LLC Wilmington,DE,02/01/2023,0.0,0,100.0
MLIC,2023Q1,INTERNATIONAL GPE X-A SCSP Boston,MA,04/28/2022,0.0,0,0.11
MLIC,2023Q1,INTERNATIONAL GPE X-D SCSP Boston,MA,04/28/2022,0.0,0,0.4
MLIC,2023Q1,"IMPACT MISSION FUND, L.P. New York",NY,07/08/2021,0.0,0,2.99
MLIC,2023Q1,ASTORG VIII CO-INVEST LITHIUM London GBR ASTORG,,01/27/2023,0.0,0,2.25
MLIC,2023Q1,"India VI, L.P. Bangalore IND Accel",,11/11/2019,0.0,0,1.08
MLIC,2023Q1,XV L.P. Palo Alto,CA,06/15/2021,0.0,0,0.5
MLIC,2023Q1,Frontier Inclusion Fund L.P Washington,DC,09/30/2016,0.0,0,6.06
MLIC,2023Q1,"Quona Inclusion Fund, L.P. Washington",DC,07/26/2018,0.0,0,2.65
MLIC,2023Q1,"Fund IV, L.P. Boston",MA,04/11/2022,0.0,0,2.05
MLIC,2023Q1,International GPE IX-A SCSP Boston,MA,03/13/2019,0.0,0,0.94
MLIC,2023Q1,International GPE IX-D SCSP Boston,MA,03/13/2019,0.0,0,3.01
MLIC,2023Q1,Asia Pacific Fund,IV,03/20/2013,0.0,0,2.36
MLIC,2023Q1,Asia Pacific Fund V L.P. Hong Kong HKG Affinity Asia Pacific,,01/15/2018,0.0,0,0.32
MLIC,2023Q1,Special Opportunities Fund,IV,01/05/2018,0.0,0,0.78
