loan_number,city,state,date_acquired,interest_rate,book_value
717612107,Weogufka,AL,05/28/2021,2.72,3000000
717612070,Stuttgart,AR,04/27/2021,2.85,3231380
717612071,Stuttgart,AR,04/27/2021,2.6,2281900
717611932,Bakersfield,CA,04/06/2021,2.8,3000000
717612086,Oakville,CA,04/09/2021,2.49,1300000
717612080,Rutherford,CA,06/02/2021,3.05,2650000
717612027,Immokalee,FL,04/16/2021,3.07,1200000
717612112,Carroll,IA,06/04/2021,2.75,1369934
717612099,Murdock,MN,06/17/2021,3.26,4980620
717612093,Kennett,MO,04/26/2021,3.47,36530000
717612038,Tunica,MS,05/10/2021,2.65,27575882
717612096,Salem,OR,06/24/2021,3.7,90361375
717611839,Kennewick,WA,02/18/2020,3.3,150221630
706110860,Glendale,AZ,08/29/2019,2.577,26821806
706111219,Glendale,AZ,05/27/2021,2.61,1563400
706111214,Phoenix,AZ,05/24/2021,2.59,33547500
706111210,Concord,CA,04/30/2021,3.63,625179881
706111186,Costa Mesa,CA,05/20/2021,2.9,383564
706111236,Tracy,CA,06/17/2021,3.27,383564
