name,state,date_acquired,book_value,investment_income,ownership_pct
"Accel-KKR Capital Partners VI, LP - PICA Menlo Park CA AKKR Fund",VI,02/10/2021,0,0,0.739
"Accion Venture Lab, LP - PICA Cambridge",MA,07/22/2019,0,0,3.397
"Altaris Health Partners V, L.P. - PICA New York",NY,04/22/2021,0,0,1.69
"American Industrial Partners Capital Fund VII, L.P. - PICA New York",NY,10/30/2019,0,0,3.62
"American Securities Partners VIII, L.P. - PICA New York",NY,03/28/2019,0,0,0.813
"Andreessen Horowitz Fund VII, L.P. - PICA Menlo Park",CA,12/23/2020,0,0,0.158
Apax X USD L.P. - PICA St Peter Port,GBR,11/10/2020,0,0,0.286
"Ares US Real Estate Opportunity Fund III, L.P. - PICA Los Angeles",CA,04/15/2021,0,0,3.39
"Arlington Capital Partners V, L.P. - PICA Chevy Chase",MD,08/26/2019,0,0,1.478
"Arlington Capital Partners VI, L.P. - PICA Chevy Chase",MD,05/24/2023,0,0,0.291
Asia Real Estate Fund II LP - PICA Singapore,SGP,07/19/2023,0,0,1.396
"ATI Holding Company, LLC - PICA 6 Bannockburn",IL,03/14/2025,0,0,1.0
"Battery Ventures XIV, L.P. - PICA Boston",MA,07/20/2022,0,0,0.308
"Birch Hill Equity Partners (Global) VI, LP - PICA Toronto",CAN,12/17/2020,0,0,2.242
"Birch Hill Equity Partners V, LP Toronto",CAN,02/05/2016,0,0,4.868
"Bison Capital Partners V, LP - PICA New York",NY,09/18/2017,0,0,7.028
BLACKSTONE CAPITAL PARTNERS V L.P (GM) New York,NY,11/01/2012,0,0,1.328
"Blackstone Capital Partners VIII, LP - PICA New York",NY,02/22/2021,0,0,0.571
E03 000000-00-0 Blackstone Real Estate Partners VIII L.P. - PICA New York,NY,08/18/2015,0,0,0.533
Blackstone Real Estate Partners X L.P. - PICA New York,NY,03/23/2023,0,0,0.1
"Brentwood Associates Private Equity VI, LP - PICA Los Angeles",CA,12/27/2017,0,0,3.222
"BVIP Fund IX, L.P. - PICA Boston",MA,11/27/2017,0,0,7.934
Canaan XII L.P. - PICA Menlo Park,NJ,01/05/2021,0,0,0.625
"Carlyle Partners VI, L.P. Wilmington DE TC Group",VI,10/21/2013,0,0,2.704
"Carmel Partners Investment Fund VIII, L.P. - PICA San Francisco",CA,03/28/2022,0,0,0.506
"CBPE Capital Fund X, LP - PICA London",GBR,01/15/2021,0,0,2.139
"Clayton, Dubilier & Rice Fund XI, L.P. - PICA Grand Cayman",CYM,09/23/2021,0,0,0.492
"Coller International Partners VII, L.P. St Peters Port",GGY,01/21/2016,0,0,0.335
"Consonance Private Equity, LP New York",NY,08/07/2014,0,0,3.505
"Cortec Group Fund VI, LP New York",NY,07/10/2015,0,0,2.827
"Cortec Group Fund VII, L.P. - PICA New York",NY,12/11/2019,0,0,2.569
CVC Capital Partners VI (C) L.P. St Helier JEY CVC Capital Partners,VI,02/18/2014,0,0,0.381
"Dawson Portfolio Finance (Offshore) 3 LP - PICA New Castle, Delaware",DE,10/31/2019,0,0,0.902
"DFW Capital Partners V, L.P. - PICA Teaneck",NJ,05/17/2016,0,0,4.281
"DFW Capital Partners VI, LP -PICA Teaneck",NJ,06/05/2019,0,0,4.001
"DRA Growth and Income Fund XI, LLC - PICA New York",NY,12/15/2023,0,0,0.454
"Energy Capital Partners III-A, L.P. Short Hills",NJ,04/22/2014,0,0,0.174
EQT Infrastructure IV (No.2) USD SCSp - PICA Luxembourg,LUX,06/05/2019,0,0,0.794
EQT Infrastructure V (No.2) USD SCSp - PICA Luxembourg,LUX,08/13/2021,0,0,0.54
EQT VIII (No. 2) SCSP Stockholm,SWE,08/10/2018,0,0,2.77
Equistone Partners Europe Fund VI D SCSp - PICA Luxembourg LUX Equistone General Partner,VI,07/18/2018,0,0,5.184
"Francisco Partners Agility II, L.P. - PICA San Francisco",CA,09/17/2020,0,0,1.721
"Francisco Partners VII, L.P. - PICA San Francisco",CA,11/07/2023,0,0,0.26
"General Atlantic Investment Partners 2019, L.P. - PICA New York",NY,01/14/2020,0,0,3.57
"Genstar Capital Partners IX, L.P. - PICA San Francisco",CA,07/03/2019,0,0,6.191
"Genstar Capital Partners VIII, L.P. - PICA San Francisco",CA,04/28/2017,0,0,5.059
"Genstar Capital Partners X, L.P. - PICA San Francisco",CA,10/04/2021,0,0,0.078
"Genstar VIII Opportunities Fund I, L. P. - PICA San Francisco",CA,10/05/2017,0,0,8.189
"Greenbriar Equity Fund V, L.P. - PICA Rye",NY,08/02/2021,0,0,0.636
"Greycroft Growth III, L.P. - PICA New York",NY,09/09/2020,0,0,0.954
"Greycroft Partners VI, L.P. - PICA New York",NY,09/30/2020,0,0,2.066
"Harvest Partners Structured Capital Fund II, L.P. - PICA New York",NY,07/13/2018,0,0,3.172
"Harvest Partners Structured Capital Fund II, L.P. - PICA 2 New York",NY,10/25/2018,0,0,3.172
"Harvest Partners Structured Capital Fund III, L.P. - PICA New York",NY,12/18/2020,0,0,2.91
"STATEMENT AS OF MARCH 31, 2025 OF THE PRUDENTIAL INSURANCE COMPANY OF AMERICA Harvest Partners VIII, LP - PICA New York",NY,11/27/2019,0,0,1.148
"Hellman & Friedman Capital Partners IX, LP - PICA San Francisco",CA,04/07/2020,0,0,0.254
"HGGC Fund III, L.P. - PICA Palo Alto",CA,07/28/2017,0,0,5.4
"HPS Mezzanine Partners 2019, L.P. - PICA New York",NY,10/28/2019,0,0,1.039
ICG Europe Fund VII SCSp - PICA Luxembourg,LUX,08/24/2018,0,0,0.342
"Insight Partners Opportunities Fund I, L.P. - PICA New York",NY,04/22/2021,0,0,1.04
"Insight Partners XII, L.P. - PICA New York",NY,07/15/2021,0,0,0.048
"Intervale Capital Fund III, L.P. Cambridge",MA,03/14/2014,0,0,3.208
"Kohlberg Investors IX, L.P. - PICA 2 Mount Kisco",NY,03/31/2021,0,0,0.713
"Kohlberg Investors IX, L.P. - PICA Mount Kisco",NY,12/18/2020,0,0,4.27
"LBA Logistics Value Fund VII, L.P. - PICA Irvine",CA,03/06/2020,0,0,1.88
"Linden Structured Capital Fund, LP - PICA Chicago",IL,02/21/2020,0,0,3.093
"Linden Structured Capital Fund, LP - PICA 2 Chicago",IL,03/29/2021,0,0,2.088
M31 Navigator Fund LP - PICA Grand Cayman,CYM,02/24/2020,0,0,5.614
"Metalmark Capital Partners II, L.P. New York",NY,11/01/2012,0,0,7.251
Montagu VI L.P. - PICA London,GBR,04/01/2021,0,0,0.898
"Nautic Partners IX, L.P. - PICA Providence",RI,02/21/2020,0,0,2.054
"E03.1 000000-00-0 Oak HC/FT Partners IV, L.P. - PICA Greenwich",CT,04/27/2021,0,0,0.459
"Olympus Growth Fund VII, L.P. Stamford",CT,01/15/2019,0,0,2.855
"One Rock Capital Partners III, LP - PICA New York",NY,06/21/2021,0,0,1.009
"PCCP Equity IX, LP - PICA Los Angeles",CA,01/12/2022,0,0,0.782
"Peak Rock Capital Credit Fund II, LP - PICA Austin",TX,11/16/2017,0,0,4.328
Peak Rock Capital Fund III LP - PICA Austin,TX,07/13/2021,0,0,0.466
Permira VII L.P. 1 - PICA St. Peter Port,GGY,02/10/2020,0,0,0.165
"Platinum Equity Capital Partners IV, L.P. - PICA Beverly Hills",CA,03/21/2017,0,0,1.918
"Platinum Equity Capital Partners VI, L.P. - PICA Beverly Hills",CA,12/12/2022,0,0,0.875
"Rockpoint Real Estate Fund VI, L.P. - PICA Boston MA Rockpoint Real Estate Fund",VI,05/21/2020,0,0,1.17
"Sentinel Capital Partners VI, L.P. New York",NY,07/11/2019,0,0,1.011
"Sentinel Capital Partners VII, L.P. - PICA New York",NY,07/13/2023,0,0,0.25
Seventh Cinven Fund (No. 1) Limited Partnership - PICA St Peter Port,GGY,04/07/2020,0,0,0.141
"Silver Lake Alpine, L.P. -PICA New York",NY,09/11/2018,0,0,1.024
"Silver Lake Partners V, LP - PICA Menlo Park",CA,06/12/2018,0,0,3.724
"Silver Lake Partners VI, L.P. - PICA Menlo Park",CA,01/06/2021,0,0,0.586
"Siris Partners IV, L.P. -PICA New York",NY,03/15/2019,0,0,0.857
Sixth Cinven Fund (No. 3) Limited Partnership - PICA London,GBR,05/24/2017,0,0,2.863
"TCV XI, L.P. - PICA Menlo Park",CA,02/01/2021,0,0,0.46
TDR Capital IV A L.P. -PICA London,GBR,11/19/2018,0,0,1.377
"TDR Capital V, L.P. - PICA London",GBR,11/16/2023,0,0,0.21
"The Veritas Capital Fund VII, L.P. - PICA New York",NY,04/15/2020,0,0,0.615
"The Veritas Capital Fund VII, L.P. - PICA (Guava) New York",NY,10/01/2024,0,0,1.0
"The Veritas Capital Fund VIII, L.P. - PICA New York",NY,07/01/2022,0,0,0.075
"Thoma Bravo Fund XIII, L.P. - PICA Dover",DE,02/14/2019,0,0,0.964
"Thoma Bravo Fund XIV, L.P. and Thoma Bravo Fund Chicago",IL,04/15/2021,0,0,0.974
"Thompson Street Capital Partners V, LP -PICA St. Louis",MO,07/27/2018,0,0,7.074
"Trident VIII, L.P. - PICA Greenwich",CT,04/08/2020,0,0,0.482
"Trive Capital Fund III, L.P. -PICA Dallas",TX,12/28/2017,0,0,3.564
"Trivest Fund VII, L.P. - PICA Coral Gables",FL,07/13/2023,0,0,1.456
VIP IV LP - PICA London,GBR,12/23/2020,0,0,0.394
"Warburg Pincus Capital Solutions Founders Fund, L.P. New York",NY,10/19/2023,0,0,7.5
"Warburg Pincus Global Growth 14, L.P. New York",NY,10/02/2023,0,0,1.963
"Waterton Residential Property Venture XIV, L.P. - PICA Chicago",IL,12/23/2020,0,0,2.137
"Westbrook Real Estate Fund X, L.P. -PICA Palm Beach Garden",FL,07/18/2016,0,0,0.07
"STATEMENT AS OF MARCH 31, 2025 OF THE PRUDENTIAL INSURANCE COMPANY OF AMERICA WP Dynasty Holdings I, L.P. New York",NY,05/13/2024,0,0,10.0
Ironbound Fund LLC - PICA Newark,NJ,05/27/2010,0,0,81.223
"Newark Venture Partners Fund II, L.P. - PICA Newark",NJ,09/30/2021,0,0,3.307
Passaic Fund LLC- PICA Newark,NJ,06/27/2018,0,0,18.461
"PGIM Capital Partners VI, L.P. - PICA Newark NJ Dickens Avenue Partners",VI,09/22/2021,0,0,27.397
"PGIM Real Estate Capital VII (USD Feeder), SCSP - PICA Luxembourg",LUX,06/06/2023,0,0,0.884
PGIM Real Estate European Value Partners II - PICA Luxembourg,LUX,01/20/2021,0,0,0.023
PGIM Real Estate European Value Partners II - PICA 2 Luxembourg,LUX,07/07/2023,0,0,0.733
"Pramerica European Value Partners, L.P. Luxembourg",LUX,03/11/2016,0,0,5.47
"Prudential Capital Energy Partners, LP -PICA Chicago",IL,02/08/2017,0,0,64.716
"Prudential Capital Partners V, L.P. - PICA Newark",NJ,04/21/2017,0,0,47.377
"Prudential/Laurel Street GP, LLC - PICA Charlotte",NC,07/29/2021,0,0,80.0
"PruVen Capital Partners Fund I, LP Newark",NJ,09/21/2020,0,0,99.466
Victor Fund II Investor LLC - PICA Newark,NJ,12/31/2024,0,0,100.0
"Warburg Pincus Prismic, L.P. - PICA New York",NY,09/25/2023,0,0,100.0
"DRA Growth and Income Fund X, LLC - PICA New York",NY,03/25/2020,0,0,1.247
National Timber Group - PICA Sheffield,GBR,01/13/2025,0,0,39.0
Pramerica Fosun Life Insur Co Newark,NJ,04/30/2012,0,0,50.0
"Admiral Halsey II, L.P. - PICA New York",NY,01/03/2025,0,0,82.292
"CREA Corporate Tax Credit Fund 110, LP - PICA Indianapolis",IN,02/11/2025,0,0,33.0
"CREA Corporate Tax Credit Fund 96, LP - PICA Indianapolis",IN,01/04/2023,0,0,19.18
CRP The Pardes 2 LP - PICA New York,NY,01/03/2025,0,0,73.0
WNC HAWAII TAX CREDITS FUND 36 SERIES 3 LP Irvine,CA,12/06/2012,0,0,21.8
"WNC Institutional Tax Credit Fund 56, L.P. - Federal Irvine",CA,04/25/2024,0,0,8.681
ABS WL FDG TR 2024-1 ASSET BACKED_R (Reclass from Schedule ABS WL FDG TR 2024-1 ASSET BACKED_R Wilmington,DE,03/31/2025,0,0,22.0
ABS WL FDG TR 2024-1 ASSET BACKED_R (Reclass from Schedule ABS WL FDG TR 2024-1 ASSET BACKED_R Wilmington,DE,03/31/2025,0,0,8.0
Cedar Topco A LP - PICA New York,NY,12/31/2024,0,0,30.0
Steam MH Aggregator LP - PICA New York,NY,12/31/2024,0,0,30.0
"PGIM Senior Loan Opportunities (Rated Feeder Fund) III Europe, L.P. - PICA Newark",NJ,12/20/2024,0,0,25.48
"PGIM Senior Loan Opportunities II, L.P. - PICA Newark",NJ,02/21/2024,0,0,3.943
