name,state,date_acquired,book_value,investment_income,ownership_pct
Number of Paid for Accrued Admini- UNITED STATES TREASURY,,03/06/2023,0,0,0.0
UNITED STATES TREASURY,,03/06/2023,0,0,0.0
023586-C#-5 AMERCO,,01/31/2023,0,0,0.0
ESSENTIAL UTILITIES INC,,01/27/2023,0,0,0.0
ASHTEAD CAPITAL INC,,01/24/2023,0,0,0.0
CONNECTICUT LIGHT AND POWER,CO,01/03/2023,0,0,0.0
37941*-AD-6 GLOBAL INFRA,,01/31/2023,0,0,0.0
INTEL CORP,,02/07/2023,0,0,0.0
METLIFE INC,,01/03/2023,0,0,0.0
PUBLIC SERVICE COMPANY OF NEW HAMPSHIRE,,01/04/2023,0,0,0.0
TRUIST FINANCIAL CORP,,01/23/2023,0,0,0.0
TUCSON ELECTRIC POWER,CO,02/16/2023,0,0,0.0
Description Par Value (Decrease) Accretion nized 13) Value FH G08537 - RMBS .,,03/01/2023,0,0,0.0
FH G08528 - RMBS .,,03/01/2023,0,0,0.0
FH A96261 - RMBS .,,03/01/2023,0,0,0.0
FH SD8215 - RMBS .,,03/01/2023,0,0,0.0
FH SD8231 - RMBS .,,03/01/2023,0,0,0.0
FHR 2412C Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2369C Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2413A Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2433B EZ - CMO/RMBS .,,03/01/2023,0,0,0.0
FNR 1997-54 Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FNR 2000-5 ZA - CMO/RMBS .,,03/01/2023,0,0,0.0
FN,,03/01/2023,0,0,0.0
FN,,03/01/2023,0,0,0.0
E05 313920-WU-0 FNR 2001-47 Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2487B ZB - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2470B Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2533A Z - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2755 ZM - CMO/RMBS .,,03/01/2023,0,0,0.0
FHR 2794 Z - CMO/RMBS .,,03/01/2023,0,0,0.0
MINNESOTA ST HSG FIN AGY HOMEOWNERSHIP,FIN,03/15/2023,0,0,0.0
MUNICIPAL ELEC AUTH,GA,03/03/2023,0,0,0.0
UNIVERSITY CALIF REVS .,,02/22/2023,0,0,0.0
VIRGINIA ST HSG DEV AUTH COMWLTH MTG .,,01/31/2023,0,0,0.0
AECOM .,,02/09/2023,0,0,0.0
ADNA 2001 A2 - CMBS .,,01/02/2023,0,0,0.0
ARROW ELECTRONICS INC .,,03/01/2023,0,0,0.0
CVSPAS 06 CRT - ABS .,,03/10/2023,0,0,0.0
CVSPAS 2007 CTF - CMBS .,,03/10/2023,0,0,0.0
CVS HEALTH CORP - ABS .,,03/10/2023,0,0,0.0
GMACN 2012-BLIS A - CMBS .,,03/10/2023,0,0,0.0
JPMORGAN CHASE &,CO,01/25/2023,0,0,0.0
"PROJECT ANDOVER (NORTH ANDOVER, MA) (SENIOR NOTE) .",,03/10/2023,0,0,0.0
650 ALBANY ST,ME,01/18/2023,0,0,0.0
84860*-AB-9 SPIRITS SAINT LOUIS BASKETBALL CLUB LP .,,03/31/2023,0,0,0.0
TRADEMARK ROYALT - ABS .,,03/01/2023,0,0,0.0
L8038*-AA-4 SBM BALEIA AZUL S. R.L. C .,,03/15/2023,0,0,0.0
